model,prompt,evidence,label,support,predicted,true_positive,precision,recall,f1
kimi25,naive,short,high,9,9,7,0.7777777777777778,0.7777777777777778,0.7777777777777778
kimi25,naive,short,prohibited,1,2,1,0.5,1.0,0.6666666666666666
kimi25,naive,short,not_ai_system,1,1,1,1.0,1.0,1.0
kimi25,naive,short,insufficient_information,0,0,0,0.0,0.0,0.0
kimi3,naive,short,minimal,2,1,1,1.0,0.5,0.6666666666666666
kimi3,naive,short,transparency,1,1,1,1.0,1.0,1.0
kimi3,naive,short,high,9,9,8,0.8888888888888888,0.8888888888888888,0.8888888888888888
kimi3,naive,short,prohibited,1,1,0,0.0,0.0,0.0
kimi3,naive,short,not_ai_system,1,1,1,1.0,1.0,1.0
kimi3,naive,short,insufficient_information,0,0,0,0.0,0.0,0.0
qwen3827b,naive,short,minimal,2,4,2,0.5,1.0,0.6666666666666666
qwen3827b,naive,short,transparency,1,1,1,1.0,1.0,1.0
qwen3827b,naive,short,high,9,6,6,1.0,0.6666666666666666,0.8
qwen3827b,naive,short,prohibited,1,1,0,0.0,0.0,0.0
qwen3827b,naive,short,not_ai_system,1,1,1,1.0,1.0,1.0
qwen3827b,naive,short,insufficient_information,0,0,0,0.0,0.0,0.0
qwen38max,naive,short,minimal,2,2,2,1.0,1.0,1.0
qwen38max,naive,short,transparency,1,1,1,1.0,1.0,1.0
qwen38max,naive,short,high,9,5,5,1.0,0.5555555555555556,0.7142857142857143
qwen38max,naive,short,prohibited,1,2,1,0.5,1.0,0.6666666666666666
qwen38max,naive,short,not_ai_system,1,1,1,1.0,1.0,1.0
qwen38max,naive,short,insufficient_information,0,0,0,0.0,0.0,0.0
sonnet46,naive,short,minimal,2,2,2,1.0,1.0,1.0
sonnet46,naive,short,transparency,1,0,0,0.0,0.0,0.0
sonnet46,naive,short,high,9,9,9,1.0,1.0,1.0
sonnet46,naive,short,prohibited,1,2,1,0.5,1.0,0.6666666666666666
sonnet46,naive,short,not_ai_system,1,1,1,1.0,1.0,1.0
sonnet46,naive,short,insufficient_information,0,0,0,0.0,0.0,0.0
sonnet5,naive,short,minimal,2,3,2,0.6666666666666666,1.0,0.8
sonnet5,naive,short,transparency,1,0,0,0.0,0.0,0.0
sonnet5,naive,short,high,9,6,6,1.0,0.6666666666666666,0.8
sonnet5,naive,short,prohibited,1,2,1,0.5,1.0,0.6666666666666666
sonnet5,naive,short,not_ai_system,1,1,1,1.0,1.0,1.0
sonnet5,naive,short,insufficient_information,0,0,0,0.0,0.0,0.0
gemini37f,naive,expanded,minimal,2,2,2,1.0,1.0,1.0
gemini37f,naive,expanded,transparency,1,1,1,1.0,1.0,1.0
gemini37f,naive,expanded,high,9,8,8,1.0,0.8888888888888888,0.9411764705882353
gemini37f,naive,expanded,prohibited,1,2,1,0.5,1.0,0.6666666666666666
gemini37f,naive,expanded,not_ai_system,1,1,1,1.0,1.0,1.0
gemini37f,naive,expanded,insufficient_information,0,0,0,0.0,0.0,0.0
gemini3f,naive,expanded,minimal,2,2,2,1.0,1.0,1.0
gemini3f,naive,expanded,transparency,1,1,1,1.0,1.0,1.0
gemini3f,naive,expanded,high,9,8,8,1.0,0.8888888888888888,0.9411764705882353
gemini3f,naive,expanded,prohibited,1,2,1,0.5,1.0,0.6666666666666666
gemini3f,naive,expanded,not_ai_system,1,1,1,1.0,1.0,1.0
gemini3f,naive,expanded,insufficient_information,0,0,0,0.0,0.0,0.0
gemma27b,naive,expanded,minimal,2,0,0,0.0,0.0,0.0
gemma27b,naive,expanded,transparency,1,2,1,0.5,1.0,0.6666666666666666
gemma27b,naive,expanded,high,9,11,9,0.8181818181818182,1.0,0.9
gemma27b,naive,expanded,prohibited,1,1,1,1.0,1.0,1.0
gemma27b,naive,expanded,not_ai_system,1,0,0,0.0,0.0,0.0
gemma27b,naive,expanded,insufficient_information,0,0,0,0.0,0.0,0.0
gpt52,naive,expanded,minimal,2,3,2,0.6666666666666666,1.0,0.8
gpt52,naive,expanded,transparency,1,1,1,1.0,1.0,1.0
gpt52,naive,expanded,high,9,7,7,1.0,0.7777777777777778,0.875
gpt52,naive,expanded,prohibited,1,2,1,0.5,1.0,0.6666666666666666
gpt52,naive,expanded,not_ai_system,1,1,1,1.0,1.0,1.0
gpt52,naive,expanded,insufficient_information,0,0,0,0.0,0.0,0.0
gpt56luna,naive,expanded,minimal,2,4,2,0.5,1.0,0.6666666666666666
gpt56luna,naive,expanded,transparency,1,1,1,1.0,1.0,1.0
gpt56luna,naive,expanded,high,9,6,6,1.0,0.6666666666666666,0.8
gpt56luna,naive,expanded,prohibited,1,2,1,0.5,1.0,0.6666666666666666
gpt56luna,naive,expanded,not_ai_system,1,1,1,1.0,1.0,1.0
gpt56luna,naive,expanded,insufficient_information,0,0,0,0.0,0.0,0.0
gpt56sol,naive,expanded,minimal,2,4,2,0.5,1.0,0.6666666666666666
gpt56sol,naive,expanded,transparency,1,1,1,1.0,1.0,1.0
gpt56sol,naive,expanded,high,9,5,5,1.0,0.5555555555555556,0.7142857142857143
gpt56sol,naive,expanded,prohibited,1,2,1,0.5,1.0,0.6666666666666666
gpt56sol,naive,expanded,not_ai_system,1,2,1,0.5,1.0,0.6666666666666666
gpt56sol,naive,expanded,insufficient_information,0,0,0,0.0,0.0,0.0
grok46,naive,expanded,minimal,2,3,2,0.6666666666666666,1.0,0.8
grok46,naive,expanded,transparency,1,2,1,0.5,1.0,0.6666666666666666
grok46,naive,expanded,high,9,5,5,1.0,0.5555555555555556,0.7142857142857143
grok46,naive,expanded,prohibited,1,2,1,0.5,1.0,0.6666666666666666
grok46,naive,expanded,not_ai_system,1,2,1,0.5,1.0,0.6666666666666666
grok46,naive,expanded,insufficient_information,0,0,0,0.0,0.0,0.0
haiku45,naive,expanded,minimal,2,0,0,0.0,0.0,0.0
haiku45,naive,expanded,transparency,1,0,0,0.0,0.0,0.0
haiku45,naive,expanded,high,9,11,9,0.8181818181818182,1.0,0.9
haiku45,naive,expanded,prohibited,1,2,1,0.5,1.0,0.6666666666666666
haiku45,naive,expanded,not_ai_system,1,1,1,1.0,1.0,1.0
haiku45,naive,expanded,insufficient_information,0,0,0,0.0,0.0,0.0
kimi25,naive,expanded,minimal,2,1,1,1.0,0.5,0.6666666666666666
kimi25,naive,expanded,transparency,1,1,1,1.0,1.0,1.0
kimi25,naive,expanded,high,9,9,8,0.8888888888888888,0.8888888888888888,0.8888888888888888
kimi25,naive,expanded,prohibited,1,2,1,0.5,1.0,0.6666666666666666
kimi25,naive,expanded,not_ai_system,1,1,1,1.0,1.0,1.0
kimi25,naive,expanded,insufficient_information,0,0,0,0.0,0.0,0.0
kimi3,naive,expanded,minimal,2,2,2,1.0,1.0,1.0
kimi3,naive,expanded,transparency,1,1,1,1.0,1.0,1.0
kimi3,naive,expanded,high,9,8,8,1.0,0.8888888888888888,0.9411764705882353
kimi3,naive,expanded,prohibited,1,1,0,0.0,0.0,0.0
kimi3,naive,expanded,not_ai_system,1,1,1,1.0,1.0,1.0
kimi3,naive,expanded,insufficient_information,0,0,0,0.0,0.0,0.0
qwen3827b,naive,expanded,minimal,2,5,2,0.4,1.0,0.5714285714285714
qwen3827b,naive,expanded,transparency,1,1,1,1.0,1.0,1.0
qwen3827b,naive,expanded,high,9,6,6,1.0,0.6666666666666666,0.8
qwen3827b,naive,expanded,prohibited,1,1,1,1.0,1.0,1.0
qwen3827b,naive,expanded,not_ai_system,1,1,1,1.0,1.0,1.0
qwen3827b,naive,expanded,insufficient_information,0,0,0,0.0,0.0,0.0
qwen38max,naive,expanded,minimal,2,1,1,1.0,0.5,0.6666666666666666
qwen38max,naive,expanded,transparency,1,1,1,1.0,1.0,1.0
qwen38max,naive,expanded,high,9,6,6,1.0,0.6666666666666666,0.8
qwen38max,naive,expanded,prohibited,1,2,1,0.5,1.0,0.6666666666666666
qwen38max,naive,expanded,not_ai_system,1,1,1,1.0,1.0,1.0
qwen38max,naive,expanded,insufficient_information,0,0,0,0.0,0.0,0.0
sonnet46,naive,expanded,minimal,2,2,2,1.0,1.0,1.0
sonnet46,naive,expanded,transparency,1,1,1,1.0,1.0,1.0
sonnet46,naive,expanded,high,9,9,9,1.0,1.0,1.0
sonnet46,naive,expanded,prohibited,1,1,1,1.0,1.0,1.0
sonnet46,naive,expanded,not_ai_system,1,1,1,1.0,1.0,1.0
sonnet46,naive,expanded,insufficient_information,0,0,0,0.0,0.0,0.0
sonnet5,naive,expanded,minimal,2,2,2,1.0,1.0,1.0
sonnet5,naive,expanded,transparency,1,1,1,1.0,1.0,1.0
sonnet5,naive,expanded,high,9,6,6,1.0,0.6666666666666666,0.8
sonnet5,naive,expanded,prohibited,1,2,1,0.5,1.0,0.6666666666666666
sonnet5,naive,expanded,not_ai_system,1,1,1,1.0,1.0,1.0
sonnet5,naive,expanded,insufficient_information,0,0,0,0.0,0.0,0.0
gemini37f,decomposed,short,minimal,2,4,2,0.5,1.0,0.6666666666666666
gemini37f,decomposed,short,transparency,1,1,1,1.0,1.0,1.0
gemini37f,decomposed,short,high,9,6,6,1.0,0.6666666666666666,0.8
gemini37f,decomposed,short,prohibited,1,2,1,0.5,1.0,0.6666666666666666
gemini37f,decomposed,short,not_ai_system,1,1,1,1.0,1.0,1.0
gemini37f,decomposed,short,insufficient_information,0,0,0,0.0,0.0,0.0
gemini3f,decomposed,short,minimal,2,2,2,1.0,1.0,1.0
gemini3f,decomposed,short,transparency,1,2,1,0.5,1.0,0.6666666666666666
gemini3f,decomposed,short,high,9,8,8,1.0,0.8888888888888888,0.9411764705882353
gemini3f,decomposed,short,prohibited,1,1,1,1.0,1.0,1.0
gemini3f,decomposed,short,not_ai_system,1,1,1,1.0,1.0,1.0
gemini3f,decomposed,short,insufficient_information,0,0,0,0.0,0.0,0.0
gemma27b,decomposed,short,minimal,2,3,2,0.6666666666666666,1.0,0.8
gemma27b,decomposed,short,transparency,1,1,1,1.0,1.0,1.0
gemma27b,decomposed,short,high,9,9,9,1.0,1.0,1.0
gemma27b,decomposed,short,prohibited,1,1,1,1.0,1.0,1.0
gemma27b,decomposed,short,not_ai_system,1,0,0,0.0,0.0,0.0
gemma27b,decomposed,short,insufficient_information,0,0,0,0.0,0.0,0.0
gpt52,decomposed,short,minimal,2,2,1,0.5,0.5,0.5
gpt52,decomposed,short,transparency,1,1,1,1.0,1.0,1.0
gpt52,decomposed,short,high,9,7,7,1.0,0.7777777777777778,0.875
gpt52,decomposed,short,prohibited,1,2,1,0.5,1.0,0.6666666666666666
gpt52,decomposed,short,not_ai_system,1,1,1,1.0,1.0,1.0
gpt52,decomposed,short,insufficient_information,0,0,0,0.0,0.0,0.0
gpt56luna,decomposed,short,minimal,2,3,2,0.6666666666666666,1.0,0.8
gpt56luna,decomposed,short,transparency,1,3,1,0.3333333333333333,1.0,0.5
gpt56luna,decomposed,short,high,9,5,5,1.0,0.5555555555555556,0.7142857142857143
gpt56luna,decomposed,short,prohibited,1,2,1,0.5,1.0,0.6666666666666666
gpt56luna,decomposed,short,not_ai_system,1,1,1,1.0,1.0,1.0
gpt56luna,decomposed,short,insufficient_information,0,0,0,0.0,0.0,0.0
gpt56sol,decomposed,short,minimal,2,2,2,1.0,1.0,1.0
gpt56sol,decomposed,short,transparency,1,3,1,0.3333333333333333,1.0,0.5
gpt56sol,decomposed,short,high,9,6,6,1.0,0.6666666666666666,0.8
gpt56sol,decomposed,short,prohibited,1,2,1,0.5,1.0,0.6666666666666666
gpt56sol,decomposed,short,not_ai_system,1,1,1,1.0,1.0,1.0
gpt56sol,decomposed,short,insufficient_information,0,0,0,0.0,0.0,0.0
grok46,decomposed,short,minimal,2,3,1,0.3333333333333333,0.5,0.4
grok46,decomposed,short,transparency,1,3,1,0.3333333333333333,1.0,0.5
grok46,decomposed,short,high,9,5,5,1.0,0.5555555555555556,0.7142857142857143
grok46,decomposed,short,prohibited,1,2,1,0.5,1.0,0.6666666666666666
grok46,decomposed,short,not_ai_system,1,1,1,1.0,1.0,1.0
grok46,decomposed,short,insufficient_information,0,0,0,0.0,0.0,0.0
haiku45,decomposed,short,minimal,2,1,1,1.0,0.5,0.6666666666666666
haiku45,decomposed,short,transparency,1,1,1,1.0,1.0,1.0
haiku45,decomposed,short,high,9,7,7,1.0,0.7777777777777778,0.875
haiku45,decomposed,short,prohibited,1,2,1,0.5,1.0,0.6666666666666666
haiku45,decomposed,short,not_ai_system,1,1,1,1.0,1.0,1.0
haiku45,decomposed,short,insufficient_information,0,1,0,0.0,0.0,0.0
kimi25,decomposed,short,minimal,2,2,1,0.5,0.5,0.5
kimi25,decomposed,short,transparency,1,2,1,0.5,1.0,0.6666666666666666
kimi25,decomposed,short,high,9,8,8,1.0,0.8888888888888888,0.9411764705882353
kimi25,decomposed,short,prohibited,1,1,1,1.0,1.0,1.0
kimi25,decomposed,short,not_ai_system,1,1,1,1.0,1.0,1.0
kimi25,decomposed,short,insufficient_information,0,0,0,0.0,0.0,0.0
kimi3,decomposed,short,minimal,2,2,2,1.0,1.0,1.0
kimi3,decomposed,short,transparency,1,1,1,1.0,1.0,1.0
kimi3,decomposed,short,high,9,6,6,1.0,0.6666666666666666,0.8
kimi3,decomposed,short,prohibited,1,1,0,0.0,0.0,0.0
kimi3,decomposed,short,not_ai_system,1,1,1,1.0,1.0,1.0
kimi3,decomposed,short,insufficient_information,0,0,0,0.0,0.0,0.0
qwen3827b,decomposed,short,minimal,2,3,2,0.6666666666666666,1.0,0.8
qwen3827b,decomposed,short,transparency,1,1,1,1.0,1.0,1.0
qwen3827b,decomposed,short,high,9,7,7,1.0,0.7777777777777778,0.875
qwen3827b,decomposed,short,prohibited,1,1,0,0.0,0.0,0.0
qwen3827b,decomposed,short,not_ai_system,1,1,1,1.0,1.0,1.0
qwen3827b,decomposed,short,insufficient_information,0,0,0,0.0,0.0,0.0
qwen38max,decomposed,short,minimal,2,1,1,1.0,0.5,0.6666666666666666
qwen38max,decomposed,short,transparency,1,1,1,1.0,1.0,1.0
qwen38max,decomposed,short,high,9,6,6,1.0,0.6666666666666666,0.8
qwen38max,decomposed,short,prohibited,1,1,1,1.0,1.0,1.0
qwen38max,decomposed,short,not_ai_system,1,1,1,1.0,1.0,1.0
qwen38max,decomposed,short,insufficient_information,0,0,0,0.0,0.0,0.0
sonnet46,decomposed,short,minimal,2,2,2,1.0,1.0,1.0
sonnet46,decomposed,short,transparency,1,1,1,1.0,1.0,1.0
sonnet46,decomposed,short,high,9,9,9,1.0,1.0,1.0
sonnet46,decomposed,short,prohibited,1,1,1,1.0,1.0,1.0
sonnet46,decomposed,short,not_ai_system,1,1,1,1.0,1.0,1.0
sonnet46,decomposed,short,insufficient_information,0,0,0,0.0,0.0,0.0
sonnet5,decomposed,short,minimal,2,3,1,0.3333333333333333,0.5,0.4
sonnet5,decomposed,short,transparency,1,1,1,1.0,1.0,1.0
sonnet5,decomposed,short,high,9,3,3,1.0,0.3333333333333333,0.5
sonnet5,decomposed,short,prohibited,1,2,1,0.5,1.0,0.6666666666666666
sonnet5,decomposed,short,not_ai_system,1,2,1,0.5,1.0,0.6666666666666666
sonnet5,decomposed,short,insufficient_information,0,0,0,0.0,0.0,0.0
gemini37f,decomposed,expanded,minimal,2,5,2,0.4,1.0,0.5714285714285714
gemini37f,decomposed,expanded,transparency,1,1,1,1.0,1.0,1.0
gemini37f,decomposed,expanded,high,9,4,4,1.0,0.4444444444444444,0.6153846153846154
gemini37f,decomposed,expanded,prohibited,1,2,1,0.5,1.0,0.6666666666666666
gemini37f,decomposed,expanded,not_ai_system,1,2,1,0.5,1.0,0.6666666666666666
gemini37f,decomposed,expanded,insufficient_information,0,0,0,0.0,0.0,0.0
gemini3f,decomposed,expanded,minimal,2,2,2,1.0,1.0,1.0
gemini3f,decomposed,expanded,transparency,1,2,1,0.5,1.0,0.6666666666666666
gemini3f,decomposed,expanded,high,9,8,8,1.0,0.8888888888888888,0.9411764705882353
gemini3f,decomposed,expanded,prohibited,1,1,1,1.0,1.0,1.0
gemini3f,decomposed,expanded,not_ai_system,1,1,1,1.0,1.0,1.0
gemini3f,decomposed,expanded,insufficient_information,0,0,0,0.0,0.0,0.0
gemma27b,decomposed,expanded,minimal,2,2,1,0.5,0.5,0.5
gemma27b,decomposed,expanded,transparency,1,1,1,1.0,1.0,1.0
gemma27b,decomposed,expanded,high,9,9,9,1.0,1.0,1.0
gemma27b,decomposed,expanded,prohibited,1,2,1,0.5,1.0,0.6666666666666666
gemma27b,decomposed,expanded,not_ai_system,1,0,0,0.0,0.0,0.0
gemma27b,decomposed,expanded,insufficient_information,0,0,0,0.0,0.0,0.0
gpt52,decomposed,expanded,minimal,2,3,2,0.6666666666666666,1.0,0.8
gpt52,decomposed,expanded,transparency,1,1,1,1.0,1.0,1.0
gpt52,decomposed,expanded,high,9,5,5,1.0,0.5555555555555556,0.7142857142857143
gpt52,decomposed,expanded,prohibited,1,2,1,0.5,1.0,0.6666666666666666
gpt52,decomposed,expanded,not_ai_system,1,3,1,0.3333333333333333,1.0,0.5
gpt52,decomposed,expanded,insufficient_information,0,0,0,0.0,0.0,0.0
gpt56luna,decomposed,expanded,minimal,2,2,0,0.0,0.0,0.0
gpt56luna,decomposed,expanded,transparency,1,3,1,0.3333333333333333,1.0,0.5
gpt56luna,decomposed,expanded,high,9,5,4,0.8,0.4444444444444444,0.5714285714285714
gpt56luna,decomposed,expanded,prohibited,1,2,1,0.5,1.0,0.6666666666666666
gpt56luna,decomposed,expanded,not_ai_system,1,2,1,0.5,1.0,0.6666666666666666
gpt56luna,decomposed,expanded,insufficient_information,0,0,0,0.0,0.0,0.0
gpt56sol,decomposed,expanded,minimal,2,3,2,0.6666666666666666,1.0,0.8
gpt56sol,decomposed,expanded,transparency,1,3,1,0.3333333333333333,1.0,0.5
gpt56sol,decomposed,expanded,high,9,3,3,1.0,0.3333333333333333,0.5
gpt56sol,decomposed,expanded,prohibited,1,2,1,0.5,1.0,0.6666666666666666
gpt56sol,decomposed,expanded,not_ai_system,1,3,1,0.3333333333333333,1.0,0.5
gpt56sol,decomposed,expanded,insufficient_information,0,0,0,0.0,0.0,0.0
grok46,decomposed,expanded,minimal,2,3,2,0.6666666666666666,1.0,0.8
grok46,decomposed,expanded,transparency,1,2,1,0.5,1.0,0.6666666666666666
grok46,decomposed,expanded,high,9,6,6,1.0,0.6666666666666666,0.8
grok46,decomposed,expanded,prohibited,1,2,1,0.5,1.0,0.6666666666666666
grok46,decomposed,expanded,not_ai_system,1,1,1,1.0,1.0,1.0
grok46,decomposed,expanded,insufficient_information,0,0,0,0.0,0.0,0.0
haiku45,decomposed,expanded,minimal,2,5,2,0.4,1.0,0.5714285714285714
haiku45,decomposed,expanded,transparency,1,1,1,1.0,1.0,1.0
haiku45,decomposed,expanded,high,9,4,4,1.0,0.4444444444444444,0.6153846153846154
haiku45,decomposed,expanded,prohibited,1,2,1,0.5,1.0,0.6666666666666666
haiku45,decomposed,expanded,not_ai_system,1,1,1,1.0,1.0,1.0
haiku45,decomposed,expanded,insufficient_information,0,1,0,0.0,0.0,0.0
kimi25,decomposed,expanded,minimal,2,3,2,0.6666666666666666,1.0,0.8
kimi25,decomposed,expanded,transparency,1,1,1,1.0,1.0,1.0
kimi25,decomposed,expanded,high,9,5,5,1.0,0.5555555555555556,0.7142857142857143
kimi25,decomposed,expanded,prohibited,1,2,1,0.5,1.0,0.6666666666666666
kimi25,decomposed,expanded,not_ai_system,1,3,1,0.3333333333333333,1.0,0.5
kimi25,decomposed,expanded,insufficient_information,0,0,0,0.0,0.0,0.0
kimi3,decomposed,expanded,minimal,2,4,2,0.5,1.0,0.6666666666666666
kimi3,decomposed,expanded,transparency,1,1,1,1.0,1.0,1.0
kimi3,decomposed,expanded,high,9,6,6,1.0,0.6666666666666666,0.8
kimi3,decomposed,expanded,prohibited,1,1,0,0.0,0.0,0.0
kimi3,decomposed,expanded,not_ai_system,1,1,1,1.0,1.0,1.0
kimi3,decomposed,expanded,insufficient_information,0,0,0,0.0,0.0,0.0
qwen3827b,decomposed,expanded,minimal,2,3,2,0.6666666666666666,1.0,0.8
qwen3827b,decomposed,expanded,transparency,1,2,1,0.5,1.0,0.6666666666666666
qwen3827b,decomposed,expanded,high,9,5,5,1.0,0.5555555555555556,0.7142857142857143
qwen3827b,decomposed,expanded,prohibited,1,1,0,0.0,0.0,0.0
qwen3827b,decomposed,expanded,not_ai_system,1,2,1,0.5,1.0,0.6666666666666666
qwen3827b,decomposed,expanded,insufficient_information,0,0,0,0.0,0.0,0.0
qwen38max,decomposed,expanded,minimal,2,1,1,1.0,0.5,0.6666666666666666
qwen38max,decomposed,expanded,transparency,1,1,1,1.0,1.0,1.0
qwen38max,decomposed,expanded,high,9,5,5,1.0,0.5555555555555556,0.7142857142857143
qwen38max,decomposed,expanded,prohibited,1,2,1,0.5,1.0,0.6666666666666666
qwen38max,decomposed,expanded,not_ai_system,1,1,1,1.0,1.0,1.0
qwen38max,decomposed,expanded,insufficient_information,0,0,0,0.0,0.0,0.0
sonnet46,decomposed,expanded,minimal,2,2,2,1.0,1.0,1.0
sonnet46,decomposed,expanded,transparency,1,1,1,1.0,1.0,1.0
sonnet46,decomposed,expanded,high,9,8,8,1.0,0.8888888888888888,0.9411764705882353
sonnet46,decomposed,expanded,prohibited,1,2,1,0.5,1.0,0.6666666666666666
sonnet46,decomposed,expanded,not_ai_system,1,1,1,1.0,1.0,1.0
sonnet46,decomposed,expanded,insufficient_information,0,0,0,0.0,0.0,0.0
sonnet5,decomposed,expanded,minimal,2,3,2,0.6666666666666666,1.0,0.8
sonnet5,decomposed,expanded,transparency,1,1,1,1.0,1.0,1.0
sonnet5,decomposed,expanded,high,9,4,4,1.0,0.4444444444444444,0.6153846153846154
sonnet5,decomposed,expanded,prohibited,1,2,1,0.5,1.0,0.6666666666666666
sonnet5,decomposed,expanded,not_ai_system,1,2,1,0.5,1.0,0.6666666666666666
sonnet5,decomposed,expanded,insufficient_information,0,0,0,0.0,0.0,0.0
