model,prompt,evidence,reference,prediction,count
gpt52,naive,short,not_ai_system,transparency,0
gpt52,naive,short,not_ai_system,high,0
gpt52,naive,short,not_ai_system,prohibited,0
gpt52,naive,short,not_ai_system,not_ai_system,1
gpt52,naive,short,not_ai_system,insufficient_information,0
gpt52,naive,short,not_ai_system,__missing__,0
gpt52,naive,short,insufficient_information,minimal,0
gpt52,naive,short,insufficient_information,transparency,0
gpt52,naive,short,insufficient_information,high,0
gpt52,naive,short,insufficient_information,prohibited,0
gpt52,naive,short,insufficient_information,not_ai_system,0
gpt52,naive,short,insufficient_information,insufficient_information,0
gpt52,naive,short,insufficient_information,__missing__,0
gpt56luna,naive,short,minimal,minimal,2
gpt56luna,naive,short,minimal,transparency,0
gpt56luna,naive,short,minimal,high,0
gpt56luna,naive,short,minimal,prohibited,0
gpt56luna,naive,short,minimal,not_ai_system,0
gpt56luna,naive,short,minimal,insufficient_information,0
gpt56luna,naive,short,minimal,__missing__,0
gpt56luna,naive,short,transparency,minimal,0
gpt56luna,naive,short,transparency,transparency,1
gpt56luna,naive,short,transparency,high,0
gpt56luna,naive,short,transparency,prohibited,0
gpt56luna,naive,short,transparency,not_ai_system,0
gpt56luna,naive,short,transparency,insufficient_information,0
gpt56luna,naive,short,transparency,__missing__,0
gpt56luna,naive,short,high,minimal,2
gpt56luna,naive,short,high,transparency,0
gpt56luna,naive,short,high,high,6
gpt56luna,naive,short,high,prohibited,1
gpt56luna,naive,short,high,not_ai_system,0
gpt56luna,naive,short,high,insufficient_information,0
gpt56luna,naive,short,high,__missing__,0
gpt56luna,naive,short,prohibited,minimal,0
gpt56luna,naive,short,prohibited,transparency,0
gpt56luna,naive,short,prohibited,high,0
gpt56luna,naive,short,prohibited,prohibited,1
gpt56luna,naive,short,prohibited,not_ai_system,0
gpt56luna,naive,short,prohibited,insufficient_information,0
gpt56luna,naive,short,prohibited,__missing__,0
gpt56luna,naive,short,not_ai_system,minimal,0
gpt56luna,naive,short,not_ai_system,transparency,0
gpt56luna,naive,short,not_ai_system,high,0
gpt56luna,naive,short,not_ai_system,prohibited,0
gpt56luna,naive,short,not_ai_system,not_ai_system,1
gpt56luna,naive,short,not_ai_system,insufficient_information,0
gpt56luna,naive,short,not_ai_system,__missing__,0
gpt56luna,naive,short,insufficient_information,minimal,0
gpt56luna,naive,short,insufficient_information,transparency,0
gpt56luna,naive,short,insufficient_information,high,0
gpt56luna,naive,short,insufficient_information,prohibited,0
gpt56luna,naive,short,insufficient_information,not_ai_system,0
gpt56luna,naive,short,insufficient_information,insufficient_information,0
gpt56luna,naive,short,insufficient_information,__missing__,0
gpt56sol,naive,short,minimal,minimal,2
gpt56sol,naive,short,minimal,transparency,0
gpt56sol,naive,short,minimal,high,0
gpt56sol,naive,short,minimal,prohibited,0
gpt56sol,naive,short,minimal,not_ai_system,0
gpt56sol,naive,short,minimal,insufficient_information,0
gpt56sol,naive,short,minimal,__missing__,0
gpt56sol,naive,short,transparency,minimal,0
gpt56sol,naive,short,transparency,transparency,1
gpt56sol,naive,short,transparency,high,0
gpt56sol,naive,short,transparency,prohibited,0
gpt56sol,naive,short,transparency,not_ai_system,0
gpt56sol,naive,short,transparency,insufficient_information,0
gpt56sol,naive,short,transparency,__missing__,0
gpt56sol,naive,short,high,minimal,2
gpt56sol,naive,short,high,transparency,0
gpt56sol,naive,short,high,high,6
gpt56sol,naive,short,high,prohibited,0
gpt56sol,naive,short,high,not_ai_system,1
gpt56sol,naive,short,high,insufficient_information,0
gpt56sol,naive,short,high,__missing__,0
gpt56sol,naive,short,prohibited,minimal,0
gpt56sol,naive,short,prohibited,transparency,0
gpt56sol,naive,short,prohibited,high,0
gpt56sol,naive,short,prohibited,prohibited,1
gpt56sol,naive,short,prohibited,not_ai_system,0
gpt56sol,naive,short,prohibited,insufficient_information,0
gpt56sol,naive,short,prohibited,__missing__,0
gpt56sol,naive,short,not_ai_system,minimal,0
gpt56sol,naive,short,not_ai_system,transparency,0
gpt56sol,naive,short,not_ai_system,high,0
gpt56sol,naive,short,not_ai_system,prohibited,0
gpt56sol,naive,short,not_ai_system,not_ai_system,1
gpt56sol,naive,short,not_ai_system,insufficient_information,0
gpt56sol,naive,short,not_ai_system,__missing__,0
gpt56sol,naive,short,insufficient_information,minimal,0
gpt56sol,naive,short,insufficient_information,transparency,0
gpt56sol,naive,short,insufficient_information,high,0
gpt56sol,naive,short,insufficient_information,prohibited,0
gpt56sol,naive,short,insufficient_information,not_ai_system,0
gpt56sol,naive,short,insufficient_information,insufficient_information,0
gpt56sol,naive,short,insufficient_information,__missing__,0
grok46,naive,short,minimal,minimal,2
grok46,naive,short,minimal,transparency,0
grok46,naive,short,minimal,high,0
grok46,naive,short,minimal,prohibited,0
grok46,naive,short,minimal,not_ai_system,0
grok46,naive,short,minimal,insufficient_information,0
grok46,naive,short,minimal,__missing__,0
grok46,naive,short,transparency,minimal,0
grok46,naive,short,transparency,transparency,1
grok46,naive,short,transparency,high,0
grok46,naive,short,transparency,prohibited,0
grok46,naive,short,transparency,not_ai_system,0
grok46,naive,short,transparency,insufficient_information,0
grok46,naive,short,transparency,__missing__,0
grok46,naive,short,high,minimal,2
grok46,naive,short,high,transparency,0
grok46,naive,short,high,high,6
grok46,naive,short,high,prohibited,1
grok46,naive,short,high,not_ai_system,0
grok46,naive,short,high,insufficient_information,0
grok46,naive,short,high,__missing__,0
grok46,naive,short,prohibited,minimal,0
grok46,naive,short,prohibited,transparency,0
grok46,naive,short,prohibited,high,0
grok46,naive,short,prohibited,prohibited,1
grok46,naive,short,prohibited,not_ai_system,0
grok46,naive,short,prohibited,insufficient_information,0
grok46,naive,short,prohibited,__missing__,0
grok46,naive,short,not_ai_system,minimal,0
grok46,naive,short,not_ai_system,transparency,0
grok46,naive,short,not_ai_system,high,0
grok46,naive,short,not_ai_system,prohibited,0
grok46,naive,short,not_ai_system,not_ai_system,1
grok46,naive,short,not_ai_system,insufficient_information,0
grok46,naive,short,not_ai_system,__missing__,0
grok46,naive,short,insufficient_information,minimal,0
grok46,naive,short,insufficient_information,transparency,0
grok46,naive,short,insufficient_information,high,0
grok46,naive,short,insufficient_information,prohibited,0
grok46,naive,short,insufficient_information,not_ai_system,0
grok46,naive,short,insufficient_information,insufficient_information,0
grok46,naive,short,insufficient_information,__missing__,0
haiku45,naive,short,minimal,minimal,0
haiku45,naive,short,minimal,transparency,0
haiku45,naive,short,minimal,high,2
haiku45,naive,short,minimal,prohibited,0
haiku45,naive,short,minimal,not_ai_system,0
haiku45,naive,short,minimal,insufficient_information,0
haiku45,naive,short,minimal,__missing__,0
haiku45,naive,short,transparency,minimal,0
haiku45,naive,short,transparency,transparency,0
haiku45,naive,short,transparency,high,0
haiku45,naive,short,transparency,prohibited,1
haiku45,naive,short,transparency,not_ai_system,0
haiku45,naive,short,transparency,insufficient_information,0
haiku45,naive,short,transparency,__missing__,0
haiku45,naive,short,high,minimal,0
haiku45,naive,short,high,transparency,0
haiku45,naive,short,high,high,9
haiku45,naive,short,high,prohibited,0
haiku45,naive,short,high,not_ai_system,0
haiku45,naive,short,high,insufficient_information,0
haiku45,naive,short,high,__missing__,0
haiku45,naive,short,prohibited,minimal,0
haiku45,naive,short,prohibited,transparency,0
haiku45,naive,short,prohibited,high,0
haiku45,naive,short,prohibited,prohibited,1
haiku45,naive,short,prohibited,not_ai_system,0
haiku45,naive,short,prohibited,insufficient_information,0
haiku45,naive,short,prohibited,__missing__,0
haiku45,naive,short,not_ai_system,minimal,0
haiku45,naive,short,not_ai_system,transparency,0
haiku45,naive,short,not_ai_system,high,0
haiku45,naive,short,not_ai_system,prohibited,0
haiku45,naive,short,not_ai_system,not_ai_system,1
haiku45,naive,short,not_ai_system,insufficient_information,0
haiku45,naive,short,not_ai_system,__missing__,0
haiku45,naive,short,insufficient_information,minimal,0
haiku45,naive,short,insufficient_information,transparency,0
haiku45,naive,short,insufficient_information,high,0
haiku45,naive,short,insufficient_information,prohibited,0
haiku45,naive,short,insufficient_information,not_ai_system,0
haiku45,naive,short,insufficient_information,insufficient_information,0
haiku45,naive,short,insufficient_information,__missing__,0
kimi25,naive,short,minimal,minimal,0
kimi25,naive,short,minimal,transparency,0
kimi25,naive,short,minimal,high,2
kimi25,naive,short,minimal,prohibited,0
kimi25,naive,short,minimal,not_ai_system,0
kimi25,naive,short,minimal,insufficient_information,0
kimi25,naive,short,minimal,__missing__,0
kimi25,naive,short,transparency,minimal,0
kimi25,naive,short,transparency,transparency,1
kimi25,naive,short,transparency,high,0
kimi25,naive,short,transparency,prohibited,0
kimi25,naive,short,transparency,not_ai_system,0
kimi25,naive,short,transparency,insufficient_information,0
kimi25,naive,short,transparency,__missing__,0
kimi25,naive,short,high,minimal,1
kimi25,naive,short,high,transparency,0
kimi25,naive,short,high,high,7
kimi25,naive,short,high,prohibited,1
kimi25,naive,short,high,not_ai_system,0
kimi25,naive,short,high,insufficient_information,0
kimi25,naive,short,high,__missing__,0
kimi25,naive,short,prohibited,minimal,0
kimi25,naive,short,prohibited,transparency,0
kimi25,naive,short,prohibited,high,0
kimi25,naive,short,prohibited,prohibited,1
kimi25,naive,short,prohibited,not_ai_system,0
kimi25,naive,short,prohibited,insufficient_information,0
kimi25,naive,short,prohibited,__missing__,0
kimi25,naive,short,not_ai_system,minimal,0
kimi25,naive,short,not_ai_system,transparency,0
kimi25,naive,short,not_ai_system,high,0
kimi25,naive,short,not_ai_system,prohibited,0
kimi25,naive,short,not_ai_system,not_ai_system,1
kimi25,naive,short,not_ai_system,insufficient_information,0
kimi25,naive,short,not_ai_system,__missing__,0
kimi25,naive,short,insufficient_information,minimal,0
kimi25,naive,short,insufficient_information,transparency,0
kimi25,naive,short,insufficient_information,high,0
kimi25,naive,short,insufficient_information,prohibited,0
kimi25,naive,short,insufficient_information,not_ai_system,0
kimi25,naive,short,insufficient_information,insufficient_information,0
kimi25,naive,short,insufficient_information,__missing__,0
kimi3,naive,short,minimal,minimal,1
kimi3,naive,short,minimal,transparency,0
kimi3,naive,short,minimal,high,1
kimi3,naive,short,minimal,prohibited,0
kimi3,naive,short,minimal,not_ai_system,0
kimi3,naive,short,minimal,insufficient_information,0
kimi3,naive,short,minimal,__missing__,0
kimi3,naive,short,transparency,minimal,0
kimi3,naive,short,transparency,transparency,1
kimi3,naive,short,transparency,high,0
kimi3,naive,short,transparency,prohibited,0
kimi3,naive,short,transparency,not_ai_system,0
kimi3,naive,short,transparency,insufficient_information,0
kimi3,naive,short,transparency,__missing__,0
kimi3,naive,short,high,minimal,0
kimi3,naive,short,high,transparency,0
kimi3,naive,short,high,high,8
kimi3,naive,short,high,prohibited,1
kimi3,naive,short,high,not_ai_system,0
kimi3,naive,short,high,insufficient_information,0
kimi3,naive,short,high,__missing__,0
kimi3,naive,short,prohibited,minimal,0
kimi3,naive,short,prohibited,transparency,0
kimi3,naive,short,prohibited,high,0
kimi3,naive,short,prohibited,prohibited,0
kimi3,naive,short,prohibited,not_ai_system,0
kimi3,naive,short,prohibited,insufficient_information,0
kimi3,naive,short,prohibited,__missing__,1
kimi3,naive,short,not_ai_system,minimal,0
kimi3,naive,short,not_ai_system,transparency,0
kimi3,naive,short,not_ai_system,high,0
kimi3,naive,short,not_ai_system,prohibited,0
kimi3,naive,short,not_ai_system,not_ai_system,1
kimi3,naive,short,not_ai_system,insufficient_information,0
kimi3,naive,short,not_ai_system,__missing__,0
kimi3,naive,short,insufficient_information,minimal,0
kimi3,naive,short,insufficient_information,transparency,0
kimi3,naive,short,insufficient_information,high,0
kimi3,naive,short,insufficient_information,prohibited,0
kimi3,naive,short,insufficient_information,not_ai_system,0
kimi3,naive,short,insufficient_information,insufficient_information,0
kimi3,naive,short,insufficient_information,__missing__,0
qwen3827b,naive,short,minimal,minimal,2
qwen3827b,naive,short,minimal,transparency,0
qwen3827b,naive,short,minimal,high,0
qwen3827b,naive,short,minimal,prohibited,0
qwen3827b,naive,short,minimal,not_ai_system,0
qwen3827b,naive,short,minimal,insufficient_information,0
qwen3827b,naive,short,minimal,__missing__,0
qwen3827b,naive,short,transparency,minimal,0
qwen3827b,naive,short,transparency,transparency,1
qwen3827b,naive,short,transparency,high,0
qwen3827b,naive,short,transparency,prohibited,0
qwen3827b,naive,short,transparency,not_ai_system,0
qwen3827b,naive,short,transparency,insufficient_information,0
qwen3827b,naive,short,transparency,__missing__,0
qwen3827b,naive,short,high,minimal,2
qwen3827b,naive,short,high,transparency,0
qwen3827b,naive,short,high,high,6
qwen3827b,naive,short,high,prohibited,1
qwen3827b,naive,short,high,not_ai_system,0
qwen3827b,naive,short,high,insufficient_information,0
qwen3827b,naive,short,high,__missing__,0
qwen3827b,naive,short,prohibited,minimal,0
qwen3827b,naive,short,prohibited,transparency,0
qwen3827b,naive,short,prohibited,high,0
qwen3827b,naive,short,prohibited,prohibited,0
qwen3827b,naive,short,prohibited,not_ai_system,0
qwen3827b,naive,short,prohibited,insufficient_information,0
qwen3827b,naive,short,prohibited,__missing__,1
qwen3827b,naive,short,not_ai_system,minimal,0
qwen3827b,naive,short,not_ai_system,transparency,0
qwen3827b,naive,short,not_ai_system,high,0
qwen3827b,naive,short,not_ai_system,prohibited,0
qwen3827b,naive,short,not_ai_system,not_ai_system,1
qwen3827b,naive,short,not_ai_system,insufficient_information,0
qwen3827b,naive,short,not_ai_system,__missing__,0
qwen3827b,naive,short,insufficient_information,minimal,0
qwen3827b,naive,short,insufficient_information,transparency,0
qwen3827b,naive,short,insufficient_information,high,0
qwen3827b,naive,short,insufficient_information,prohibited,0
qwen3827b,naive,short,insufficient_information,not_ai_system,0
qwen3827b,naive,short,insufficient_information,insufficient_information,0
qwen3827b,naive,short,insufficient_information,__missing__,0
qwen38max,naive,short,minimal,minimal,2
qwen38max,naive,short,minimal,transparency,0
qwen38max,naive,short,minimal,high,0
qwen38max,naive,short,minimal,prohibited,0
qwen38max,naive,short,minimal,not_ai_system,0
qwen38max,naive,short,minimal,insufficient_information,0
qwen38max,naive,short,minimal,__missing__,0
qwen38max,naive,short,transparency,minimal,0
qwen38max,naive,short,transparency,transparency,1
qwen38max,naive,short,transparency,high,0
qwen38max,naive,short,transparency,prohibited,0
qwen38max,naive,short,transparency,not_ai_system,0
qwen38max,naive,short,transparency,insufficient_information,0
qwen38max,naive,short,transparency,__missing__,0
qwen38max,naive,short,high,minimal,0
qwen38max,naive,short,high,transparency,0
qwen38max,naive,short,high,high,5
qwen38max,naive,short,high,prohibited,1
qwen38max,naive,short,high,not_ai_system,0
qwen38max,naive,short,high,insufficient_information,0
qwen38max,naive,short,high,__missing__,3
qwen38max,naive,short,prohibited,minimal,0
qwen38max,naive,short,prohibited,transparency,0
qwen38max,naive,short,prohibited,high,0
qwen38max,naive,short,prohibited,prohibited,1
qwen38max,naive,short,prohibited,not_ai_system,0
qwen38max,naive,short,prohibited,insufficient_information,0
qwen38max,naive,short,prohibited,__missing__,0
qwen38max,naive,short,not_ai_system,minimal,0
qwen38max,naive,short,not_ai_system,transparency,0
qwen38max,naive,short,not_ai_system,high,0
qwen38max,naive,short,not_ai_system,prohibited,0
qwen38max,naive,short,not_ai_system,not_ai_system,1
qwen38max,naive,short,not_ai_system,insufficient_information,0
qwen38max,naive,short,not_ai_system,__missing__,0
qwen38max,naive,short,insufficient_information,minimal,0
qwen38max,naive,short,insufficient_information,transparency,0
qwen38max,naive,short,insufficient_information,high,0
qwen38max,naive,short,insufficient_information,prohibited,0
qwen38max,naive,short,insufficient_information,not_ai_system,0
qwen38max,naive,short,insufficient_information,insufficient_information,0
qwen38max,naive,short,insufficient_information,__missing__,0
sonnet46,naive,short,minimal,minimal,2
sonnet46,naive,short,minimal,transparency,0
sonnet46,naive,short,minimal,high,0
sonnet46,naive,short,minimal,prohibited,0
sonnet46,naive,short,minimal,not_ai_system,0
sonnet46,naive,short,minimal,insufficient_information,0
sonnet46,naive,short,minimal,__missing__,0
sonnet46,naive,short,transparency,minimal,0
sonnet46,naive,short,transparency,transparency,0
sonnet46,naive,short,transparency,high,0
sonnet46,naive,short,transparency,prohibited,1
sonnet46,naive,short,transparency,not_ai_system,0
sonnet46,naive,short,transparency,insufficient_information,0
sonnet46,naive,short,transparency,__missing__,0
sonnet46,naive,short,high,minimal,0
sonnet46,naive,short,high,transparency,0
sonnet46,naive,short,high,high,9
sonnet46,naive,short,high,prohibited,0
sonnet46,naive,short,high,not_ai_system,0
sonnet46,naive,short,high,insufficient_information,0
sonnet46,naive,short,high,__missing__,0
sonnet46,naive,short,prohibited,minimal,0
sonnet46,naive,short,prohibited,transparency,0
sonnet46,naive,short,prohibited,high,0
sonnet46,naive,short,prohibited,prohibited,1
sonnet46,naive,short,prohibited,not_ai_system,0
sonnet46,naive,short,prohibited,insufficient_information,0
sonnet46,naive,short,prohibited,__missing__,0
sonnet46,naive,short,not_ai_system,minimal,0
sonnet46,naive,short,not_ai_system,transparency,0
sonnet46,naive,short,not_ai_system,high,0
sonnet46,naive,short,not_ai_system,prohibited,0
sonnet46,naive,short,not_ai_system,not_ai_system,1
sonnet46,naive,short,not_ai_system,insufficient_information,0
sonnet46,naive,short,not_ai_system,__missing__,0
sonnet46,naive,short,insufficient_information,minimal,0
sonnet46,naive,short,insufficient_information,transparency,0
sonnet46,naive,short,insufficient_information,high,0
sonnet46,naive,short,insufficient_information,prohibited,0
sonnet46,naive,short,insufficient_information,not_ai_system,0
sonnet46,naive,short,insufficient_information,insufficient_information,0
sonnet46,naive,short,insufficient_information,__missing__,0
sonnet5,naive,short,minimal,minimal,2
sonnet5,naive,short,minimal,transparency,0
sonnet5,naive,short,minimal,high,0
sonnet5,naive,short,minimal,prohibited,0
sonnet5,naive,short,minimal,not_ai_system,0
sonnet5,naive,short,minimal,insufficient_information,0
sonnet5,naive,short,minimal,__missing__,0
sonnet5,naive,short,transparency,minimal,0
sonnet5,naive,short,transparency,transparency,0
sonnet5,naive,short,transparency,high,0
sonnet5,naive,short,transparency,prohibited,0
sonnet5,naive,short,transparency,not_ai_system,0
sonnet5,naive,short,transparency,insufficient_information,0
sonnet5,naive,short,transparency,__missing__,1
sonnet5,naive,short,high,minimal,1
sonnet5,naive,short,high,transparency,0
sonnet5,naive,short,high,high,6
sonnet5,naive,short,high,prohibited,1
sonnet5,naive,short,high,not_ai_system,0
sonnet5,naive,short,high,insufficient_information,0
sonnet5,naive,short,high,__missing__,1
sonnet5,naive,short,prohibited,minimal,0
sonnet5,naive,short,prohibited,transparency,0
sonnet5,naive,short,prohibited,high,0
sonnet5,naive,short,prohibited,prohibited,1
sonnet5,naive,short,prohibited,not_ai_system,0
sonnet5,naive,short,prohibited,insufficient_information,0
sonnet5,naive,short,prohibited,__missing__,0
sonnet5,naive,short,not_ai_system,minimal,0
sonnet5,naive,short,not_ai_system,transparency,0
sonnet5,naive,short,not_ai_system,high,0
sonnet5,naive,short,not_ai_system,prohibited,0
sonnet5,naive,short,not_ai_system,not_ai_system,1
sonnet5,naive,short,not_ai_system,insufficient_information,0
sonnet5,naive,short,not_ai_system,__missing__,0
sonnet5,naive,short,insufficient_information,minimal,0
sonnet5,naive,short,insufficient_information,transparency,0
sonnet5,naive,short,insufficient_information,high,0
sonnet5,naive,short,insufficient_information,prohibited,0
sonnet5,naive,short,insufficient_information,not_ai_system,0
sonnet5,naive,short,insufficient_information,insufficient_information,0
sonnet5,naive,short,insufficient_information,__missing__,0
gemini37f,naive,expanded,minimal,minimal,2
gemini37f,naive,expanded,minimal,transparency,0
gemini37f,naive,expanded,minimal,high,0
gemini37f,naive,expanded,minimal,prohibited,0
gemini37f,naive,expanded,minimal,not_ai_system,0
gemini37f,naive,expanded,minimal,insufficient_information,0
gemini37f,naive,expanded,minimal,__missing__,0
gemini37f,naive,expanded,transparency,minimal,0
gemini37f,naive,expanded,transparency,transparency,1
gemini37f,naive,expanded,transparency,high,0
gemini37f,naive,expanded,transparency,prohibited,0
gemini37f,naive,expanded,transparency,not_ai_system,0
gemini37f,naive,expanded,transparency,insufficient_information,0
gemini37f,naive,expanded,transparency,__missing__,0
gemini37f,naive,expanded,high,minimal,0
gemini37f,naive,expanded,high,transparency,0
gemini37f,naive,expanded,high,high,8
gemini37f,naive,expanded,high,prohibited,1
gemini37f,naive,expanded,high,not_ai_system,0
gemini37f,naive,expanded,high,insufficient_information,0
gemini37f,naive,expanded,high,__missing__,0
gemini37f,naive,expanded,prohibited,minimal,0
gemini37f,naive,expanded,prohibited,transparency,0
gemini37f,naive,expanded,prohibited,high,0
gemini37f,naive,expanded,prohibited,prohibited,1
gemini37f,naive,expanded,prohibited,not_ai_system,0
gemini37f,naive,expanded,prohibited,insufficient_information,0
gemini37f,naive,expanded,prohibited,__missing__,0
gemini37f,naive,expanded,not_ai_system,minimal,0
gemini37f,naive,expanded,not_ai_system,transparency,0
gemini37f,naive,expanded,not_ai_system,high,0
