sample_id,model,prompt,reference,short_prediction,expanded_prediction,common_valid,changed,toward_reference,away_from_reference
S011,grok46,naive,high,prohibited,prohibited,True,False,False,False
S013,grok46,naive,high,minimal,high,True,True,True,False
S014,grok46,naive,not_ai_system,not_ai_system,not_ai_system,True,False,False,False
S015,grok46,naive,minimal,minimal,minimal,True,False,False,False
S016,grok46,naive,high,high,high,True,False,False,False
S018,grok46,naive,transparency,transparency,transparency,True,False,False,False
S020,grok46,naive,minimal,minimal,minimal,True,False,False,False
S021,grok46,naive,high,high,high,True,False,False,False
S005,haiku45,naive,high,high,high,True,False,False,False
S006,haiku45,naive,high,high,high,True,False,False,False
S007,haiku45,naive,high,high,high,True,False,False,False
S008,haiku45,naive,high,high,high,True,False,False,False
S009,haiku45,naive,high,high,high,True,False,False,False
S010,haiku45,naive,prohibited,prohibited,prohibited,True,False,False,False
S011,haiku45,naive,high,high,high,True,False,False,False
S013,haiku45,naive,high,high,high,True,False,False,False
S014,haiku45,naive,not_ai_system,not_ai_system,not_ai_system,True,False,False,False
S015,haiku45,naive,minimal,high,high,True,False,False,False
S016,haiku45,naive,high,high,high,True,False,False,False
S018,haiku45,naive,transparency,prohibited,prohibited,True,False,False,False
S020,haiku45,naive,minimal,high,high,True,False,False,False
S021,haiku45,naive,high,high,high,True,False,False,False
S005,kimi25,naive,high,high,high,True,False,False,False
S006,kimi25,naive,high,high,high,True,False,False,False
S007,kimi25,naive,high,high,high,True,False,False,False
S008,kimi25,naive,high,high,high,True,False,False,False
S009,kimi25,naive,high,high,high,True,False,False,False
S010,kimi25,naive,prohibited,prohibited,prohibited,True,False,False,False
S011,kimi25,naive,high,prohibited,prohibited,True,False,False,False
S013,kimi25,naive,high,minimal,high,True,True,True,False
S014,kimi25,naive,not_ai_system,not_ai_system,not_ai_system,True,False,False,False
S015,kimi25,naive,minimal,high,minimal,True,True,True,False
S016,kimi25,naive,high,high,high,True,False,False,False
S018,kimi25,naive,transparency,transparency,transparency,True,False,False,False
S020,kimi25,naive,minimal,high,high,True,False,False,False
S021,kimi25,naive,high,high,high,True,False,False,False
S005,kimi3,naive,high,high,high,True,False,False,False
S006,kimi3,naive,high,high,high,True,False,False,False
S007,kimi3,naive,high,high,high,True,False,False,False
S008,kimi3,naive,high,high,high,True,False,False,False
S009,kimi3,naive,high,high,high,True,False,False,False
S010,kimi3,naive,prohibited,__missing__,__missing__,False,,,
S011,kimi3,naive,high,prohibited,prohibited,True,False,False,False
S013,kimi3,naive,high,high,high,True,False,False,False
S014,kimi3,naive,not_ai_system,not_ai_system,not_ai_system,True,False,False,False
S015,kimi3,naive,minimal,minimal,minimal,True,False,False,False
S016,kimi3,naive,high,high,high,True,False,False,False
S018,kimi3,naive,transparency,transparency,transparency,True,False,False,False
S020,kimi3,naive,minimal,high,minimal,True,True,True,False
S021,kimi3,naive,high,high,high,True,False,False,False
S005,qwen3827b,naive,high,high,minimal,True,True,False,True
S006,qwen3827b,naive,high,high,high,True,False,False,False
S007,qwen3827b,naive,high,minimal,minimal,True,False,False,False
S008,qwen3827b,naive,high,high,high,True,False,False,False
S009,qwen3827b,naive,high,high,high,True,False,False,False
S010,qwen3827b,naive,prohibited,__missing__,prohibited,False,,,
S011,qwen3827b,naive,high,prohibited,high,True,True,True,False
S013,qwen3827b,naive,high,minimal,minimal,True,False,False,False
S014,qwen3827b,naive,not_ai_system,not_ai_system,not_ai_system,True,False,False,False
S015,qwen3827b,naive,minimal,minimal,minimal,True,False,False,False
S016,qwen3827b,naive,high,high,high,True,False,False,False
S018,qwen3827b,naive,transparency,transparency,transparency,True,False,False,False
S020,qwen3827b,naive,minimal,minimal,minimal,True,False,False,False
S021,qwen3827b,naive,high,high,high,True,False,False,False
S005,qwen38max,naive,high,__missing__,__missing__,False,,,
S006,qwen38max,naive,high,high,high,True,False,False,False
S007,qwen38max,naive,high,high,high,True,False,False,False
S008,qwen38max,naive,high,high,high,True,False,False,False
S009,qwen38max,naive,high,high,high,True,False,False,False
S010,qwen38max,naive,prohibited,prohibited,prohibited,True,False,False,False
S011,qwen38max,naive,high,prohibited,prohibited,True,False,False,False
S013,qwen38max,naive,high,__missing__,__missing__,False,,,
S014,qwen38max,naive,not_ai_system,not_ai_system,not_ai_system,True,False,False,False
S015,qwen38max,naive,minimal,minimal,minimal,True,False,False,False
S016,qwen38max,naive,high,__missing__,high,False,,,
S018,qwen38max,naive,transparency,transparency,transparency,True,False,False,False
S020,qwen38max,naive,minimal,minimal,__missing__,False,,,
S021,qwen38max,naive,high,high,high,True,False,False,False
S005,sonnet46,naive,high,high,high,True,False,False,False
S006,sonnet46,naive,high,high,high,True,False,False,False
S007,sonnet46,naive,high,high,high,True,False,False,False
S008,sonnet46,naive,high,high,high,True,False,False,False
S009,sonnet46,naive,high,high,high,True,False,False,False
S010,sonnet46,naive,prohibited,prohibited,prohibited,True,False,False,False
S011,sonnet46,naive,high,high,high,True,False,False,False
S013,sonnet46,naive,high,high,high,True,False,False,False
S014,sonnet46,naive,not_ai_system,not_ai_system,not_ai_system,True,False,False,False
S015,sonnet46,naive,minimal,minimal,minimal,True,False,False,False
S016,sonnet46,naive,high,high,high,True,False,False,False
S018,sonnet46,naive,transparency,prohibited,transparency,True,True,True,False
S020,sonnet46,naive,minimal,minimal,minimal,True,False,False,False
S021,sonnet46,naive,high,high,high,True,False,False,False
S005,sonnet5,naive,high,high,high,True,False,False,False
S006,sonnet5,naive,high,high,high,True,False,False,False
S007,sonnet5,naive,high,minimal,high,True,True,True,False
S008,sonnet5,naive,high,high,high,True,False,False,False
S009,sonnet5,naive,high,high,__missing__,False,,,
S010,sonnet5,naive,prohibited,prohibited,prohibited,True,False,False,False
S011,sonnet5,naive,high,prohibited,prohibited,True,False,False,False
S013,sonnet5,naive,high,high,high,True,False,False,False
S014,sonnet5,naive,not_ai_system,not_ai_system,not_ai_system,True,False,False,False
S015,sonnet5,naive,minimal,minimal,minimal,True,False,False,False
S016,sonnet5,naive,high,__missing__,__missing__,False,,,
S018,sonnet5,naive,transparency,__missing__,transparency,False,,,
S020,sonnet5,naive,minimal,minimal,minimal,True,False,False,False
S021,sonnet5,naive,high,high,high,True,False,False,False
S005,gemini37f,decomposed,high,minimal,minimal,True,False,False,False
S006,gemini37f,decomposed,high,high,not_ai_system,True,True,False,True
S007,gemini37f,decomposed,high,minimal,minimal,True,False,False,False
S008,gemini37f,decomposed,high,high,high,True,False,False,False
S009,gemini37f,decomposed,high,high,high,True,False,False,False
S010,gemini37f,decomposed,prohibited,prohibited,prohibited,True,False,False,False
S011,gemini37f,decomposed,high,prohibited,prohibited,True,False,False,False
S013,gemini37f,decomposed,high,high,minimal,True,True,False,True
S014,gemini37f,decomposed,not_ai_system,not_ai_system,not_ai_system,True,False,False,False
S015,gemini37f,decomposed,minimal,minimal,minimal,True,False,False,False
S016,gemini37f,decomposed,high,high,high,True,False,False,False
S018,gemini37f,decomposed,transparency,transparency,transparency,True,False,False,False
S020,gemini37f,decomposed,minimal,minimal,minimal,True,False,False,False
S021,gemini37f,decomposed,high,high,high,True,False,False,False
S005,gemini3f,decomposed,high,high,high,True,False,False,False
S006,gemini3f,decomposed,high,high,high,True,False,False,False
S007,gemini3f,decomposed,high,high,high,True,False,False,False
S008,gemini3f,decomposed,high,high,high,True,False,False,False
S009,gemini3f,decomposed,high,high,high,True,False,False,False
S010,gemini3f,decomposed,prohibited,prohibited,prohibited,True,False,False,False
S011,gemini3f,decomposed,high,transparency,transparency,True,False,False,False
S013,gemini3f,decomposed,high,high,high,True,False,False,False
S014,gemini3f,decomposed,not_ai_system,not_ai_system,not_ai_system,True,False,False,False
S015,gemini3f,decomposed,minimal,minimal,minimal,True,False,False,False
S016,gemini3f,decomposed,high,high,high,True,False,False,False
S018,gemini3f,decomposed,transparency,transparency,transparency,True,False,False,False
S020,gemini3f,decomposed,minimal,minimal,minimal,True,False,False,False
S021,gemini3f,decomposed,high,high,high,True,False,False,False
S005,gemma27b,decomposed,high,high,high,True,False,False,False
S006,gemma27b,decomposed,high,high,high,True,False,False,False
S007,gemma27b,decomposed,high,high,high,True,False,False,False
S008,gemma27b,decomposed,high,high,high,True,False,False,False
S009,gemma27b,decomposed,high,high,high,True,False,False,False
S010,gemma27b,decomposed,prohibited,prohibited,prohibited,True,False,False,False
S011,gemma27b,decomposed,high,high,high,True,False,False,False
S013,gemma27b,decomposed,high,high,high,True,False,False,False
S014,gemma27b,decomposed,not_ai_system,minimal,minimal,True,False,False,False
S015,gemma27b,decomposed,minimal,minimal,prohibited,True,True,False,True
S016,gemma27b,decomposed,high,high,high,True,False,False,False
S018,gemma27b,decomposed,transparency,transparency,transparency,True,False,False,False
S020,gemma27b,decomposed,minimal,minimal,minimal,True,False,False,False
S021,gemma27b,decomposed,high,high,high,True,False,False,False
S005,gpt52,decomposed,high,high,high,True,False,False,False
S006,gpt52,decomposed,high,high,not_ai_system,True,True,False,True
S007,gpt52,decomposed,high,minimal,minimal,True,False,False,False
S008,gpt52,decomposed,high,high,high,True,False,False,False
S009,gpt52,decomposed,high,high,high,True,False,False,False
S010,gpt52,decomposed,prohibited,prohibited,prohibited,True,False,False,False
S011,gpt52,decomposed,high,prohibited,prohibited,True,False,False,False
S013,gpt52,decomposed,high,high,high,True,False,False,False
S014,gpt52,decomposed,not_ai_system,not_ai_system,not_ai_system,True,False,False,False
S015,gpt52,decomposed,minimal,minimal,minimal,True,False,False,False
S016,gpt52,decomposed,high,high,high,True,False,False,False
S018,gpt52,decomposed,transparency,transparency,transparency,True,False,False,False
S020,gpt52,decomposed,minimal,__missing__,minimal,False,,,
S021,gpt52,decomposed,high,high,not_ai_system,True,True,False,True
S005,gpt56luna,decomposed,high,transparency,minimal,True,True,False,False
S006,gpt56luna,decomposed,high,high,high,True,False,False,False
S007,gpt56luna,decomposed,high,transparency,transparency,True,False,False,False
S008,gpt56luna,decomposed,high,high,high,True,False,False,False
S009,gpt56luna,decomposed,high,high,high,True,False,False,False
S010,gpt56luna,decomposed,prohibited,prohibited,prohibited,True,False,False,False
S011,gpt56luna,decomposed,high,prohibited,prohibited,True,False,False,False
S013,gpt56luna,decomposed,high,minimal,minimal,True,False,False,False
S014,gpt56luna,decomposed,not_ai_system,not_ai_system,not_ai_system,True,False,False,False
S015,gpt56luna,decomposed,minimal,minimal,transparency,True,True,False,True
S016,gpt56luna,decomposed,high,high,high,True,False,False,False
S018,gpt56luna,decomposed,transparency,transparency,transparency,True,False,False,False
S020,gpt56luna,decomposed,minimal,minimal,high,True,True,False,True
S021,gpt56luna,decomposed,high,high,not_ai_system,True,True,False,True
S005,gpt56sol,decomposed,high,transparency,transparency,True,False,False,False
S006,gpt56sol,decomposed,high,high,not_ai_system,True,True,False,True
S007,gpt56sol,decomposed,high,transparency,transparency,True,False,False,False
S008,gpt56sol,decomposed,high,high,high,True,False,False,False
S009,gpt56sol,decomposed,high,high,high,True,False,False,False
S010,gpt56sol,decomposed,prohibited,prohibited,prohibited,True,False,False,False
S011,gpt56sol,decomposed,high,prohibited,prohibited,True,False,False,False
S013,gpt56sol,decomposed,high,high,minimal,True,True,False,True
S014,gpt56sol,decomposed,not_ai_system,not_ai_system,not_ai_system,True,False,False,False
S015,gpt56sol,decomposed,minimal,minimal,minimal,True,False,False,False
S016,gpt56sol,decomposed,high,high,high,True,False,False,False
S018,gpt56sol,decomposed,transparency,transparency,transparency,True,False,False,False
S020,gpt56sol,decomposed,minimal,minimal,minimal,True,False,False,False
S021,gpt56sol,decomposed,high,high,not_ai_system,True,True,False,True
S005,grok46,decomposed,high,minimal,minimal,True,False,False,False
S006,grok46,decomposed,high,high,high,True,False,False,False
S007,grok46,decomposed,high,transparency,transparency,True,False,False,False
S008,grok46,decomposed,high,high,high,True,False,False,False
S009,grok46,decomposed,high,high,high,True,False,False,False
S010,grok46,decomposed,prohibited,prohibited,prohibited,True,False,False,False
S011,grok46,decomposed,high,prohibited,prohibited,True,False,False,False
S013,grok46,decomposed,high,minimal,high,True,True,True,False
S014,grok46,decomposed,not_ai_system,not_ai_system,not_ai_system,True,False,False,False
S015,grok46,decomposed,minimal,transparency,minimal,True,True,True,False
S016,grok46,decomposed,high,high,high,True,False,False,False
S018,grok46,decomposed,transparency,transparency,transparency,True,False,False,False
S020,grok46,decomposed,minimal,minimal,minimal,True,False,False,False
S021,grok46,decomposed,high,high,high,True,False,False,False
S005,haiku45,decomposed,high,high,insufficient_information,True,True,False,True
S006,haiku45,decomposed,high,high,high,True,False,False,False
S007,haiku45,decomposed,high,high,minimal,True,True,False,True
S008,haiku45,decomposed,high,insufficient_information,minimal,True,True,False,False
S009,haiku45,decomposed,high,high,high,True,False,False,False
S010,haiku45,decomposed,prohibited,prohibited,prohibited,True,False,False,False
S011,haiku45,decomposed,high,prohibited,prohibited,True,False,False,False
S013,haiku45,decomposed,high,high,minimal,True,True,False,True
S014,haiku45,decomposed,not_ai_system,not_ai_system,not_ai_system,True,False,False,False
S015,haiku45,decomposed,minimal,minimal,minimal,True,False,False,False
S016,haiku45,decomposed,high,high,high,True,False,False,False
S018,haiku45,decomposed,transparency,transparency,transparency,True,False,False,False
S020,haiku45,decomposed,minimal,__missing__,minimal,False,,,
S021,haiku45,decomposed,high,high,high,True,False,False,False
S005,kimi25,decomposed,high,high,high,True,False,False,False
S006,kimi25,decomposed,high,high,not_ai_system,True,True,False,True
S007,kimi25,decomposed,high,high,high,True,False,False,False
S008,kimi25,decomposed,high,high,high,True,False,False,False
S009,kimi25,decomposed,high,high,high,True,False,False,False
S010,kimi25,decomposed,prohibited,prohibited,prohibited,True,False,False,False
S011,kimi25,decomposed,high,high,prohibited,True,True,False,True
S013,kimi25,decomposed,high,minimal,minimal,True,False,False,False
S014,kimi25,decomposed,not_ai_system,not_ai_system,not_ai_system,True,False,False,False
S015,kimi25,decomposed,minimal,transparency,minimal,True,True,True,False
S016,kimi25,decomposed,high,high,high,True,False,False,False
S018,kimi25,decomposed,transparency,transparency,transparency,True,False,False,False
S020,kimi25,decomposed,minimal,minimal,minimal,True,False,False,False
S021,kimi25,decomposed,high,high,not_ai_system,True,True,False,True
S005,kimi3,decomposed,high,__missing__,minimal,False,,,
S006,kimi3,decomposed,high,high,high,True,False,False,False
S007,kimi3,decomposed,high,__missing__,minimal,False,,,
S008,kimi3,decomposed,high,high,high,True,False,False,False
S009,kimi3,decomposed,high,high,high,True,False,False,False
S010,kimi3,decomposed,prohibited,__missing__,__missing__,False,,,
S011,kimi3,decomposed,high,prohibited,prohibited,True,False,False,False
S013,kimi3,decomposed,high,high,high,True,False,False,False
S014,kimi3,decomposed,not_ai_system,not_ai_system,not_ai_system,True,False,False,False
S015,kimi3,decomposed,minimal,minimal,minimal,True,False,False,False
S016,kimi3,decomposed,high,high,high,True,False,False,False
S018,kimi3,decomposed,transparency,transparency,transparency,True,False,False,False
S020,kimi3,decomposed,minimal,minimal,minimal,True,False,False,False
S021,kimi3,decomposed,high,high,high,True,False,False,False
S005,qwen3827b,decomposed,high,minimal,transparency,True,True,False,False
S006,qwen3827b,decomposed,high,high,high,True,False,False,False
S007,qwen3827b,decomposed,high,high,minimal,True,True,False,True
S008,qwen3827b,decomposed,high,high,high,True,False,False,False
S009,qwen3827b,decomposed,high,high,high,True,False,False,False
S010,qwen3827b,decomposed,prohibited,__missing__,__missing__,False,,,
S011,qwen3827b,decomposed,high,prohibited,prohibited,True,False,False,False
S013,qwen3827b,decomposed,high,high,high,True,False,False,False
S014,qwen3827b,decomposed,not_ai_system,not_ai_system,not_ai_system,True,False,False,False
S015,qwen3827b,decomposed,minimal,minimal,minimal,True,False,False,False
S016,qwen3827b,decomposed,high,high,high,True,False,False,False
S018,qwen3827b,decomposed,transparency,transparency,transparency,True,False,False,False
S020,qwen3827b,decomposed,minimal,minimal,minimal,True,False,False,False
S021,qwen3827b,decomposed,high,high,not_ai_system,True,True,False,True
S005,qwen38max,decomposed,high,__missing__,__missing__,False,,,
S006,qwen38max,decomposed,high,high,high,True,False,False,False
S007,qwen38max,decomposed,high,__missing__,__missing__,False,,,
S008,qwen38max,decomposed,high,high,high,True,False,False,False
S009,qwen38max,decomposed,high,high,high,True,False,False,False
S010,qwen38max,decomposed,prohibited,prohibited,prohibited,True,False,False,False
S011,qwen38max,decomposed,high,__missing__,prohibited,False,,,
S013,qwen38max,decomposed,high,high,high,True,False,False,False
S014,qwen38max,decomposed,not_ai_system,not_ai_system,not_ai_system,True,False,False,False
S015,qwen38max,decomposed,minimal,__missing__,minimal,False,,,
S016,qwen38max,decomposed,high,high,high,True,False,False,False
S018,qwen38max,decomposed,transparency,transparency,transparency,True,False,False,False
S020,qwen38max,decomposed,minimal,minimal,__missing__,False,,,
S021,qwen38max,decomposed,high,high,__missing__,False,,,
S005,sonnet46,decomposed,high,high,high,True,False,False,False
S006,sonnet46,decomposed,high,high,high,True,False,False,False
S007,sonnet46,decomposed,high,high,high,True,False,False,False
S008,sonnet46,decomposed,high,high,high,True,False,False,False
S009,sonnet46,decomposed,high,high,high,True,False,False,False
S010,sonnet46,decomposed,prohibited,prohibited,prohibited,True,False,False,False
S011,sonnet46,decomposed,high,high,prohibited,True,True,False,True
S013,sonnet46,decomposed,high,high,high,True,False,False,False
S014,sonnet46,decomposed,not_ai_system,not_ai_system,not_ai_system,True,False,False,False
S015,sonnet46,decomposed,minimal,minimal,minimal,True,False,False,False
S016,sonnet46,decomposed,high,high,high,True,False,False,False
S018,sonnet46,decomposed,transparency,transparency,transparency,True,False,False,False
S020,sonnet46,decomposed,minimal,minimal,minimal,True,False,False,False
S021,sonnet46,decomposed,high,high,high,True,False,False,False
S005,sonnet5,decomposed,high,minimal,__missing__,False,,,
S006,sonnet5,decomposed,high,not_ai_system,not_ai_system,True,False,False,False
S007,sonnet5,decomposed,high,minimal,minimal,True,False,False,False
S008,sonnet5,decomposed,high,high,__missing__,False,,,
S009,sonnet5,decomposed,high,high,high,True,False,False,False
S010,sonnet5,decomposed,prohibited,prohibited,prohibited,True,False,False,False
S011,sonnet5,decomposed,high,prohibited,prohibited,True,False,False,False
S013,sonnet5,decomposed,high,__missing__,high,False,,,
S014,sonnet5,decomposed,not_ai_system,not_ai_system,not_ai_system,True,False,False,False
S015,sonnet5,decomposed,minimal,__missing__,minimal,False,,,
S016,sonnet5,decomposed,high,high,high,True,False,False,False
S018,sonnet5,decomposed,transparency,transparency,transparency,True,False,False,False
S020,sonnet5,decomposed,minimal,minimal,minimal,True,False,False,False
S021,sonnet5,decomposed,high,__missing__,high,False,,,
