request_id,sample_id,model,prompt,evidence,attempted,finished,parse_status,reference,prediction,exact_match,cost_usd
S007_gemini37f_decomposed_expanded,S007,gemini37f,decomposed,expanded,True,True,valid,high,minimal,False,0.00571875
S007_qwen38max_naive_short,S007,qwen38max,naive,short,True,True,valid,high,high,True,0.016066
S007_grok46_decomposed_short,S007,grok46,decomposed,short,True,True,valid,high,transparency,False,0.031632
S007_qwen3827b_decomposed_short,S007,qwen3827b,decomposed,short,True,True,valid,high,high,True,0.037049375
S015_gemini37f_decomposed_short,S015,gemini37f,decomposed,short,True,True,valid,minimal,minimal,True,0.003126
S015_kimi3_decomposed_expanded,S015,kimi3,decomposed,expanded,True,True,valid,minimal,minimal,True,0.020481
S015_qwen38max_decomposed_expanded,S015,qwen38max,decomposed,expanded,True,True,valid,minimal,minimal,True,0.013864
S015_kimi3_naive_expanded,S015,kimi3,naive,expanded,True,True,valid,minimal,minimal,True,0.007857
S015_qwen3827b_decomposed_expanded,S015,qwen3827b,decomposed,expanded,True,True,valid,minimal,minimal,True,0.0092361
S015_gpt52_decomposed_short,S015,gpt52,decomposed,short,True,True,valid,minimal,minimal,True,0.00547295
S015_gemma27b_naive_expanded,S015,gemma27b,naive,expanded,True,True,valid,minimal,high,False,0.000069854
S015_gpt56sol_naive_short,S015,gpt56sol,naive,short,True,True,valid,minimal,minimal,True,0.0019
S015_sonnet5_naive_expanded,S015,sonnet5,naive,expanded,True,True,valid,minimal,minimal,True,0.00228
S015_qwen3827b_naive_expanded,S015,qwen3827b,naive,expanded,True,True,valid,minimal,minimal,True,0.001553375
S015_sonnet5_decomposed_short,S015,sonnet5,decomposed,short,True,True,invalid_json,minimal,__missing__,False,0.008424
S015_haiku45_naive_expanded,S015,haiku45,naive,expanded,True,True,valid,minimal,high,False,0.000918
S015_kimi25_decomposed_short,S015,kimi25,decomposed,short,True,True,valid,minimal,transparency,False,0.00755136
S015_grok46_naive_short,S015,grok46,naive,short,True,True,valid,minimal,minimal,True,0.008492
S015_qwen38max_decomposed_short,S015,qwen38max,decomposed,short,True,True,missing_content,minimal,__missing__,False,0.025404
S015_gemini3f_naive_short,S015,gemini3f,naive,short,True,True,valid,minimal,minimal,True,0.0003375
S015_gpt56luna_naive_expanded,S015,gpt56luna,naive,expanded,True,True,valid,minimal,minimal,True,0.0002642
S015_grok46_decomposed_short,S015,grok46,decomposed,short,True,True,valid,minimal,transparency,False,0.018658
S015_sonnet46_decomposed_expanded,S015,sonnet46,decomposed,expanded,True,True,valid,minimal,minimal,True,0.009846
S015_gemma27b_decomposed_expanded,S015,gemma27b,decomposed,expanded,True,True,valid,minimal,prohibited,False,0.000299011
S015_grok46_naive_expanded,S015,grok46,naive,expanded,True,True,valid,minimal,minimal,True,0.005832
S015_haiku45_decomposed_expanded,S015,haiku45,decomposed,expanded,True,True,valid,minimal,minimal,True,0.003451
S015_grok46_decomposed_expanded,S015,grok46,decomposed,expanded,True,True,valid,minimal,minimal,True,0.012374
S015_gpt52_decomposed_expanded,S015,gpt52,decomposed,expanded,True,True,valid,minimal,minimal,True,0.00495075
S015_gpt56luna_decomposed_expanded,S015,gpt56luna,decomposed,expanded,True,True,valid,minimal,transparency,False,0.00060035
S015_haiku45_naive_short,S015,haiku45,naive,short,True,True,valid,minimal,high,False,0.000791
S015_sonnet46_naive_expanded,S015,sonnet46,naive,expanded,True,True,valid,minimal,minimal,True,0.002862
S015_gpt56luna_decomposed_short,S015,gpt56luna,decomposed,short,True,True,valid,minimal,minimal,True,0.00057695
S015_gemini37f_naive_expanded,S015,gemini37f,naive,expanded,True,True,valid,minimal,minimal,True,0.00135375
S015_gpt52_naive_short,S015,gpt52,naive,short,True,True,valid,minimal,minimal,True,0.00269325
S015_sonnet5_decomposed_expanded,S015,sonnet5,decomposed,expanded,True,True,valid,minimal,minimal,True,0.013362
S015_qwen38max_naive_short,S015,qwen38max,naive,short,True,True,valid,minimal,minimal,True,0.005698
S015_gemma27b_decomposed_short,S015,gemma27b,decomposed,short,True,True,valid,minimal,minimal,True,0.000284496
S015_gpt56sol_decomposed_expanded,S015,gpt56sol,decomposed,expanded,True,True,valid,minimal,minimal,True,0.0049815
S015_sonnet46_decomposed_short,S015,sonnet46,decomposed,short,True,True,valid,minimal,minimal,True,0.00987
S015_qwen3827b_decomposed_short,S015,qwen3827b,decomposed,short,True,True,valid,minimal,minimal,True,0.01229423
S015_kimi25_naive_short,S015,kimi25,naive,short,True,True,valid,minimal,high,False,0.00548055
S015_gemma27b_naive_short,S015,gemma27b,naive,short,True,True,valid,minimal,high,False,0.00005762
S015_gemini37f_naive_short,S015,gemini37f,naive,short,True,True,valid,minimal,minimal,True,0.00134175
S015_qwen38max_naive_expanded,S015,qwen38max,naive,expanded,True,True,valid,minimal,minimal,True,0.004598
S015_kimi3_naive_short,S015,kimi3,naive,short,True,True,valid,minimal,minimal,True,0.0061308
S015_kimi3_decomposed_short,S015,kimi3,decomposed,short,True,True,valid,minimal,minimal,True,0.0104364
S015_gpt52_naive_expanded,S015,gpt52,naive,expanded,True,True,valid,minimal,minimal,True,0.00337225
S015_gemini3f_decomposed_expanded,S015,gemini3f,decomposed,expanded,True,True,valid,minimal,minimal,True,0.0014865
S015_gpt56luna_naive_short,S015,gpt56luna,naive,short,True,True,valid,minimal,minimal,True,0.000251
S015_sonnet46_naive_short,S015,sonnet46,naive,short,True,True,valid,minimal,minimal,True,0.002451
S015_kimi25_naive_expanded,S015,kimi25,naive,expanded,True,True,valid,minimal,minimal,True,0.008654025
S015_qwen3827b_naive_short,S015,qwen3827b,naive,short,True,True,valid,minimal,minimal,True,0.003194725
S015_gpt56sol_naive_expanded,S015,gpt56sol,naive,expanded,True,True,valid,minimal,minimal,True,0.002318
S015_gemini37f_decomposed_expanded,S015,gemini37f,decomposed,expanded,True,True,valid,minimal,minimal,True,0.003393
S015_gemini3f_naive_expanded,S015,gemini3f,naive,expanded,True,True,valid,minimal,minimal,True,0.0004225
S015_sonnet5_naive_short,S015,sonnet5,naive,short,True,True,valid,minimal,minimal,True,0.002032
S015_gpt56sol_decomposed_short,S015,gpt56sol,decomposed,short,True,True,valid,minimal,minimal,True,0.0036915
S015_haiku45_decomposed_short,S015,haiku45,decomposed,short,True,True,valid,minimal,minimal,True,0.003319
S015_kimi25_decomposed_expanded,S015,kimi25,decomposed,expanded,True,True,valid,minimal,minimal,True,0.01192839
S015_gemini3f_decomposed_short,S015,gemini3f,decomposed,short,True,True,valid,minimal,minimal,True,0.0014705
S008_kimi3_decomposed_short,S008,kimi3,decomposed,short,True,True,valid,high,high,True,0.0051744
S008_gpt56luna_naive_short,S008,gpt56luna,naive,short,True,True,valid,high,high,True,0.0003694
S008_gpt56luna_decomposed_short,S008,gpt56luna,decomposed,short,True,True,valid,high,high,True,0.00054885
S008_gpt52_naive_expanded,S008,gpt52,naive,expanded,True,True,valid,high,high,True,0.00264425
S008_kimi3_decomposed_expanded,S008,kimi3,decomposed,expanded,True,True,valid,high,high,True,0.0090444
S008_qwen38max_naive_short,S008,qwen38max,naive,short,True,True,valid,high,high,True,0.010004
S008_gpt56luna_decomposed_expanded,S008,gpt56luna,decomposed,expanded,True,True,valid,high,high,True,0.00049515
S008_gemini3f_naive_short,S008,gemini3f,naive,short,True,True,valid,high,high,True,0.0003325
S008_qwen38max_decomposed_short,S008,qwen38max,decomposed,short,True,True,valid,high,high,True,0.008128
S008_grok46_decomposed_short,S008,grok46,decomposed,short,True,True,valid,high,high,True,0.010514
S008_qwen38max_decomposed_expanded,S008,qwen38max,decomposed,expanded,True,True,valid,high,high,True,0.007808
S008_kimi25_decomposed_short,S008,kimi25,decomposed,short,True,True,valid,high,high,True,0.00677673
S008_haiku45_decomposed_short,S008,haiku45,decomposed,short,True,True,valid,high,insufficient_information,False,0.003332
S008_gpt52_naive_short,S008,gpt52,naive,short,True,True,valid,high,high,True,0.00284375
S008_sonnet46_decomposed_expanded,S008,sonnet46,decomposed,expanded,True,True,valid,high,high,True,0.009447
S008_qwen3827b_decomposed_short,S008,qwen3827b,decomposed,short,True,True,valid,high,high,True,0.0038658
S008_gemma27b_decomposed_short,S008,gemma27b,decomposed,short,True,True,valid,high,high,True,0.000279508
S008_gemini37f_decomposed_expanded,S008,gemini37f,decomposed,expanded,True,True,valid,high,high,True,0.00312375
S008_sonnet5_decomposed_short,S008,sonnet5,decomposed,short,True,True,valid,high,high,True,0.010536
S008_gpt56sol_naive_expanded,S008,gpt56sol,naive,expanded,True,True,valid,high,high,True,0.002474
S008_sonnet5_naive_short,S008,sonnet5,naive,short,True,True,valid,high,high,True,0.001684
S008_gpt56sol_decomposed_expanded,S008,gpt56sol,decomposed,expanded,True,True,valid,high,high,True,0.0043615
S008_sonnet5_naive_expanded,S008,sonnet5,naive,expanded,True,True,valid,high,high,True,0.002098
S008_sonnet46_naive_expanded,S008,sonnet46,naive,expanded,True,True,valid,high,high,True,0.002493
S008_gpt52_decomposed_short,S008,gpt52,decomposed,short,True,True,valid,high,high,True,0.00544145
S008_gemma27b_decomposed_expanded,S008,gemma27b,decomposed,expanded,True,True,valid,high,high,True,0.00029116
S008_gemini37f_naive_short,S008,gemini37f,naive,short,True,True,valid,high,high,True,0.00086025
S008_qwen38max_naive_expanded,S008,qwen38max,naive,expanded,True,True,valid,high,high,True,0.008388
S008_gemma27b_naive_expanded,S008,gemma27b,naive,expanded,True,True,valid,high,high,True,0.000064603
S008_haiku45_decomposed_expanded,S008,haiku45,decomposed,expanded,True,True,valid,high,minimal,False,0.003688
S008_gpt56luna_naive_expanded,S008,gpt56luna,naive,expanded,True,True,valid,high,high,True,0.0002434
S008_kimi25_naive_expanded,S008,kimi25,naive,expanded,True,True,valid,high,high,True,0.00373407
S008_gpt52_decomposed_expanded,S008,gpt52,decomposed,expanded,True,True,valid,high,high,True,0.00426475
S008_sonnet46_decomposed_short,S008,sonnet46,decomposed,short,True,True,valid,high,high,True,0.009174
S008_kimi3_naive_short,S008,kimi3,naive,short,True,True,valid,high,high,True,0.0114738
S008_kimi25_naive_short,S008,kimi25,naive,short,True,True,valid,high,high,True,0.00264632
S008_kimi3_naive_expanded,S008,kimi3,naive,expanded,True,True,valid,high,high,True,0.0068988
S008_sonnet5_decomposed_expanded,S008,sonnet5,decomposed,expanded,True,True,invalid_json,high,__missing__,False,0.0086
S008_kimi25_decomposed_expanded,S008,kimi25,decomposed,expanded,True,True,valid,high,high,True,0.00776473
S008_grok46_naive_expanded,S008,grok46,naive,expanded,True,True,valid,high,high,True,0.009026
S008_gemini37f_decomposed_short,S008,gemini37f,decomposed,short,True,True,valid,high,high,True,0.00276825
S008_gpt56sol_decomposed_short,S008,gpt56sol,decomposed,short,True,True,valid,high,high,True,0.0030665
S008_gpt56sol_naive_short,S008,gpt56sol,naive,short,True,True,valid,high,high,True,0.00167
S008_gemini3f_decomposed_expanded,S008,gemini3f,decomposed,expanded,True,True,valid,high,high,True,0.001472
S008_qwen3827b_naive_short,S008,qwen3827b,naive,short,True,True,valid,high,high,True,0.001336625
S008_gemma27b_naive_short,S008,gemma27b,naive,short,True,True,valid,high,high,True,0.000050632
S008_grok46_naive_short,S008,grok46,naive,short,True,True,valid,high,high,True,0.00831
S008_haiku45_naive_expanded,S008,haiku45,naive,expanded,True,True,valid,high,high,True,0.00083
S008_qwen3827b_naive_expanded,S008,qwen3827b,naive,expanded,True,True,valid,high,high,True,0.0023307
S008_sonnet46_naive_short,S008,sonnet46,naive,short,True,True,valid,high,high,True,0.00207
S008_grok46_decomposed_expanded,S008,grok46,decomposed,expanded,True,True,valid,high,high,True,0.015808
S008_gemini3f_decomposed_short,S008,gemini3f,decomposed,short,True,True,valid,high,high,True,0.0014325
S008_qwen3827b_decomposed_expanded,S008,qwen3827b,decomposed,expanded,True,True,valid,high,high,True,0.008610925
S008_gemini37f_naive_expanded,S008,gemini37f,naive,expanded,True,True,valid,high,high,True,0.0012495
S008_gemini3f_naive_expanded,S008,gemini3f,naive,expanded,True,True,valid,high,high,True,0.000375
S008_haiku45_naive_short,S008,haiku45,naive,short,True,True,valid,high,high,True,0.000729
S020_qwen38max_decomposed_expanded,S020,qwen38max,decomposed,expanded,True,True,missing_content,minimal,__missing__,False,0.02558
S020_gemini37f_naive_short,S020,gemini37f,naive,short,True,True,valid,minimal,minimal,True,0.00132525
S020_gemini37f_decomposed_expanded,S020,gemini37f,decomposed,expanded,True,True,valid,minimal,minimal,True,0.0038235
S020_gemini37f_naive_expanded,S020,gemini37f,naive,expanded,True,True,valid,minimal,minimal,True,0.00120675
S020_grok46_naive_expanded,S020,grok46,naive,expanded,True,True,valid,minimal,minimal,True,0.009638
S020_gpt52_decomposed_expanded,S020,gpt52,decomposed,expanded,True,True,valid,minimal,minimal,True,0.00732795
S020_gemini37f_decomposed_short,S020,gemini37f,decomposed,short,True,True,valid,minimal,minimal,True,0.00336075
S020_gpt52_naive_short,S020,gpt52,naive,short,True,True,valid,minimal,minimal,True,0.005131
S020_sonnet5_decomposed_short,S020,sonnet5,decomposed,short,True,True,valid,minimal,minimal,True,0.008288
S020_sonnet5_decomposed_expanded,S020,sonnet5,decomposed,expanded,True,True,valid,minimal,minimal,True,0.008688
S020_kimi25_decomposed_short,S020,kimi25,decomposed,short,True,True,valid,minimal,minimal,True,0.01235817
S020_gpt56luna_decomposed_short,S020,gpt56luna,decomposed,short,True,True,valid,minimal,minimal,True,0.0004616
S020_gemini3f_naive_expanded,S020,gemini3f,naive,expanded,True,True,valid,minimal,minimal,True,0.0004115
S020_gemini3f_naive_short,S020,gemini3f,naive,short,True,True,valid,minimal,minimal,True,0.0003315
S020_gpt56sol_naive_short,S020,gpt56sol,naive,short,True,True,valid,minimal,minimal,True,0.001482
S020_haiku45_decomposed_short,S020,haiku45,decomposed,short,True,True,invalid_schema,minimal,__missing__,False,0.003346
S020_grok46_decomposed_short,S020,grok46,decomposed,short,True,True,valid,minimal,minimal,True,0.027694
S020_kimi3_naive_expanded,S020,kimi3,naive,expanded,True,True,valid,minimal,minimal,True,0.0335658
S020_kimi3_naive_short,S020,kimi3,naive,short,True,True,valid,minimal,high,False,0.0348648
S020_gpt52_decomposed_short,S020,gpt52,decomposed,short,True,True,invalid_json,minimal,__missing__,False,0.0045927
S020_gpt52_naive_expanded,S020,gpt52,naive,expanded,True,True,valid,minimal,minimal,True,0.00645225
S020_qwen3827b_naive_short,S020,qwen3827b,naive,short,True,True,valid,minimal,minimal,True,0.001787975
S020_sonnet5_naive_expanded,S020,sonnet5,naive,expanded,True,True,valid,minimal,minimal,True,0.002186
S020_kimi3_decomposed_expanded,S020,kimi3,decomposed,expanded,True,True,valid,minimal,minimal,True,0.0343614
S020_gpt56sol_naive_expanded,S020,gpt56sol,naive,expanded,True,True,valid,minimal,minimal,True,0.002158
S020_gemini3f_decomposed_expanded,S020,gemini3f,decomposed,expanded,True,True,valid,minimal,minimal,True,0.0015475
S020_gpt56luna_naive_expanded,S020,gpt56luna,naive,expanded,True,True,valid,minimal,minimal,True,0.0002618
S020_qwen38max_naive_short,S020,qwen38max,naive,short,True,True,valid,minimal,minimal,True,0.003584
S020_gemma27b_decomposed_expanded,S020,gemma27b,decomposed,expanded,True,True,valid,minimal,minimal,True,0.000296677
S020_qwen3827b_naive_expanded,S020,qwen3827b,naive,expanded,True,True,valid,minimal,minimal,True,0.003380025
S020_gpt56sol_decomposed_short,S020,gpt56sol,decomposed,short,True,True,valid,minimal,minimal,True,0.004204
S020_qwen38max_naive_expanded,S020,qwen38max,naive,expanded,True,True,missing_content,minimal,__missing__,False,0.025578
S020_gpt56sol_decomposed_expanded,S020,gpt56sol,decomposed,expanded,True,True,valid,minimal,minimal,True,0.0039815
S020_kimi3_decomposed_short,S020,kimi3,decomposed,short,True,True,valid,minimal,minimal,True,0.0176004
S020_grok46_decomposed_expanded,S020,grok46,decomposed,expanded,True,True,valid,minimal,minimal,True,0.016696
S020_gemini3f_decomposed_short,S020,gemini3f,decomposed,short,True,True,valid,minimal,minimal,True,0.0014405
S020_qwen3827b_decomposed_expanded,S020,qwen3827b,decomposed,expanded,True,True,valid,minimal,minimal,True,0.007072
S020_qwen3827b_decomposed_short,S020,qwen3827b,decomposed,short,True,True,valid,minimal,minimal,True,0.00754443
S020_gemma27b_decomposed_short,S020,gemma27b,decomposed,short,True,True,valid,minimal,minimal,True,0.000279779
S020_gpt56luna_naive_short,S020,gpt56luna,naive,short,True,True,valid,minimal,minimal,True,0.000218
S020_haiku45_decomposed_expanded,S020,haiku45,decomposed,expanded,True,True,valid,minimal,minimal,True,0.003205
S020_sonnet46_decomposed_expanded,S020,sonnet46,decomposed,expanded,True,True,valid,minimal,minimal,True,0.009738
S020_sonnet5_naive_short,S020,sonnet5,naive,short,True,True,valid,minimal,minimal,True,0.001946
S020_haiku45_naive_expanded,S020,haiku45,naive,expanded,True,True,valid,minimal,high,False,0.000927
S020_kimi25_decomposed_expanded,S020,kimi25,decomposed,expanded,True,True,valid,minimal,minimal,True,0.01089099
S020_sonnet46_decomposed_short,S020,sonnet46,decomposed,short,True,True,valid,minimal,minimal,True,0.009096
S020_qwen38max_decomposed_short,S020,qwen38max,decomposed,short,True,True,valid,minimal,minimal,True,0.020986
S020_kimi25_naive_expanded,S020,kimi25,naive,expanded,True,True,valid,minimal,high,False,0.0088179
S020_sonnet46_naive_expanded,S020,sonnet46,naive,expanded,True,True,valid,minimal,minimal,True,0.002679
S020_sonnet46_naive_short,S020,sonnet46,naive,short,True,True,valid,minimal,minimal,True,0.001977
S020_gpt56luna_decomposed_expanded,S020,gpt56luna,decomposed,expanded,True,True,valid,minimal,high,False,0.00059795
S020_haiku45_naive_short,S020,haiku45,naive,short,True,True,valid,minimal,high,False,0.000813
S020_kimi25_naive_short,S020,kimi25,naive,short,True,True,valid,minimal,high,False,0.00863246
S020_gemma27b_naive_short,S020,gemma27b,naive,short,True,True,valid,minimal,high,False,0.000054022
S020_gemma27b_naive_expanded,S020,gemma27b,naive,expanded,True,True,valid,minimal,high,False,0.00007052
S020_grok46_naive_short,S020,grok46,naive,short,True,True,valid,minimal,minimal,True,0.010922
S011_kimi3_naive_expanded,S011,kimi3,naive,expanded,True,True,valid,high,prohibited,False,0.0130368
S011_gemma27b_naive_short,S011,gemma27b,naive,short,True,True,valid,high,high,True,0.000056435
S011_gemini3f_decomposed_short,S011,gemini3f,decomposed,short,True,True,valid,high,transparency,False,0.001526
S011_gpt56sol_naive_short,S011,gpt56sol,naive,short,True,True,valid,high,high,True,0.003058
S011_kimi3_naive_short,S011,kimi3,naive,short,True,True,valid,high,prohibited,False,0.0068658
S011_gemma27b_naive_expanded,S011,gemma27b,naive,expanded,True,True,valid,high,high,True,0.000066679
S011_gpt56sol_decomposed_expanded,S011,gpt56sol,decomposed,expanded,True,True,valid,high,prohibited,False,0.0040865
S011_gemini37f_decomposed_short,S011,gemini37f,decomposed,short,True,True,valid,high,prohibited,False,0.00400725
S011_gpt52_naive_expanded,S011,gpt52,naive,expanded,True,True,valid,high,prohibited,False,0.00438375
S011_qwen38max_naive_short,S011,qwen38max,naive,short,True,True,valid,high,prohibited,False,0.010382
S011_gpt56luna_decomposed_expanded,S011,gpt56luna,decomposed,expanded,True,True,valid,high,prohibited,False,0.00072605
S011_gpt52_decomposed_short,S011,gpt52,decomposed,short,True,True,valid,high,prohibited,False,0.00793695
S011_qwen3827b_naive_expanded,S011,qwen3827b,naive,expanded,True,True,valid,high,high,True,0.001895925
S011_gpt56luna_naive_expanded,S011,gpt56luna,naive,expanded,True,True,valid,high,prohibited,False,0.0003566
S011_gemini3f_naive_short,S011,gemini3f,naive,short,True,True,valid,high,high,True,0.000351
S011_kimi3_decomposed_expanded,S011,kimi3,decomposed,expanded,True,True,valid,high,prohibited,False,0.0270474
S011_qwen3827b_naive_short,S011,qwen3827b,naive,short,True,True,valid,high,prohibited,False,0.007451525
S011_qwen3827b_decomposed_expanded,S011,qwen3827b,decomposed,expanded,True,True,valid,high,prohibited,False,0.0139468
S011_gemini3f_naive_expanded,S011,gemini3f,naive,expanded,True,True,valid,high,prohibited,False,0.000392
S011_grok46_decomposed_short,S011,grok46,decomposed,short,True,True,valid,high,prohibited,False,0.021344
S011_qwen38max_decomposed_expanded,S011,qwen38max,decomposed,expanded,True,True,valid,high,prohibited,False,0.022064
S011_sonnet5_decomposed_expanded,S011,sonnet5,decomposed,expanded,True,True,valid,high,prohibited,False,0.009062
S011_gemini37f_decomposed_expanded,S011,gemini37f,decomposed,expanded,True,True,valid,high,prohibited,False,0.00382425
S011_gpt56sol_decomposed_short,S011,gpt56sol,decomposed,short,True,True,valid,high,prohibited,False,0.0068415
S011_gpt56sol_naive_expanded,S011,gpt56sol,naive,expanded,True,True,valid,high,prohibited,False,0.001988
S011_sonnet5_naive_expanded,S011,sonnet5,naive,expanded,True,True,valid,high,prohibited,False,0.00327
S011_sonnet5_decomposed_short,S011,sonnet5,decomposed,short,True,True,valid,high,prohibited,False,0.00899
S011_haiku45_decomposed_short,S011,haiku45,decomposed,short,True,True,valid,high,prohibited,False,0.003202
S011_kimi3_decomposed_short,S011,kimi3,decomposed,short,True,True,valid,high,prohibited,False,0.0137364
S011_sonnet46_naive_expanded,S011,sonnet46,naive,expanded,True,True,valid,high,high,True,0.003006
S011_gemma27b_decomposed_short,S011,gemma27b,decomposed,short,True,True,valid,high,high,True,0.000283111
S011_kimi25_naive_short,S011,kimi25,naive,short,True,True,valid,high,prohibited,False,0.0052896
S011_qwen3827b_decomposed_short,S011,qwen3827b,decomposed,short,True,True,valid,high,prohibited,False,0.00779178
S011_qwen38max_naive_expanded,S011,qwen38max,naive,expanded,True,True,valid,high,prohibited,False,0.003582
S011_grok46_naive_short,S011,grok46,naive,short,True,True,valid,high,prohibited,False,0.007446
S011_haiku45_naive_expanded,S011,haiku45,naive,expanded,True,True,valid,high,high,True,0.000966
S011_gemini37f_naive_expanded,S011,gemini37f,naive,expanded,True,True,valid,high,prohibited,False,0.00096375
S011_grok46_decomposed_expanded,S011,grok46,decomposed,expanded,True,True,valid,high,prohibited,False,0.020904
S011_gemini3f_decomposed_expanded,S011,gemini3f,decomposed,expanded,True,True,valid,high,transparency,False,0.001516
S011_haiku45_decomposed_expanded,S011,haiku45,decomposed,expanded,True,True,valid,high,prohibited,False,0.003304
S011_gpt56luna_naive_short,S011,gpt56luna,naive,short,True,True,valid,high,prohibited,False,0.0003654
