sample_id,condition,model,run,steps,pilot,risk_tier,rationale,source_file,split,sampling_stratum,split_expert,year,title,L1_art5_prohibited,L3_annex_i_product,L2_annex_iii_domain,L4_art6_3_derogation,L5_profiling_override,L6_art50_transparency,FINAL_risk_tier,confidence_1to3,consulted_full_page,notes,description,aiid_url
S069,decomposed,gemini37f,1,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}",False,transparency,"General-purpose generative AI systems misused for disinformation do not fall under Annex III high-risk use cases, but are subject to Article 50 transparency obligations for generating synthetic text and images.",decomposed_gemini37f_run1_all.json,dev,migration,dev,2024,American Asylum Seeker John Mark Dougan in Russia Reportedly Spreads Disinformation via AI Tools and Fake News Network,yes,no,none,not_applicable,not_applicable,yes,prohibited,3,no,"The operator configured generative tools to build a large deceptive fake-news network intended to manipulate public opinion, with likely significant democratic harm.","John Mark Dougan, a former Florida sheriff's deputy granted asylum in Russia, has been implicated in spreading disinformation. Utilizing AI tools like OpenAI's ChatGPT and DALL-E 3, Dougan created over 160 fake news sites, disseminating false narratives to millions worldwide. His actions align with Russian disinformation strategies targeting Western democracies. See also Incident 734.",https://incidentdatabase.ai/cite/701
S072,decomposed,gemini37f,1,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}",False,transparency,"Criminal misuse of AI for fraudulent recruitment falls outside Annex III intended purposes, but conversational and text-generating tools used to interact with victims trigger Article 50 transparency obligations.",decomposed_gemini37f_run1_all.json,heldout,control_pool,heldout,2024,Cartels Reportedly Using AI to Expand Operations into Financial Fraud and Human Trafficking,unclear,unclear,unclear,unclear,unclear,unclear,insufficient_information,1,no,"The row refers generally to cartels using AI but does not identify a concrete system, inferential function, or deployment context.","The Jalisco New Generation Cartel is reportedly using AI to expand its financial fraud and human trafficking operations, coercing individuals into illegal activities under the guise of legitimate jobs. INTERPOL warns that this integration of AI into criminal enterprises is a growing trend among cartels across Europe, Asia, and Africa as well.",https://incidentdatabase.ai/cite/725
S088,decomposed,gemini37f,1,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}",False,transparency,"The generative AI models used to create deepfake images fall outside Annex III high-risk areas, but generate synthetic content subject to Article 50 transparency requirements.",decomposed_gemini37f_run1_all.json,heldout,law_enforcement,heldout,2025,"Hong Kong Authorities Seize HK$34M in Alleged Deepfake Scam Targeting Victims in Taiwan, Singapore, and Malaysia",no,no,none,not_applicable,not_applicable,yes,transparency,2,no,The synthetic identities and media were deployed to deceive victims into severe romance and investment losses.,"Hong Kong police arrested 31 people linked to a deepfake scam syndicate that allegedly defrauded victims in Taiwan, Singapore, and Malaysia. The group used AI-generated images to impersonate wealthy women, training recruits to discuss luxury lifestyles, finance, and cryptocurrency to gain trust. Scammers reportedly persuaded victims to invest in fraudulent schemes, with police intercepting HK$34 million in illicit proceeds.",https://incidentdatabase.ai/cite/921
S093,decomposed,gemini37f,1,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}",False,transparency,"The system generates synthetic video and audio avatars for social media, which does not fall under Annex I or Annex III but is subject to transparency obligations under Article 50 for generated synthetic content.",decomposed_gemini37f_run1_all.json,dev,control_pool,dev,2025,AI-Generated OB-GYN Health Influencers on TikTok Used Fake Medical Credentials to Promote Dubious Advice,yes,no,none,not_applicable,not_applicable,yes,prohibited,3,no,"The synthetic influencers were configured with fake medical credentials to deceive viewers into relying on dubious health advice, with likely significant harm.","AI-generated avatars posing as OB-GYNs on TikTok, part of the so-called, crudely termed ""Coochie Doctor"" trend, have been falsely claiming years of experience while promoting dubious health advice. Many, including an avatar named ""Violet,"" were created using the Captions app, which generates scripted AI influencers.",https://incidentdatabase.ai/cite/976
S106,decomposed,gemini37f,1,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}",False,transparency,"The AI systems involved are general-purpose large language models used for text generation and review assistance, falling outside Annex III high-risk domains and subject to Article 50 transparency requirements.",decomposed_gemini37f_run1_all.json,heldout,education,heldout,2025,Preprints Reportedly from Researchers from Multiple Universities Allegedly Contain Covert AI Prompts,yes,no,none,not_applicable,not_applicable,yes,prohibited,2,no,"Hidden prompts deliberately configured AI review tools to produce favourable assessments, a deceptive technique capable of materially distorting academic decisions.","Hidden prompts reportedly were discovered in at least 17 academic preprints on arXiv that purportedly instructed AI tools to deliver only positive peer reviews. The lead authors are reportedly affiliated with 14 institutions in eight countries, including Waseda University, KAIST, Peking University, and the University of Washington. The alleged concealed instructions, some of which were reportedly embedded using white text or tiny fonts, were purportedly intended to influence any reviewers who rely on AI tools.",https://incidentdatabase.ai/cite/1135
S110,decomposed,gemini37f,1,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}",False,transparency,"Med-Gemini is a generative AI model producing synthetic text and content, which does not fall under Annex I or Annex III categories in this research and publication context, subjecting it to Article 50 transparency obligations.",decomposed_gemini37f_run1_all.json,heldout,control_pool,heldout,2024,Google Healthcare AI Model Med‑Gemini Allegedly Produces Non‑Existent 'Basilar Ganglia' Term in Published Output,no,unclear,none,not_applicable,not_applicable,yes,transparency,2,no,The record does not establish whether Med-Gemini was put into service as medical-device software; the invented term is synthetic text and an ordinary model error.,"Google’s Med‑Gemini healthcare AI reportedly produced the non‑existent term ""basilar ganglia"" in public launch materials, conflating two distinct brain structures. The error reportedly appeared in both a blog post and an arXiv preprint. Google is reported to have initially edited the blog without acknowledgment, later calling it a typo.",https://incidentdatabase.ai/cite/1164
S113,decomposed,gemini37f,1,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}",False,transparency,"The system is a general-purpose language model generating text/code whose criminal weaponisation falls outside Annex III, leaving it subject primarily to generative AI transparency obligations.",decomposed_gemini37f_run1_all.json,heldout,control_pool,heldout,2025,LAMEHUG Malware Reportedly Integrates Large Language Model for Real-Time Command Generation in a Purported APT28-Linked Cyberattack,no,no,none,not_applicable,not_applicable,yes,transparency,3,no,"The LLM inferred and generated command text, but the intended malicious use is not an Annex III law-enforcement use and does not distort a natural person's decision-making.","Ukraine's CERT-UA and Cato CTRL reported LAMEHUG, the first known malware to integrate a large language model (Qwen2.5-Coder-32B-Instruct via Hugging Face) for real-time command generation. Attributed with moderate confidence to APT28 (Fancy Bear), the malware reportedly targeted Ukrainian officials through phishing emails. The LLM is reported to have dynamically generated reconnaissance and data-exfiltration commands executed on infected systems.",https://incidentdatabase.ai/cite/1220
S117,decomposed,gemini37f,1,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}",False,transparency,"The generative AI tool used to draft news articles does not fall under prohibited practices or Annex I/III high-risk categories, but is subject to Article 50 transparency obligations for generating synthetic text.",decomposed_gemini37f_run1_all.json,dev,control_pool,dev,2025,NTB Report on Telenor Security Findings Was Withdrawn After AI Tool Allegedly Introduced Fabricated Quotes,no,no,none,not_applicable,not_applicable,yes,transparency,3,no,Fabricated quotes are an ordinary generative failure rather than evidence that the system was configured to manipulate; the output is synthetic text.,"NTB allegedly published a news story about Telenor's annual security report that contained purportedly AI-generated errors, including five reportedly fabricated quotes and a nonexistent ""security director."" The article was reportedly created with an external AI tool and was withdrawn the same morning. Telenor alerted NTB to the inaccuracies, and NTB apologized, citing improper AI use and initiating internal review of its newsroom practices.",https://incidentdatabase.ai/cite/1265
S140,decomposed,gemini37f,1,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}",False,transparency,"The system is a generative AI/LLM tool used for drafting and researching text, which does not fall under Annex III high-risk use cases but generates synthetic text subject to Article 50 transparency obligations.",decomposed_gemini37f_run1_all.json,heldout,critical_infrastructure,heldout,2025,KPMG Report Allegedly Included Hallucinated Citations and Inaccurate Agentic AI Case Studies,no,unclear,unclear,unclear,unclear,unclear,insufficient_information,2,no,"AI involvement and the specific system were not confirmed, so the function and deployment context cannot be classified reliably.","In October 2025, KPMG published ""Total Experience: Redefining Excellence in the Age of Agentic AI."" GPTZero later reported that only five of 45 citations accurately matched their sources, while others contained flawed details. The pattern reportedly suggested an unverified LLM research tool, but the system and extent of AI involvement remain unconfirmed.",https://incidentdatabase.ai/cite/1563
S144,decomposed,gemini37f,1,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}",False,minimal,"The system automates administrative utilization-review workflows, which does not fall under Annex I or any Annex III high-risk use cases.",decomposed_gemini37f_run1_all.json,dev,employment,dev,2026,Purportedly AI-Powered Software Allegedly Used to Replace Montefiore Hospital Utilization-Review Nurses Despite Contractual AI Safeguards,no,no,none,not_applicable,not_applicable,no,minimal,2,no,"The record describes nonclinical paperwork automation, not a medical device or an AI system deciding recruitment, termination, task allocation, or worker monitoring.",Montefiore Hospital in New York reportedly laid off 12 utilization-review nurses after changing the department's workflow and introducing AI-powered software. The nurses' union alleged that the technology replaced their work and violated contractual protections governing AI. Montefiore disputed that account and described the changes as part of a nonclinical paperwork program.,https://incidentdatabase.ai/cite/1593
S001,decomposed,gemini3f,1,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}",False,minimal,"The system is an industrial warehouse robot, which is a type of machinery that is typically self-certified and does not fall within the specific high-risk categories of Annex III.",decomposed_gemini3f_run1_all.json,dev,employment,dev,2018,Warehouse robot ruptures can of bear spray and injures workers,no,no,none,not_applicable,not_applicable,no,minimal,2,no,"The warehouse robot is treated as inferential machinery, but ordinary industrial robots are normally self-certifying and no self-evolving AI safety function is described.",Twenty-four Amazon workers in New Jersey were hospitalized after a robot punctured a can of bear repellent spray in a warehouse.,https://incidentdatabase.ai/cite/2
S006,decomposed,gemini3f,1,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""essential_services"", ""derogation"": ""does_not_apply"", ""profiling"": ""yes"", ""art50"": ""no""}",False,high,"The system is used by public authorities to determine eligibility for and recover public assistance benefits, which falls under Annex III (5)(a) as an essential public service.",decomposed_gemini3f_run1_all.json,heldout,essential_services,heldout,2015,Australian Automated Debt Assessment System Issued False Notices to Thousands,no,no,essential_services,does_not_apply,yes,no,high,3,yes,,"Australian Department of Human Services (DHS)’s automated debt assessment system issued false or incorrect debt notices to hundreds of thousands of people, resulting in years-long lawsuits and damages to welfare recipients.",https://incidentdatabase.ai/cite/57
S010,decomposed,gemini3f,1,"{""art3_1"": ""yes"", ""art5"": ""yes"", ""annex_i"": ""no"", ""annex_iii"": ""law_enforcement"", ""derogation"": ""not_applicable"", ""profiling"": ""yes"", ""art50"": ""yes""}",False,prohibited,"The system uses biometric data to infer race (specifically Uyghur Muslim identity), which constitutes a prohibited biometric categorisation practice under Article 5(1)(g).",decomposed_gemini3f_run1_all.json,heldout,biometrics,heldout,2018,"Chinese Tech Firms Allegedly Developed Facial Recognition to Identify People by Race, Targeting Uyghur Muslims",yes,no,biometrics,not_applicable,not_applicable,yes,prohibited,3,yes,Race is in the exhaustive Article 5(1)(g) list; the system categorises people from facial biometrics.,"Various Chinese firms were revealed by patent applications to have developed facial recognition capable of detecting people by race, which critics feared would enable persecution and discrimination of Uyghur Muslims.",https://incidentdatabase.ai/cite/107
S011,decomposed,gemini3f,1,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}",False,transparency,"The system is a publicly available facial search engine that generates results based on biometric data processing and interacts with users, but it does not fall under the specific law enforcement or prohibited categories as it is a general-purpose tool for the public.",decomposed_gemini3f_run1_all.json,heldout,biometrics,heldout,2017,PimEyes's Facial Recognition AI Allegedly Lacked Safeguards to Prevent Itself from Being Abused,no,no,biometrics,does_not_apply,no,no,high,3,yes,"The record shows facial search, but not the untargeted scraping needed to establish Article 5(1)(e).","PimEyes offered its subscription-based AI service to anyone in the public to search for matching facial images across the internet, which critics said lacked public oversight and government rules to prevent itself from misuse such as stalking women.",https://incidentdatabase.ai/cite/109
S014,decomposed,gemini3f,1,"{""art3_1"": ""not_ai_system"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}",False,not_ai_system,"The record explicitly states that the systems were simple, rule-based keyword lists rather than systems that infer how to generate outputs through an inferential process.",decomposed_gemini3f_run1_all.json,heldout,control_pool,heldout,2020,"Brand Safety Tech Firms Falsely Claimed Use of AI, Blocking Ads Using Simple Keyword Lists",no,no,none,not_applicable,not_applicable,no,not_ai_system,3,yes,"The record describes simple keyword lists, a deterministic process with no inferential element.","Brand safety tech firms falsely claimed use of AI, blocking ads using simple keyword lists.",https://incidentdatabase.ai/cite/136
S020,decomposed,gemini3f,1,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}",False,minimal,"The AI system is used for wildlife conservation and poaching detection, which does not fall under the high-risk categories of Annex III or the prohibited practices of Article 5.",decomposed_gemini3f_run1_all.json,heldout,control_pool,heldout,2020,Poachers Evaded AI Cameras and Killed Four Rhinos,no,no,none,not_applicable,not_applicable,no,minimal,2,yes,"Anti-poaching detection by a wildlife authority is commonly treated as law-enforcement use, but Annex III 6 is a closed list (victim risk, polygraphs, evidence reliability, reoffending risk, investigative profiling).",AI cameras installed by Ezemvelo KZN Wildlife failed to detect poachers when four dehorned rhino carcasses were found.,https://incidentdatabase.ai/cite/219
S024,decomposed,gemini3f,1,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""education"", ""derogation"": ""does_not_apply"", ""profiling"": ""yes"", ""art50"": ""no""}",False,high,"The system is used in an educational setting to monitor and detect prohibited behavior (cheating) during examinations, which falls under Annex III(3)(b) and involves profiling the students' behavior.",decomposed_gemini3f_run1_all.json,dev,education,dev,2021,Dartmouth's Geisel School of Medicine Reportedly Used Canvas Activity Logs to Accuse Students of Cheating,no,no,none,not_applicable,not_applicable,no,not_ai_system,2,no,"The record identifies Canvas activity logs and a human internal analysis, but no system that inferred an output; the students' intent was inferred by people.","Dartmouth's Geisel School of Medicine reportedly used Canvas learning-management activity logs and an internal analysis process to investigate remote-exam cheating during the 2020–2021 academic year. Seventeen medical students were charged after the school inferred that they accessed course materials during exams, but students and outside technical reviewers said automated Canvas activity may have been misread as intentional misconduct. Dartmouth later dropped the charges.",https://incidentdatabase.ai/cite/302
S033,decomposed,gemini3f,1,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""law_enforcement"", ""derogation"": ""does_not_apply"", ""profiling"": ""yes"", ""art50"": ""yes""}",False,high,"The system is used by law enforcement for biometric identification of individuals, which falls under Annex III and involves profiling, thus qualifying as high-risk.",decomposed_gemini3f_run1_all.json,heldout,biometrics,heldout,2020,Finnish Police Were Reportedly Reprimanded After National Bureau of Investigation Unit Allegedly Used Clearview AI to Identify Potential Abuse Victims,no,no,biometrics,does_not_apply,no,no,high,3,no,"The police use was retrospective identification of abuse victims, not real-time identification in public space; the record does not establish untargeted scraping by the incident deployer.",Finland's Deputy Data Protection Ombudsman reportedly reprimanded the National Police Board after a National Bureau of Investigation child sexual exploitation unit allegedly used Clearview AI in late 2019 or early 2020 to identify potential child sexual abuse victims. Four NBI users reportedly made about 120 searches during a free trial without controller approval or prior assessment of how uploaded biometric data would be handled.,https://incidentdatabase.ai/cite/412
S058,decomposed,gemini3f,1,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""yes"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}",False,high,The incident involves an industrial stacking robot where the AI serves as a safety-relevant component (object differentiation) for machinery subject to Union harmonisation legislation (Machinery Directive/Regulation) which typically requires third-party assessment when incorporating safety-critical AI.,decomposed_gemini3f_run1_all.json,heldout,employment,heldout,2023,Stacking robot fatally crushes employee in South Korea,no,no,none,not_applicable,not_applicable,no,minimal,3,no,A general industrial stacking robot is normally self-certifying; the record does not show a self-evolving AI safety function requiring third-party assessment.,An industrial robot is reported to have crushed a man to death in South Korea when it failed to differentiate the man from the boxes of produce it was handling.,https://incidentdatabase.ai/cite/599
S066,decomposed,gemini3f,1,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""justice_democracy"", ""derogation"": ""does_not_apply"", ""profiling"": ""no"", ""art50"": ""yes""}",False,high,"The AI system was specifically developed and deployed by a political organization for the intended purpose of influencing voters in an election cycle, which falls under Annex III(8)(b) as a high-risk application.",decomposed_gemini3f_run1_all.json,heldout,justice_democracy,heldout,2024,Deepfake Generated by the Lincoln Project of Trump's Father Used in Political Attack Ad,no,no,justice_democracy,does_not_apply,no,yes,high,3,no,"The same political actor developed and deployed the synthetic media to influence voters, so the election-use rule is satisfied.","The Lincoln Project used AI to create a deepfake video of Donald Trump's deceased father criticizing him. Although they made it clear that the video was a deepfake, the deeply personal nature of the attack represents a corrosive use of artificial intelligence in undermining democratic norms during an election cycle.",https://incidentdatabase.ai/cite/664
