sample_id,split,year,title,L1_art5_prohibited,L3_annex_i_product,L2_annex_iii_domain,L4_art6_3_derogation,L5_profiling_override,L6_art50_transparency,FINAL_risk_tier,confidence_1to3,consulted_full_page,notes
S024,dev,2021,Dartmouth's Geisel School of Medicine Reportedly Used Canvas Activity Logs to Accuse Students of Cheating,no,no,none,not_applicable,not_applicable,no,not_ai_system,2,no,"The record identifies Canvas activity logs and a human internal analysis, but no system that inferred an output; the students' intent was inferred by people."
S025,heldout,2017,Facial Recognition Trial Performed Poorly at Notting Hill Carnival,yes,no,biometrics,not_applicable,not_applicable,no,prohibited,2,no,Police facial recognition at a publicly accessible festival appears to be real-time remote biometric identification; no Article 5(1)(h) exception is shown.
S027,heldout,2015,UK Visa Streamline Algorithm Allegedly Discriminated Based on Nationality,no,no,migration,does_not_apply,yes,no,high,3,no,
S029,heldout,2016,Robots in Japanese Hotel Annoyed Guests and Failed to Handle Simple Tasks,no,no,none,not_applicable,not_applicable,yes,transparency,2,no,The hotel robots directly interacted with guests; general service robots are normally self-certified industrial machinery.
S030,heldout,2019,"Tesla on Autopilot Crashed into Trailer Truck in Florida, Killing Driver",no,yes,none,not_applicable,not_applicable,no,high,3,no,
S031,heldout,2018,Calgary Malls Deployed Facial Recognition without Customer Consent,no,no,biometrics,does_not_apply,yes,yes,high,3,no,"Age and gender are not in Article 5(1)(g)'s exhaustive sensitive-attribute list, but estimating them from faces is Annex III biometric categorisation and Article 50 applies."
S032,dev,2018,Facial Recognition Pilot in Bahia Reportedly Targeted Black and Poor People,unclear,no,biometrics,does_not_apply,no,no,high,2,no,Public-security facial recognition is Annex III high-risk. The record does not say clearly enough whether it was real-time remote identification in publicly accessible space for Article 5(1)(h).
S033,heldout,2020,Finnish Police Were Reportedly Reprimanded After National Bureau of Investigation Unit Allegedly Used Clearview AI to Identify Potential Abuse Victims,no,no,biometrics,does_not_apply,no,no,high,3,no,"The police use was retrospective identification of abuse victims, not real-time identification in public space; the record does not establish untargeted scraping by the incident deployer."
S034,heldout,2022,Facebook's Job Ad Algorithm Allegedly Biased against Older and Female Workers,no,no,employment,does_not_apply,yes,no,high,3,no,
S035,heldout,2022,"Lensa AI's Produced Unintended Sexually Explicit or Suggestive ""Magic Avatars"" for Women",no,no,none,not_applicable,not_applicable,yes,transparency,3,no,
S036,dev,2020,Canadian Universities' AI Proctoring Tools Reportedly Collected Student Biometric Data Without Adequate Consent,no,no,education,does_not_apply,yes,no,high,3,no,Remote proctoring monitored students for cheating and evaluated behaviour from personal or biometric data; mere collection does not establish prohibited emotion inference.
S037,heldout,2022,XPeng P7 Crashed into Truck in Shangdong While on Automatic Navigation Assisted Driving,no,yes,none,not_applicable,not_applicable,no,high,3,no,
S038,heldout,2022,Robbers Accessed Drugged Gay Men's Bank Accounts Using Their Phones' Facial Recognition,no,no,none,not_applicable,not_applicable,no,minimal,3,no,Phone face authentication is verification rather than Annex III remote biometric identification or biometric categorisation.
S039,heldout,2019,South Korean Agencies Reportedly Shared Airport Travelers' Face Images with Companies to Train Immigration Facial Recognition System,no,no,migration,does_not_apply,yes,no,high,3,no,
S040,dev,2022,"Apple Devices Mistook Skiing Activities, Dialed False Distress Emergency Calls ",no,no,none,not_applicable,not_applicable,no,minimal,3,no,"Accident detection that initiates an emergency call is not emergency-service triage, and radio equipment is normally self-certified."
S042,dev,2016,"Tesla FSD Reportedly Increased Crash Risk, Prompting Recall",no,yes,none,not_applicable,not_applicable,no,high,3,no,"Full Self-Driving is an AI component of a motor vehicle, a product type normally subject to third-party conformity assessment."
S043,dev,2023,US CBP App's Failure to Detect Black Faces Reportedly Blocked Asylum Applications,no,no,migration,does_not_apply,no,no,high,3,no,"The facial feature controlled access to an asylum application, so the underlying purpose is migration rather than general biometrics."
S044,dev,2023,Clarkesworld Magazine Reportedly Closed Down Submissions Due to Massive Increase in Purportedly AI-Generated Stories,no,no,none,not_applicable,not_applicable,yes,transparency,3,no,The systems generated synthetic story text; magazine submissions are not an Annex III education or employment use.
S045,dev,2023,Online Scammers Tricked People into Sending Money Using AI Images of Earthquake in Turkey,no,no,none,not_applicable,not_applicable,yes,transparency,3,no,"Scammers deliberately configured synthetic disaster images to deceive donors into financial transfers, with significant harm."
S046,heldout,2019,Length of Stay False Diagnosis Cut Off Insurer's Payment for Treatment of Elderly Woman,no,no,essential_services,does_not_apply,not_applicable,no,high,2,no,"The system managed treatment or claim duration rather than health-insurance risk assessment or pricing, and the record does not identify it as a medical device."
S047,heldout,2017,New York Detective Misused Woody Harrelson's Face to Perform Face Recognition Search,no,no,biometrics,does_not_apply,no,no,high,3,no,
S048,dev,2023,Novel Deepfake Song Pulled from Music Streaming Services After Allegedly Violating Artist's Rights,no,no,none,not_applicable,not_applicable,yes,transparency,3,no,The system generated synthetic audio imitating artists; copyright and consent issues do not alone satisfy Article 5.
S049,dev,2020,AI translation is jeopardizing Afghan asylum claims,no,no,migration,does_not_apply,no,yes,high,3,no,"Automated translation directly influenced an asylum decision. It also generates synthetic text, so Article 50 is recorded independently."
S050,heldout,2021,Tesla FSD Misidentified Truck Hauling Traffic Lights as Trail of Traffic Lights,no,yes,none,not_applicable,not_applicable,no,high,3,no,
S051,heldout,2019,Algorithm to Distribute Social Welfare Reported for Oversimplifying Economic Vulnerability,no,no,essential_services,does_not_apply,yes,no,high,3,no,
S052,heldout,2023,Tesla on Autopilot Struck Parked Work Truck on Highway in Pennsylvania,no,yes,none,not_applicable,not_applicable,no,high,3,no,
S053,dev,2023,Amazon Rife with Many Allegedly AI-Generated Books of Suspect Quality,unclear,no,none,not_applicable,not_applicable,yes,transparency,2,no,"The books were allegedly generated to game rankings, but the record does not establish Article 5's significant-harm threshold or a sufficiently identified deceptive configuration."
S054,heldout,2023,Alleged Gender Discrimination in Facebook Job Ads Algorithm,no,no,employment,does_not_apply,yes,no,high,3,no,
S055,heldout,2023,Apparent Failure to Accurately Label Primates in Image Recognition Software Due to Alleged Fear of Racial Bias,no,no,none,not_applicable,not_applicable,no,minimal,3,no,
S056,dev,2023,"Alleged ChatGPT-Generated Book with a Duplicate Title, Fake Author, and Similar Content Surfaces on Amazon Ahead of Real Author's Book Release",unclear,no,none,not_applicable,not_applicable,yes,transparency,2,no,"A fake author and duplicate title suggest deception, but the record does not establish significant harm or how ChatGPT was configured."
S057,heldout,2023,"AI Photo Filter Lightens Skin, Changes Eye Color in Student's 'Professional' Image",no,no,none,not_applicable,not_applicable,yes,transparency,3,no,
S058,heldout,2023,Stacking robot fatally crushes employee in South Korea,no,no,none,not_applicable,not_applicable,no,minimal,3,no,A general industrial stacking robot is normally self-certifying; the record does not show a self-evolving AI safety function requiring third-party assessment.
S060,heldout,2023,Rite Aid Facial Recognition Disproportionately Misidentified Minority Shoppers as Shoplifters,no,no,biometrics,does_not_apply,yes,no,high,3,no,
S061,dev,2022,Alleged Macy's Facial Recognition Error Leads to Wrongful Arrest and Subsequent Sexual Assault in Jail,no,no,biometrics,does_not_apply,yes,no,high,3,no,Retail facial recognition identified a suspected offender and influenced an accusation; the Article 5 law-enforcement real-time ban does not apply to the private retailer's use.
S062,heldout,2023,Waymo Software Flaw Reportedly Leads to Double Collision with Tow Truck,no,yes,none,not_applicable,not_applicable,no,high,3,no,
S063,heldout,2024,Nonconsensual Deepfake Porn of Bobbi Althoff Spreads Rapidly on X,no,no,none,not_applicable,not_applicable,yes,transparency,3,no,
S064,heldout,2023,Students at a Beverly Hills Middle School Allegedly Created and Shared Deepfake Nudes of Their Classmates,no,no,none,not_applicable,not_applicable,yes,transparency,3,no,
S065,dev,2024,The Arizona Agenda Produced a Deepfake of Kari Lake Advocating for the Publication Without Her Consent,no,no,none,not_applicable,not_applicable,yes,transparency,2,no,"The same publisher created the deepfake for media-literacy education, not to influence voting behaviour; the record does not establish Article 5 significant harm."
S066,heldout,2024,Deepfake Generated by the Lincoln Project of Trump's Father Used in Political Attack Ad,no,no,justice_democracy,does_not_apply,no,yes,high,3,no,"The same political actor developed and deployed the synthetic media to influence voters, so the election-use rule is satisfied."
S068,dev,2023,Purported Republican AI Ad Reportedly Depicts Dystopian Future After Biden Reelection Announcement,no,no,none,not_applicable,not_applicable,yes,transparency,2,no,The RNC used general-purpose image generation in an attack ad rather than developing an election-influence system; the brief disclaimer also weakens an Article 5 deception finding.
S069,dev,2024,American Asylum Seeker John Mark Dougan in Russia Reportedly Spreads Disinformation via AI Tools and Fake News Network,yes,no,none,not_applicable,not_applicable,yes,prohibited,3,no,"The operator configured generative tools to build a large deceptive fake-news network intended to manipulate public opinion, with likely significant democratic harm."
S070,heldout,2024,"Tesla Reportedly in Autopilot Mode Hits Parked Police Vehicle in Fullerton, California",no,yes,none,not_applicable,not_applicable,no,high,3,no,
S071,heldout,2024,NHTSA Opens New Probe into Tesla’s Autopilot Following More than a Dozen Fatal Accidents,no,yes,none,not_applicable,not_applicable,no,high,3,no,
S072,heldout,2024,Cartels Reportedly Using AI to Expand Operations into Financial Fraud and Human Trafficking,unclear,unclear,unclear,unclear,unclear,unclear,insufficient_information,1,no,"The row refers generally to cartels using AI but does not identify a concrete system, inferential function, or deployment context."
S073,heldout,2024,"Department for Work and Pensions (DWP) Algorithm Wrongly Flags 200,000 for Housing Benefit Fraud",no,no,essential_services,does_not_apply,yes,no,high,3,no,"Flagging claimants for investigation influences who receives scrutiny, so the pattern-detection derogation does not apply."
S074,dev,2024,Deepfake of Kamala Harris Saying Damaging Comments Circulates on X and Is Amplified by Elon Musk,no,no,none,not_applicable,not_applicable,yes,transparency,2,no,The creator marked the video as parody; later human resharing without the disclaimer does not show the generator itself was configured for harmful deception.
S075,heldout,2024,Grok AI Chatbot Reportedly Spreads Unfounded Rumors About Trump’s Dentures,no,no,none,not_applicable,not_applicable,yes,transparency,3,no,An ordinary chatbot hallucination is not evidence of an Article 5 manipulative technique.
S076,dev,2020,Noelle Martin Deepfaked Without Consent in AI-Generated Pornography,no,no,none,not_applicable,not_applicable,yes,transparency,2,no,"The face-swap system was deliberately configured to fabricate explicit depictions, misleading viewers and causing likely significant psychological and reputational harm."
S077,heldout,2024,Students at Australian Schools Reportedly Used AI Nudification Tools to Create Nonconsensual Sexual Images of Classmates and Teachers,no,no,none,not_applicable,not_applicable,yes,transparency,3,no,
S078,heldout,2024,53% of American and British Businesses Report Attacks by AI-Powered Deepfake Scams in 2024,no,no,none,not_applicable,not_applicable,yes,transparency,2,no,"The system was deployed to impersonate executives deceptively and induce high-value financial transfers, meeting the Article 5(1)(a) harm threshold."
S079,dev,2024,TikTok Network Amplifies AI-Generated Nazi Propaganda and Hate Speech,no,no,none,not_applicable,not_applicable,yes,transparency,2,no,The coordinated network purposefully generated and deployed extremist propaganda to manipulate viewers; content moderation and recommender amplification themselves are not Annex III uses.
S080,heldout,2024,Polish Radio Station Replaces Human Hosts with AI-Generated Presenters to Simulate Interviewing Deceased Poet Wisława Szymborska,no,no,none,not_applicable,not_applicable,yes,transparency,3,no,
S081,dev,2023,"AI Camera Allegedly Misidentifies Dutch Motorist as Using Mobile Phone, Issuing €380 Fine",no,no,law_enforcement,does_not_apply,yes,no,high,3,no,"The police camera evaluated driving behaviour and triggered a traffic-enforcement fine, directly influencing a law-enforcement decision."
S082,heldout,2024,Portland Water Bureau SERVUS Algorithm Reportedly Allocates Utility Bill Discount to High-Wealth Consumer,no,no,essential_services,does_not_apply,yes,no,high,3,no,
S083,dev,2024,"Romance Scammer 'Alla Morgan' Allegedly Exploits Deepfake Technology to Defraud Victim of £17,000",no,no,none,not_applicable,not_applicable,yes,transparency,3,no,"The deepfake persona deliberately deceived a 77-year-old victim, exploiting age vulnerability and causing substantial financial harm."
S084,dev,2024,Scammers Reportedly Using Deepfakes of Health Experts and Public Figures in Australia to Sell Health Supplements and Give Harmful Advice,no,no,none,not_applicable,not_applicable,yes,transparency,3,no,The health-expert deepfakes were purposefully deceptive and exploited health-related vulnerability to sell products and provide harmful advice.
S085,heldout,2024,"Taranaki, New Zealand Resident Allegedly Defrauded of $224K in Bitcoin Scam Using Deepfake of Prime Minister Christopher Luxon",no,no,none,not_applicable,not_applicable,yes,transparency,3,no,"The deepfake investment scam purposefully deceived and expressly targeted superannuitants, exploiting age and economic vulnerability with severe financial harm."
S086,heldout,2025,"Alleged AI-Driven Phishing Scam Impersonates Maine Town Official to Falsely Request $22,500",no,no,none,not_applicable,not_applicable,yes,transparency,2,no,The AI-generated phishing message was purposefully deceptive and induced a substantial fraudulent transfer; synthetic text also triggers Article 50.
S087,heldout,2024,Alleged Deepfake of Luis Suárez Used to Scam Uruguayans in Fake Investment Scheme,no,no,none,not_applicable,not_applicable,yes,transparency,2,no,The fabricated celebrity endorsement was deployed as a deceptive technique to induce investment losses.
S088,heldout,2025,"Hong Kong Authorities Seize HK$34M in Alleged Deepfake Scam Targeting Victims in Taiwan, Singapore, and Malaysia",no,no,none,not_applicable,not_applicable,yes,transparency,2,no,The synthetic identities and media were deployed to deceive victims into severe romance and investment losses.
S089,dev,2025,Reportedly Manipulated TikTok Videos Misrepresent Anti-AfD Protests as Far-Right Rallies,no,no,none,not_applicable,not_applicable,yes,transparency,2,no,Replacing protest audio to fabricate political support is a purposefully deceptive technique with likely significant democratic harm; the general-purpose generator is not Annex III election infrastructure.
S090,heldout,2025,Tesla Cybertruck Operating in Full Self-Driving Mode Reportedly Crashes into Pole in Nevada After Failing to Merge,no,yes,none,not_applicable,not_applicable,no,high,3,no,
S091,heldout,2022,Arizona Residents Reportedly a Frequent Target of AI-Driven Romance Scams,no,no,none,not_applicable,not_applicable,yes,transparency,3,no,"AI-enabled romance scams reportedly targeted older people, exploiting age-based vulnerability and causing severe financial harm."
S092,heldout,2022,"'Pravda' Network, Successor to 'Portal Kombat,' Allegedly Seeding AI Models with Kremlin Disinformation",unclear,no,none,not_applicable,not_applicable,yes,transparency,2,no,The chatbots were not shown to have been purposefully configured by their providers to manipulate; the alleged training-data influence makes Article 5 uncertain rather than established.
S093,dev,2025,AI-Generated OB-GYN Health Influencers on TikTok Used Fake Medical Credentials to Promote Dubious Advice,yes,no,none,not_applicable,not_applicable,yes,prohibited,3,no,"The synthetic influencers were configured with fake medical credentials to deceive viewers into relying on dubious health advice, with likely significant harm."
S094,heldout,2025,AI-Driven News Platform Accused of Spreading Unverified Terrorism Allegations Against Yale Scholar,no,no,none,not_applicable,not_applicable,yes,transparency,2,no,The record shows synthetic news text but not purposeful configuration to deceive; ordinary generative failure does not satisfy Article 5.
S095,heldout,2025,Alleged AI-Generated Clone of Exante Brokerage Used to Defraud U.S. Investor via JPMorgan Account,yes,no,none,not_applicable,not_applicable,yes,prohibited,3,no,"The system generated cloned identities, fake documents and deepfakes as a purposefully deceptive fraud operation with severe financial harm."
S096,heldout,2024,Reported AI-Manipulated Video Depicts Donald Trump Endorsing Peter Obi and Criticizing Bola Tinubu,no,no,none,not_applicable,not_applicable,yes,transparency,2,no,"Unknown actors deliberately fabricated a political endorsement. The deception can satisfy Article 5, but general-purpose media generation misused in a campaign is not itself Annex III justice/democracy."
S097,heldout,2025,"Anysphere AI Support Bot for Cursor Reportedly Invents Login Policy, Leading to Subscription Cancellations",no,no,none,not_applicable,not_applicable,yes,transparency,3,no,"An unsupported chatbot policy claim is an ordinary hallucination, not evidence of purposeful manipulative configuration."
S098,heldout,2025,Fact-Checking Finds Reportedly AI-Generated Video Misattributed Hypertension Cure Endorsements to Taiwo Ajai-Lycett and Chinonso Egemba,no,no,none,not_applicable,not_applicable,yes,transparency,2,no,The fake health endorsement was purposefully deceptive and likely to cause significant health and financial harm.
S099,heldout,2025,Citation Errors in Concord Music v. Anthropic Attributed to Claude AI Use by Defense Counsel,no,no,none,not_applicable,not_applicable,yes,transparency,3,no,"Counsel and expert use is not use by a judicial authority, and fabricated citations are an ordinary generative failure rather than Article 5 manipulation."
S100,dev,2025,"Texas Homeowner Reportedly Spent $3,000 to Contest AI-Flagged Warning of Insurance Nonrenewal",no,no,none,not_applicable,not_applicable,no,minimal,3,no,"Property-insurance underwriting and nonrenewal are outside Annex III, which covers life and health insurance risk assessment and pricing."
S101,heldout,2025,Image Purporting to Show President Paul Kagame of Rwanda in M23 Uniform Reportedly AI-Generated,no,no,none,not_applicable,not_applicable,yes,transparency,2,no,"Information-manipulation actors deliberately fabricated military affiliation, a deceptive deployment with plausible significant political and security harm."
S102,heldout,2025,Bulgarian Tennis Player Grigor Dimitrov Alleges Deepfake Scam Promoting Fraudulent Investment Scheme Using His Likeness,no,no,none,not_applicable,not_applicable,yes,transparency,2,no,The celebrity deepfake was deployed to deceive viewers into an investment scam with significant financial harm.
S103,heldout,2025,North Korea-Linked Actors Allegedly Use AI Executive Deepfakes in Zoom Phishing Targeting Web3 Employee,no,no,none,not_applicable,not_applicable,yes,transparency,3,no,Executive deepfakes and AI-written phishing were purposefully deployed to induce credential compromise and malware execution.
S104,heldout,2025,Alleged Deepfake Videos Impersonate Lithuanian Politicians and Doctors in Purported Cross-Border Scam Network,no,no,none,not_applicable,not_applicable,yes,transparency,2,no,Political and medical deepfakes were purposefully deployed in a health-product scam with likely significant harm.
S105,heldout,2025,Philippine Officials Reportedly Share Veo 3-Generated Video to Support Vice President Sara Duterte During Impeachment,no,no,none,not_applicable,not_applicable,yes,transparency,2,no,The synthetic video was knowingly deployed to fabricate student support in a consequential impeachment debate. It is not an election-use system under Annex III.
S106,heldout,2025,Preprints Reportedly from Researchers from Multiple Universities Allegedly Contain Covert AI Prompts,yes,no,none,not_applicable,not_applicable,yes,prohibited,2,no,"Hidden prompts deliberately configured AI review tools to produce favourable assessments, a deceptive technique capable of materially distorting academic decisions."
S107,heldout,2023,South African Legal Team Reportedly Relied on Unverified ChatGPT Case Law in Johannesburg Body Corporate Defamation Matter,no,no,none,not_applicable,not_applicable,yes,transparency,3,no,"Lawyer use is not use by or on behalf of a judicial authority; fabricated cases are an ordinary generative failure, not Article 5 manipulation."
S108,heldout,2025,Purported Deepfake Video of Donald Trump at NATO Summit Allegedly Used in YouTube Crypto Scam,no,no,none,not_applicable,not_applicable,yes,transparency,3,no,The NATO deepfake was purposefully deployed as a crypto scam likely to cause significant financial harm.
S109,dev,2024,"Purported Face‑Swap Technology Reportedly Used to Circumvent Financial Platform's Facial Recognition Security in Nanjing, China",no,no,none,not_applicable,not_applicable,yes,transparency,3,no,Criminal misuse of face-swap technology is not an Annex III law-enforcement use; the system generated synthetic biometric media but did not manipulate a natural person's decision-making.
S110,heldout,2024,Google Healthcare AI Model Med‑Gemini Allegedly Produces Non‑Existent 'Basilar Ganglia' Term in Published Output,no,unclear,none,not_applicable,not_applicable,yes,transparency,2,no,The record does not establish whether Med-Gemini was put into service as medical-device software; the invented term is synthetic text and an ordinary model error.
S111,dev,2025,"Reported Public Exposure of Over 100,000 LLM Conversations via Share Links Indexed by Search Engines and Archived",no,no,none,not_applicable,not_applicable,yes,transparency,3,no,"The systems are user-interacting generative assistants. Accidental public indexing is a privacy failure, not an Article 5 prohibited practice."
S112,dev,2025,Malicious Nx npm Packages Reportedly Weaponize AI Coding Agents for Data Exfiltration,no,no,none,not_applicable,not_applicable,yes,transparency,3,no,The coding agents generate text or code and interact with users; malicious coercion of the agents is not manipulation of a natural person's informed decision-making.
S113,heldout,2025,LAMEHUG Malware Reportedly Integrates Large Language Model for Real-Time Command Generation in a Purported APT28-Linked Cyberattack,no,no,none,not_applicable,not_applicable,yes,transparency,3,no,"The LLM inferred and generated command text, but the intended malicious use is not an Annex III law-enforcement use and does not distort a natural person's decision-making."
S114,heldout,2025,"Purportedly AI-Generated Deepfake Ads on Facebook Reportedly Impersonate Trump, Musk, Ocasio-Cortez, Warren, Sanders, and Leavitt to Promote Fraudulent Rebates",no,no,none,not_applicable,not_applicable,yes,transparency,2,no,Fake rebate ads and celebrity or political deepfakes were purposefully deceptive and likely to cause significant financial harm.
S115,heldout,2025,Chinese-Backed Operation Reportedly Used AI-Generated Deepfake Videos of Indian Stock Experts in Investment Fraud Campaign,no,no,none,not_applicable,not_applicable,yes,transparency,3,no,The deepfake endorsements were purposefully deployed as investment fraud causing significant financial losses.
S116,dev,2025,Purported AI-Generated Deepfake Videos Reportedly Used in Swedish Scam Campaign Impersonating Doctors Agnes Wold and Anders Tegnell,no,no,none,not_applicable,not_applicable,yes,transparency,3,no,"The doctor deepfakes were purposefully deployed to sell fake health products, causing significant health and financial harm."
S117,dev,2025,NTB Report on Telenor Security Findings Was Withdrawn After AI Tool Allegedly Introduced Fabricated Quotes,no,no,none,not_applicable,not_applicable,yes,transparency,3,no,Fabricated quotes are an ordinary generative failure rather than evidence that the system was configured to manipulate; the output is synthetic text.
S118,heldout,2025,Purportedly AI-Enhanced Phishing Campaign Allegedly Impersonates Australian Government Services in Large-Scale Welfare Scam,no,no,none,not_applicable,not_applicable,yes,transparency,3,no,"The campaign used deceptive AI-generated government messages against welfare users, exploiting social and economic vulnerability and causing credential theft."
S119,heldout,2025,Prominent AI Chatbots Allegedly Produced Incorrect UK Financial and ISA Guidance,no,no,none,not_applicable,not_applicable,yes,transparency,3,no,"Incorrect chatbot advice is an ordinary limitation; advice alone is not an Annex III essential-services eligibility, credit, insurance-pricing, or emergency-triage decision."
S120,heldout,2025,Bodycam Footage Reportedly Contradicted Purportedly ChatGPT-Generated Use-of-Force Narrative by Immigration Agent,no,no,law_enforcement,applies,no,yes,transparency,2,no,Drafting an incident narrative is treated as a preparatory task subject to human review; it did not itself assess crime risk or evidence reliability.
S121,heldout,2025,Purported Deepfake Impersonation of Elon Musk Used to Promote Fraudulent '17-Hour' Diabetes Treatment Claims,no,no,none,not_applicable,not_applicable,yes,transparency,3,no,The fake diabetes cure exploited health-related vulnerability through a deceptive technique likely to cause significant harm.
S122,heldout,2025,"Purported Deepfake Investment Video Reportedly Used in Scam That Defrauded Turkish Couple of 1.5 Million Lira (~$35,000 USD)",no,no,none,not_applicable,not_applicable,yes,transparency,3,no,The political deepfake was purposefully deployed as an investment scam with significant financial losses.
S123,dev,2026,Border Patrol Agent Allegedly Claimed Facial Recognition Identified Minneapolis ICE Observer and Global Entry Was Reportedly Revoked Three Days Later,yes,no,biometrics,not_applicable,not_applicable,no,prohibited,2,no,"The record describes law-enforcement facial identification from a body camera in public, apparently in real time, without an Article 5(1)(h) exception."
S124,heldout,2026,Purported Deepfake Reportedly Impersonated Consumer Adviser Clark Howard to Promote Auto-Insurance Quote Site,no,no,none,not_applicable,not_applicable,yes,transparency,2,no,"The deepfake was deceptive, but the record describes lead generation and unwanted calls rather than significant harm sufficient for Article 5."
S125,heldout,2025,Deepfakes Reportedly Impersonated David Taylor-Robinson and Other UK Health Experts to Promote Wellness Nest Supplements,no,no,none,not_applicable,not_applicable,yes,transparency,2,no,Fake medical endorsements were purposefully used to sell health products and were likely to cause significant health or financial harm.
S126,heldout,2026,Nippon Life Alleged ChatGPT Practiced Law Without a License in Illinois Disability Case,no,no,none,not_applicable,not_applicable,yes,transparency,3,no,
S127,heldout,2025,Baltimore Lawsuit Alleged DraftKings and FanDuel Used Machine-Learning-Driven Targeting to Exploit Vulnerable Gamblers,yes,no,none,not_applicable,not_applicable,no,prohibited,3,no,Machine-learning profiling identified people showing gambling disorder and exploited their health and economic vulnerability for operator benefit.
