sample_id,split,condition,model,run,risk_tier,steps,rationale,pilot
S015,heldout,decomposed,gemini37f,1,minimal,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}","AI systems intended for automated website accessibility compliance do not fall under any high-risk categories in Annex I or Annex III, nor are they subject to specific transparency obligations under Article 50.",False
S016,heldout,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""yes"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}",The autonomous driving software is a safety component of a motor vehicle governed by EU harmonisation legislation listed in Annex I that requires third-party conformity assessment.,False
S017,dev,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""biometrics"", ""derogation"": ""does_not_apply"", ""profiling"": ""no"", ""art50"": ""no""}","The national biometric identification system falls under Annex III biometrics for remote biometric identification, making it a high-risk AI system.",False
S018,heldout,decomposed,gemini37f,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The system generates synthetic video content (a deepfake), which falls outside the prohibited and high-risk categories but is subject to transparency obligations under Article 50.",False
S019,dev,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""employment"", ""derogation"": ""does_not_apply"", ""profiling"": ""yes"", ""art50"": ""no""}","The system determines compensation and working terms for platform workers, falling under Annex III(4) employment and worker management without qualifying for any derogation.",False
S020,heldout,decomposed,gemini37f,1,minimal,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}","The AI camera system is used for wildlife surveillance and anti-poaching monitoring, which falls outside the scope of Annex I and Annex III high-risk use cases.",False
S021,heldout,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""migration"", ""derogation"": ""does_not_apply"", ""profiling"": ""yes"", ""art50"": ""no""}","The system is used by immigration authorities to vet citizenship and immigration requests under Annex III (migration) and performs profiling of applicants, qualifying it as high-risk.",False
S022,heldout,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""biometrics"", ""derogation"": ""does_not_apply"", ""profiling"": ""not_applicable"", ""art50"": ""no""}","The facial recognition system is used for remote biometric identification of natural persons by law enforcement, which constitutes a high-risk AI system under Annex III.",False
S023,heldout,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""biometrics"", ""derogation"": ""does_not_apply"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The app uses facial recognition for remote biometric identification, which falls under Annex III(1)(a) and does not qualify for any Article 6(3) derogation.",False
S024,dev,decomposed,gemini37f,1,not_ai_system,"{""art3_1"": ""not_ai_system"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}",Canvas activity logs and the internal review process rely on deterministic server event logging without any inferential AI component.,False
S025,heldout,decomposed,gemini37f,1,prohibited,"{""art3_1"": ""yes"", ""art5"": ""yes"", ""annex_i"": ""no"", ""annex_iii"": ""law_enforcement"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}",The real-time remote biometric identification of crowds in publicly accessible spaces by law enforcement without qualifying statutory exceptions is prohibited under Article 5(1)(h).,False
S026,heldout,decomposed,gemini37f,1,minimal,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}","Amazon's Choice is an e-commerce product recommendation algorithm, which is not covered by Annex I or Annex III high-risk use cases or Article 5 prohibitions, placing it in the minimal risk tier.",False
S027,heldout,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""migration"", ""derogation"": ""does_not_apply"", ""profiling"": ""yes"", ""art50"": ""no""}","The system is used by immigration authorities to assess risks associated with visa applicants, falling directly under Annex III (migration, asylum and border control management) as a high-risk AI system.",False
S028,heldout,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""migration"", ""derogation"": ""does_not_apply"", ""profiling"": ""yes"", ""art50"": ""no""}","The system is used by an immigration authority to evaluate risks relating to sham marriages and flag individuals for investigation, falling under Annex III migration systems and involving profiling.",False
S029,heldout,decomposed,gemini37f,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The hotel concierge robots interact directly with human guests without falling under prohibited practices, Annex I mandatory third-party assessment, or Annex III high-risk use cases.",False
S030,heldout,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""yes"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}","Tesla's Autopilot serves as an AI safety component for motor vehicles, which fall under Union harmonisation legislation requiring third-party conformity assessment (Annex I).",False
S031,heldout,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""biometrics"", ""derogation"": ""does_not_apply"", ""profiling"": ""yes"", ""art50"": ""yes""}","The system performs biometric categorisation to infer protected attributes (age and gender) under Annex III, Point 1(b), and involves profiling of natural persons without qualifying for Art. 6(3) derogations.",False
S032,dev,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""biometrics"", ""derogation"": ""does_not_apply"", ""profiling"": ""yes"", ""art50"": ""yes""}","The system is a remote biometric identification tool deployed by public security authorities, which is classified as high-risk under Annex III without qualifying for any Article 6(3) derogation.",False
S033,heldout,decomposed,gemini37f,1,prohibited,"{""art3_1"": ""yes"", ""art5"": ""yes"", ""annex_i"": ""no"", ""annex_iii"": ""law_enforcement"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}","The system relies on creating or expanding facial recognition databases through the untargeted scraping of facial images from the internet, which constitutes a prohibited practice under Article 5(1)(e).",False
S034,heldout,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""employment"", ""derogation"": ""does_not_apply"", ""profiling"": ""yes"", ""art50"": ""no""}","AI systems intended to be used for recruitment, including placing targeted job advertisements, fall under Annex III point 4(a) and constitute high-risk AI systems.",False
S035,heldout,decomposed,gemini37f,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","Lensa AI's Magic Avatars is a consumer generative AI application that generates synthetic images, placing it outside Annex III high-risk use cases but subject to Article 50 transparency obligations for synthetic content generation.",False
S036,dev,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""education"", ""derogation"": ""does_not_apply"", ""profiling"": ""yes"", ""art50"": ""yes""}","AI systems intended to monitor and detect prohibited behavior of students during tests in educational institutions are explicitly classified as high-risk under Annex III, point 3(b).",False
S037,heldout,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""yes"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}","The autonomous assisted driving system is a safety component of a motor vehicle covered by EU type-approval harmonisation legislation requiring third-party conformity assessment, classifying it as high-risk under Article 6(1).",False
S038,heldout,decomposed,gemini37f,1,minimal,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}",Smartphone facial recognition used for 1:1 biometric verification and authentication is explicitly excluded from Annex III remote biometric identification and does not fall under any high-risk or prohibited categories.,False
S039,heldout,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""migration"", ""derogation"": ""does_not_apply"", ""profiling"": ""not_applicable"", ""art50"": ""no""}","The AI system is intended for biometric identification and tracking of travelers in immigration screening and border control, placing it under Annex III (migration/border control management).",False
S040,dev,decomposed,gemini37f,1,minimal,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}",Crash and fall detection features on consumer smart devices do not fall under Annex I third-party conformity assessment or any Annex III high-risk use cases.,False
S041,heldout,decomposed,gemini37f,1,minimal,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}",Automated content moderation systems are governed under the Digital Services Act and do not fall under any Annex III high-risk category or prohibited practice under the EU AI Act.,False
S042,dev,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""yes"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}","Tesla's Full Self-Driving system is a safety component of a motor vehicle, which is covered under EU harmonisation legislation in Annex I requiring third-party conformity assessment.",False
S043,dev,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""migration"", ""derogation"": ""does_not_apply"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The AI system is used by border control authorities in the examination of applications for asylum, which falls squarely under Annex III (migration) as a high-risk system.",False
S044,dev,decomposed,gemini37f,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The generative AI system is used to generate synthetic text, which is outside the high-risk scopes of Annex I and Annex III but subject to Article 50 transparency obligations.",False
S045,dev,decomposed,gemini37f,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The system is an AI image generator that produces synthetic images, subjecting it to the transparency obligations under Article 50 despite its misuse by scammers.",False
S046,heldout,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""essential_services"", ""derogation"": ""does_not_apply"", ""profiling"": ""yes"", ""art50"": ""no""}","The system is used to evaluate healthcare coverage eligibility and outcomes in the context of essential services and health insurance, involving profiling of patients' health aspects.",False
S047,heldout,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""biometrics"", ""derogation"": ""does_not_apply"", ""profiling"": ""not_applicable"", ""art50"": ""no""}","The system is a remote biometric identification tool deployed for law enforcement investigation, which constitutes a high-risk AI system under Annex III.",False
S048,dev,decomposed,gemini37f,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The AI system generates synthetic audio imitating real persons' voices (deepfakes), which falls outside Annex III high-risk use cases but triggers transparency obligations under Article 50.",False
S049,dev,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""migration"", ""derogation"": ""does_not_apply"", ""profiling"": ""no"", ""art50"": ""yes""}","The AI translation tool is used by a migration authority to assist in the examination of asylum applications, placing it directly within Annex III(7) as a high-risk AI system.",False
S050,heldout,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""yes"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}","Tesla's Full Self-Driving system is a safety component of a motor vehicle, which is covered by Union harmonisation legislation listed in Annex I and requires third-party conformity assessment.",False
S051,heldout,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""essential_services"", ""derogation"": ""does_not_apply"", ""profiling"": ""yes"", ""art50"": ""no""}","The system is used by a public authority to evaluate eligibility and rank individuals for public assistance benefits (Annex III, point 5(a)), which constitutes high-risk AI involving profiling of economic status.",False
S052,heldout,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""yes"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}",Tesla Autopilot is a safety component of a motor vehicle covered by EU type-approval harmonisation legislation requiring third-party conformity assessment under Annex I.,False
S053,dev,decomposed,gemini37f,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The AI systems generate synthetic text/content (books) for publication without falling into prohibited or high-risk Annex III categories, subjecting them to Article 50 transparency obligations.",False
S054,heldout,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""employment"", ""derogation"": ""does_not_apply"", ""profiling"": ""yes"", ""art50"": ""no""}","AI systems intended to be used for recruitment, notably to place targeted job advertisements, are classified as high-risk under Annex III, point 4(a), and involve profiling.",False
S055,heldout,decomposed,gemini37f,1,minimal,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}",The consumer photo categorization and tagging features operate outside the scope of Annex I and Annex III high-risk use cases and are not subject to specific transparency or prohibition mandates.,False
S056,dev,decomposed,gemini37f,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The system is a general-purpose generative AI model used to generate synthetic text and content, falling outside Annex III high-risk domains but subject to Article 50 transparency requirements for AI-generated content.",False
S057,heldout,decomposed,gemini37f,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}",The system is a consumer generative AI image editing tool which falls outside Annex III high-risk use cases but is subject to transparency obligations under Article 50 for generating or manipulating synthetic images.,False
S058,heldout,decomposed,gemini37f,1,minimal,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}",The industrial stacking robot is general industrial machinery that normally self-certifies under EU machinery law and does not fall within any Annex III high-risk use case or Article 5 prohibition.,False
S059,dev,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""essential_services"", ""derogation"": ""does_not_apply"", ""profiling"": ""yes"", ""art50"": ""no""}","The system is used by public authorities to evaluate eligibility and flag individuals for public assistance benefits and fraud review under Annex III, Point 5(a), and engages in profiling.",False
S060,heldout,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""biometrics"", ""derogation"": ""does_not_apply"", ""profiling"": ""yes"", ""art50"": ""yes""}","The facial recognition system used by a commercial retailer to identify persons of interest falls under Annex III, point 1(a) as a remote biometric identification system, making it high-risk.",False
S061,dev,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""biometrics"", ""derogation"": ""does_not_apply"", ""profiling"": ""not_applicable"", ""art50"": ""no""}","The facial recognition system used for remote biometric identification of individuals falls under Annex III, point 1(a) as a high-risk AI system.",False
S062,heldout,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""yes"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}","Waymo's autonomous driving software is a safety component of a motor vehicle subject to third-party conformity assessment under EU harmonisation legislation in Annex I, classifying it as high-risk.",False
S063,heldout,decomposed,gemini37f,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The system generates synthetic imagery/deepfakes, which falls outside Annex III high-risk use cases but is subject to transparency obligations under Article 50.",False
S064,heldout,decomposed,gemini37f,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The generative AI system creates synthetic image content (deepfakes), which falls outside Annex III high-risk categories but triggers transparency obligations under Article 50.",False
S065,dev,decomposed,gemini37f,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The system generates synthetic video content (deepfakes) outside of Annex III domains, subjecting it specifically to the transparency obligations under Article 50.",False
S066,heldout,decomposed,gemini37f,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The system is a generative AI tool used to create synthetic video (deepfake) content, which falls outside Annex III high-risk areas but is subject to transparency obligations under Article 50.",False
S067,heldout,decomposed,gemini37f,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The system generates synthetic audio (deepfake voice) used in political advertising, which falls under Article 50 transparency obligations rather than high-risk Annex III categories.",False
S068,dev,decomposed,gemini37f,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The incident involves general-purpose generative AI used to create synthetic images for a political advertisement, which falls outside Annex III high-risk use cases but is subject to Article 50 transparency obligations for generated synthetic content.",False
S069,dev,decomposed,gemini37f,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","General-purpose generative AI systems misused for disinformation do not fall under Annex III high-risk use cases, but are subject to Article 50 transparency obligations for generating synthetic text and images.",False
S070,heldout,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""yes"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}","Tesla's Autopilot/self-driving system is a safety component of a motor vehicle subject to third-party conformity assessment under EU harmonisation legislation (Annex I), making it a high-risk AI system.",False
S071,heldout,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""yes"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}","Tesla's Autopilot is a safety component of a motor vehicle, which falls under EU harmonisation legislation listed in Annex I and requires third-party type approval conformity assessment.",False
S072,heldout,decomposed,gemini37f,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","Criminal misuse of AI for fraudulent recruitment falls outside Annex III intended purposes, but conversational and text-generating tools used to interact with victims trigger Article 50 transparency obligations.",False
S073,heldout,decomposed,gemini37f,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""essential_services"", ""derogation"": ""does_not_apply"", ""profiling"": ""yes"", ""art50"": ""no""}","The system is used by a public authority to evaluate eligibility and risk regarding public assistance benefits under Annex III(5)(a), and engages in profiling of claimants.",False
S074,dev,decomposed,gemini37f,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The system generates synthetic audio and video (deepfakes) outside Annex III areas, subjecting it to specific transparency obligations under Article 50.",False
S075,heldout,decomposed,gemini37f,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","Grok is a general-purpose AI chatbot that generates synthetic text and interacts directly with users, subjecting it to the transparency obligations of Article 50.",False
S076,dev,decomposed,gemini37f,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The AI system generates synthetic image and video content (deepfakes), falling outside prohibited and high-risk categories but subject to specific transparency obligations under Article 50.",False
S077,heldout,decomposed,gemini37f,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The system is an image generation application that creates synthetic media, falling outside the prohibited and Annex III high-risk use cases but subject to transparency obligations under Article 50.",False
