model,condition,reference,prediction,count
gemma27b,decomposed,prohibited,high,5
gemma27b,decomposed,prohibited,prohibited,5
gemma27b,decomposed,prohibited,not_ai_system,0
gemma27b,decomposed,prohibited,insufficient_information,0
gemma27b,decomposed,prohibited,__missing__,0
gemma27b,decomposed,not_ai_system,minimal,1
gemma27b,decomposed,not_ai_system,transparency,0
gemma27b,decomposed,not_ai_system,high,1
gemma27b,decomposed,not_ai_system,prohibited,0
gemma27b,decomposed,not_ai_system,not_ai_system,0
gemma27b,decomposed,not_ai_system,insufficient_information,0
gemma27b,decomposed,not_ai_system,__missing__,0
gemma27b,decomposed,insufficient_information,minimal,1
gemma27b,decomposed,insufficient_information,transparency,0
gemma27b,decomposed,insufficient_information,high,1
gemma27b,decomposed,insufficient_information,prohibited,0
gemma27b,decomposed,insufficient_information,not_ai_system,0
gemma27b,decomposed,insufficient_information,insufficient_information,0
gemma27b,decomposed,insufficient_information,__missing__,0
gpt52,naive,minimal,minimal,5
gpt52,naive,minimal,transparency,0
gpt52,naive,minimal,high,3
gpt52,naive,minimal,prohibited,0
gpt52,naive,minimal,not_ai_system,0
gpt52,naive,minimal,insufficient_information,1
gpt52,naive,minimal,__missing__,0
gpt52,naive,transparency,minimal,9
gpt52,naive,transparency,transparency,56
gpt52,naive,transparency,high,2
gpt52,naive,transparency,prohibited,2
gpt52,naive,transparency,not_ai_system,0
gpt52,naive,transparency,insufficient_information,0
gpt52,naive,transparency,__missing__,0
gpt52,naive,high,minimal,0
gpt52,naive,high,transparency,1
gpt52,naive,high,high,41
gpt52,naive,high,prohibited,2
gpt52,naive,high,not_ai_system,0
gpt52,naive,high,insufficient_information,0
gpt52,naive,high,__missing__,0
gpt52,naive,prohibited,minimal,1
gpt52,naive,prohibited,transparency,13
gpt52,naive,prohibited,high,0
gpt52,naive,prohibited,prohibited,4
gpt52,naive,prohibited,not_ai_system,0
gpt52,naive,prohibited,insufficient_information,0
gpt52,naive,prohibited,__missing__,0
gpt52,naive,not_ai_system,minimal,0
gpt52,naive,not_ai_system,transparency,0
gpt52,naive,not_ai_system,high,0
gpt52,naive,not_ai_system,prohibited,0
gpt52,naive,not_ai_system,not_ai_system,2
gpt52,naive,not_ai_system,insufficient_information,0
gpt52,naive,not_ai_system,__missing__,0
gpt52,naive,insufficient_information,minimal,1
gpt52,naive,insufficient_information,transparency,0
gpt52,naive,insufficient_information,high,0
gpt52,naive,insufficient_information,prohibited,0
gpt52,naive,insufficient_information,not_ai_system,0
gpt52,naive,insufficient_information,insufficient_information,1
gpt52,naive,insufficient_information,__missing__,0
gpt52,decomposed,minimal,minimal,8
gpt52,decomposed,minimal,transparency,1
gpt52,decomposed,minimal,high,0
gpt52,decomposed,minimal,prohibited,0
gpt52,decomposed,minimal,not_ai_system,0
gpt52,decomposed,minimal,insufficient_information,0
gpt52,decomposed,minimal,__missing__,0
gpt52,decomposed,transparency,minimal,1
gpt52,decomposed,transparency,transparency,53
gpt52,decomposed,transparency,high,6
gpt52,decomposed,transparency,prohibited,9
gpt52,decomposed,transparency,not_ai_system,0
gpt52,decomposed,transparency,insufficient_information,0
gpt52,decomposed,transparency,__missing__,0
gpt52,decomposed,high,minimal,0
gpt52,decomposed,high,transparency,1
gpt52,decomposed,high,high,42
gpt52,decomposed,high,prohibited,1
gpt52,decomposed,high,not_ai_system,0
gpt52,decomposed,high,insufficient_information,0
gpt52,decomposed,high,__missing__,0
gpt52,decomposed,prohibited,minimal,0
gpt52,decomposed,prohibited,transparency,12
gpt52,decomposed,prohibited,high,2
gpt52,decomposed,prohibited,prohibited,4
gpt52,decomposed,prohibited,not_ai_system,0
gpt52,decomposed,prohibited,insufficient_information,0
gpt52,decomposed,prohibited,__missing__,0
gpt52,decomposed,not_ai_system,minimal,0
gpt52,decomposed,not_ai_system,transparency,0
gpt52,decomposed,not_ai_system,high,1
gpt52,decomposed,not_ai_system,prohibited,0
gpt52,decomposed,not_ai_system,not_ai_system,1
gpt52,decomposed,not_ai_system,insufficient_information,0
gpt52,decomposed,not_ai_system,__missing__,0
gpt52,decomposed,insufficient_information,minimal,0
gpt52,decomposed,insufficient_information,transparency,1
gpt52,decomposed,insufficient_information,high,0
gpt52,decomposed,insufficient_information,prohibited,1
gpt52,decomposed,insufficient_information,not_ai_system,0
gpt52,decomposed,insufficient_information,insufficient_information,0
gpt52,decomposed,insufficient_information,__missing__,0
gpt56luna,naive,minimal,minimal,6
gpt56luna,naive,minimal,transparency,0
gpt56luna,naive,minimal,high,1
gpt56luna,naive,minimal,prohibited,0
gpt56luna,naive,minimal,not_ai_system,2
gpt56luna,naive,minimal,insufficient_information,0
gpt56luna,naive,minimal,__missing__,0
gpt56luna,naive,transparency,minimal,5
gpt56luna,naive,transparency,transparency,55
gpt56luna,naive,transparency,high,1
gpt56luna,naive,transparency,prohibited,8
gpt56luna,naive,transparency,not_ai_system,0
gpt56luna,naive,transparency,insufficient_information,0
gpt56luna,naive,transparency,__missing__,0
gpt56luna,naive,high,minimal,1
gpt56luna,naive,high,transparency,2
gpt56luna,naive,high,high,40
gpt56luna,naive,high,prohibited,1
gpt56luna,naive,high,not_ai_system,0
gpt56luna,naive,high,insufficient_information,0
gpt56luna,naive,high,__missing__,0
gpt56luna,naive,prohibited,minimal,0
gpt56luna,naive,prohibited,transparency,9
gpt56luna,naive,prohibited,high,0
gpt56luna,naive,prohibited,prohibited,8
gpt56luna,naive,prohibited,not_ai_system,1
gpt56luna,naive,prohibited,insufficient_information,0
gpt56luna,naive,prohibited,__missing__,0
gpt56luna,naive,not_ai_system,minimal,0
gpt56luna,naive,not_ai_system,transparency,0
gpt56luna,naive,not_ai_system,high,0
gpt56luna,naive,not_ai_system,prohibited,0
gpt56luna,naive,not_ai_system,not_ai_system,2
gpt56luna,naive,not_ai_system,insufficient_information,0
gpt56luna,naive,not_ai_system,__missing__,0
gpt56luna,naive,insufficient_information,minimal,0
gpt56luna,naive,insufficient_information,transparency,0
gpt56luna,naive,insufficient_information,high,0
gpt56luna,naive,insufficient_information,prohibited,0
gpt56luna,naive,insufficient_information,not_ai_system,0
gpt56luna,naive,insufficient_information,insufficient_information,2
gpt56luna,naive,insufficient_information,__missing__,0
gpt56luna,decomposed,minimal,minimal,7
gpt56luna,decomposed,minimal,transparency,0
gpt56luna,decomposed,minimal,high,1
gpt56luna,decomposed,minimal,prohibited,0
gpt56luna,decomposed,minimal,not_ai_system,1
gpt56luna,decomposed,minimal,insufficient_information,0
gpt56luna,decomposed,minimal,__missing__,0
gpt56luna,decomposed,transparency,minimal,1
gpt56luna,decomposed,transparency,transparency,46
gpt56luna,decomposed,transparency,high,0
gpt56luna,decomposed,transparency,prohibited,22
gpt56luna,decomposed,transparency,not_ai_system,0
gpt56luna,decomposed,transparency,insufficient_information,0
gpt56luna,decomposed,transparency,__missing__,0
gpt56luna,decomposed,high,minimal,3
gpt56luna,decomposed,high,transparency,1
gpt56luna,decomposed,high,high,40
gpt56luna,decomposed,high,prohibited,0
gpt56luna,decomposed,high,not_ai_system,0
gpt56luna,decomposed,high,insufficient_information,0
gpt56luna,decomposed,high,__missing__,0
gpt56luna,decomposed,prohibited,minimal,0
gpt56luna,decomposed,prohibited,transparency,8
gpt56luna,decomposed,prohibited,high,0
gpt56luna,decomposed,prohibited,prohibited,10
gpt56luna,decomposed,prohibited,not_ai_system,0
gpt56luna,decomposed,prohibited,insufficient_information,0
gpt56luna,decomposed,prohibited,__missing__,0
gpt56luna,decomposed,not_ai_system,minimal,0
gpt56luna,decomposed,not_ai_system,transparency,0
gpt56luna,decomposed,not_ai_system,high,1
gpt56luna,decomposed,not_ai_system,prohibited,0
gpt56luna,decomposed,not_ai_system,not_ai_system,1
gpt56luna,decomposed,not_ai_system,insufficient_information,0
gpt56luna,decomposed,not_ai_system,__missing__,0
gpt56luna,decomposed,insufficient_information,minimal,0
gpt56luna,decomposed,insufficient_information,transparency,1
gpt56luna,decomposed,insufficient_information,high,0
gpt56luna,decomposed,insufficient_information,prohibited,1
gpt56luna,decomposed,insufficient_information,not_ai_system,0
gpt56luna,decomposed,insufficient_information,insufficient_information,0
gpt56luna,decomposed,insufficient_information,__missing__,0
gpt56sol,naive,minimal,minimal,7
gpt56sol,naive,minimal,transparency,0
gpt56sol,naive,minimal,high,1
gpt56sol,naive,minimal,prohibited,0
gpt56sol,naive,minimal,not_ai_system,1
gpt56sol,naive,minimal,insufficient_information,0
gpt56sol,naive,minimal,__missing__,0
gpt56sol,naive,transparency,minimal,5
gpt56sol,naive,transparency,transparency,52
gpt56sol,naive,transparency,high,1
gpt56sol,naive,transparency,prohibited,11
gpt56sol,naive,transparency,not_ai_system,0
gpt56sol,naive,transparency,insufficient_information,0
gpt56sol,naive,transparency,__missing__,0
gpt56sol,naive,high,minimal,1
gpt56sol,naive,high,transparency,2
gpt56sol,naive,high,high,40
gpt56sol,naive,high,prohibited,1
gpt56sol,naive,high,not_ai_system,0
gpt56sol,naive,high,insufficient_information,0
gpt56sol,naive,high,__missing__,0
gpt56sol,naive,prohibited,minimal,1
gpt56sol,naive,prohibited,transparency,7
gpt56sol,naive,prohibited,high,1
gpt56sol,naive,prohibited,prohibited,9
gpt56sol,naive,prohibited,not_ai_system,0
gpt56sol,naive,prohibited,insufficient_information,0
gpt56sol,naive,prohibited,__missing__,0
gpt56sol,naive,not_ai_system,minimal,0
gpt56sol,naive,not_ai_system,transparency,0
gpt56sol,naive,not_ai_system,high,0
gpt56sol,naive,not_ai_system,prohibited,0
gpt56sol,naive,not_ai_system,not_ai_system,2
gpt56sol,naive,not_ai_system,insufficient_information,0
gpt56sol,naive,not_ai_system,__missing__,0
gpt56sol,naive,insufficient_information,minimal,0
gpt56sol,naive,insufficient_information,transparency,0
gpt56sol,naive,insufficient_information,high,0
gpt56sol,naive,insufficient_information,prohibited,0
gpt56sol,naive,insufficient_information,not_ai_system,0
gpt56sol,naive,insufficient_information,insufficient_information,2
gpt56sol,naive,insufficient_information,__missing__,0
gpt56sol,decomposed,minimal,minimal,9
gpt56sol,decomposed,minimal,transparency,0
gpt56sol,decomposed,minimal,high,0
gpt56sol,decomposed,minimal,prohibited,0
gpt56sol,decomposed,minimal,not_ai_system,0
gpt56sol,decomposed,minimal,insufficient_information,0
gpt56sol,decomposed,minimal,__missing__,0
gpt56sol,decomposed,transparency,minimal,0
gpt56sol,decomposed,transparency,transparency,45
gpt56sol,decomposed,transparency,high,2
gpt56sol,decomposed,transparency,prohibited,22
gpt56sol,decomposed,transparency,not_ai_system,0
gpt56sol,decomposed,transparency,insufficient_information,0
gpt56sol,decomposed,transparency,__missing__,0
gpt56sol,decomposed,high,minimal,3
gpt56sol,decomposed,high,transparency,2
gpt56sol,decomposed,high,high,37
gpt56sol,decomposed,high,prohibited,2
gpt56sol,decomposed,high,not_ai_system,0
gpt56sol,decomposed,high,insufficient_information,0
gpt56sol,decomposed,high,__missing__,0
gpt56sol,decomposed,prohibited,minimal,0
gpt56sol,decomposed,prohibited,transparency,5
gpt56sol,decomposed,prohibited,high,0
gpt56sol,decomposed,prohibited,prohibited,13
gpt56sol,decomposed,prohibited,not_ai_system,0
gpt56sol,decomposed,prohibited,insufficient_information,0
gpt56sol,decomposed,prohibited,__missing__,0
gpt56sol,decomposed,not_ai_system,minimal,0
gpt56sol,decomposed,not_ai_system,transparency,0
gpt56sol,decomposed,not_ai_system,high,0
gpt56sol,decomposed,not_ai_system,prohibited,0
gpt56sol,decomposed,not_ai_system,not_ai_system,2
gpt56sol,decomposed,not_ai_system,insufficient_information,0
gpt56sol,decomposed,not_ai_system,__missing__,0
gpt56sol,decomposed,insufficient_information,minimal,0
gpt56sol,decomposed,insufficient_information,transparency,1
gpt56sol,decomposed,insufficient_information,high,0
gpt56sol,decomposed,insufficient_information,prohibited,0
gpt56sol,decomposed,insufficient_information,not_ai_system,0
gpt56sol,decomposed,insufficient_information,insufficient_information,1
gpt56sol,decomposed,insufficient_information,__missing__,0
grok46,naive,minimal,minimal,7
grok46,naive,minimal,transparency,0
grok46,naive,minimal,high,1
grok46,naive,minimal,prohibited,0
grok46,naive,minimal,not_ai_system,0
grok46,naive,minimal,insufficient_information,1
grok46,naive,minimal,__missing__,0
grok46,naive,transparency,minimal,4
grok46,naive,transparency,transparency,55
grok46,naive,transparency,high,2
grok46,naive,transparency,prohibited,8
grok46,naive,transparency,not_ai_system,0
grok46,naive,transparency,insufficient_information,0
grok46,naive,transparency,__missing__,0
grok46,naive,high,minimal,3
grok46,naive,high,transparency,1
grok46,naive,high,high,37
grok46,naive,high,prohibited,3
grok46,naive,high,not_ai_system,0
grok46,naive,high,insufficient_information,0
grok46,naive,high,__missing__,0
grok46,naive,prohibited,minimal,0
grok46,naive,prohibited,transparency,13
grok46,naive,prohibited,high,0
grok46,naive,prohibited,prohibited,5
grok46,naive,prohibited,not_ai_system,0
grok46,naive,prohibited,insufficient_information,0
grok46,naive,prohibited,__missing__,0
grok46,naive,not_ai_system,minimal,0
grok46,naive,not_ai_system,transparency,0
grok46,naive,not_ai_system,high,0
grok46,naive,not_ai_system,prohibited,0
grok46,naive,not_ai_system,not_ai_system,2
grok46,naive,not_ai_system,insufficient_information,0
grok46,naive,not_ai_system,__missing__,0
grok46,naive,insufficient_information,minimal,0
grok46,naive,insufficient_information,transparency,0
grok46,naive,insufficient_information,high,0
grok46,naive,insufficient_information,prohibited,0
grok46,naive,insufficient_information,not_ai_system,0
grok46,naive,insufficient_information,insufficient_information,2
grok46,naive,insufficient_information,__missing__,0
grok46,decomposed,minimal,minimal,9
grok46,decomposed,minimal,transparency,0
grok46,decomposed,minimal,high,0
grok46,decomposed,minimal,prohibited,0
grok46,decomposed,minimal,not_ai_system,0
grok46,decomposed,minimal,insufficient_information,0
grok46,decomposed,minimal,__missing__,0
grok46,decomposed,transparency,minimal,0
grok46,decomposed,transparency,transparency,69
grok46,decomposed,transparency,high,0
grok46,decomposed,transparency,prohibited,0
grok46,decomposed,transparency,not_ai_system,0
grok46,decomposed,transparency,insufficient_information,0
grok46,decomposed,transparency,__missing__,0
grok46,decomposed,high,minimal,4
grok46,decomposed,high,transparency,2
grok46,decomposed,high,high,36
grok46,decomposed,high,prohibited,2
grok46,decomposed,high,not_ai_system,0
grok46,decomposed,high,insufficient_information,0
grok46,decomposed,high,__missing__,0
grok46,decomposed,prohibited,minimal,0
grok46,decomposed,prohibited,transparency,14
grok46,decomposed,prohibited,high,1
grok46,decomposed,prohibited,prohibited,3
grok46,decomposed,prohibited,not_ai_system,0
grok46,decomposed,prohibited,insufficient_information,0
grok46,decomposed,prohibited,__missing__,0
grok46,decomposed,not_ai_system,minimal,0
grok46,decomposed,not_ai_system,transparency,0
grok46,decomposed,not_ai_system,high,1
grok46,decomposed,not_ai_system,prohibited,0
grok46,decomposed,not_ai_system,not_ai_system,1
grok46,decomposed,not_ai_system,insufficient_information,0
grok46,decomposed,not_ai_system,__missing__,0
grok46,decomposed,insufficient_information,minimal,1
grok46,decomposed,insufficient_information,transparency,1
grok46,decomposed,insufficient_information,high,0
grok46,decomposed,insufficient_information,prohibited,0
grok46,decomposed,insufficient_information,not_ai_system,0
grok46,decomposed,insufficient_information,insufficient_information,0
grok46,decomposed,insufficient_information,__missing__,0
haiku45,naive,minimal,minimal,0
haiku45,naive,minimal,transparency,0
haiku45,naive,minimal,high,7
haiku45,naive,minimal,prohibited,0
haiku45,naive,minimal,not_ai_system,2
haiku45,naive,minimal,insufficient_information,0
haiku45,naive,minimal,__missing__,0
haiku45,naive,transparency,minimal,3
haiku45,naive,transparency,transparency,7
haiku45,naive,transparency,high,20
haiku45,naive,transparency,prohibited,35
haiku45,naive,transparency,not_ai_system,4
haiku45,naive,transparency,insufficient_information,0
haiku45,naive,transparency,__missing__,0
haiku45,naive,high,minimal,0
haiku45,naive,high,transparency,0
haiku45,naive,high,high,43
haiku45,naive,high,prohibited,1
haiku45,naive,high,not_ai_system,0
haiku45,naive,high,insufficient_information,0
haiku45,naive,high,__missing__,0
haiku45,naive,prohibited,minimal,0
haiku45,naive,prohibited,transparency,0
haiku45,naive,prohibited,high,7
haiku45,naive,prohibited,prohibited,11
haiku45,naive,prohibited,not_ai_system,0
haiku45,naive,prohibited,insufficient_information,0
haiku45,naive,prohibited,__missing__,0
haiku45,naive,not_ai_system,minimal,0
haiku45,naive,not_ai_system,transparency,0
haiku45,naive,not_ai_system,high,1
haiku45,naive,not_ai_system,prohibited,0
haiku45,naive,not_ai_system,not_ai_system,1
haiku45,naive,not_ai_system,insufficient_information,0
haiku45,naive,not_ai_system,__missing__,0
haiku45,naive,insufficient_information,minimal,0
haiku45,naive,insufficient_information,transparency,0
haiku45,naive,insufficient_information,high,0
haiku45,naive,insufficient_information,prohibited,0
haiku45,naive,insufficient_information,not_ai_system,0
haiku45,naive,insufficient_information,insufficient_information,2
haiku45,naive,insufficient_information,__missing__,0
haiku45,decomposed,minimal,minimal,2
haiku45,decomposed,minimal,transparency,2
haiku45,decomposed,minimal,high,4
haiku45,decomposed,minimal,prohibited,0
haiku45,decomposed,minimal,not_ai_system,0
haiku45,decomposed,minimal,insufficient_information,1
haiku45,decomposed,minimal,__missing__,0
haiku45,decomposed,transparency,minimal,6
haiku45,decomposed,transparency,transparency,57
haiku45,decomposed,transparency,high,4
haiku45,decomposed,transparency,prohibited,1
haiku45,decomposed,transparency,not_ai_system,0
haiku45,decomposed,transparency,insufficient_information,1
haiku45,decomposed,transparency,__missing__,0
haiku45,decomposed,high,minimal,0
haiku45,decomposed,high,transparency,2
haiku45,decomposed,high,high,39
haiku45,decomposed,high,prohibited,3
haiku45,decomposed,high,not_ai_system,0
haiku45,decomposed,high,insufficient_information,0
haiku45,decomposed,high,__missing__,0
haiku45,decomposed,prohibited,minimal,1
haiku45,decomposed,prohibited,transparency,12
