model,sample_id,step,reference,prediction,missing,match,final_match
gemini37f,S015,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S015,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S015,art50,no,no,False,True,True
gemini37f,S016,art5,no,no,False,True,True
gemini37f,S016,annex_i,yes,yes,False,True,True
gemini37f,S016,annex_iii,none,none,False,True,True
gemini37f,S016,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S016,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S016,art50,no,no,False,True,True
gemini37f,S017,art5,no,no,False,True,True
gemini37f,S017,annex_i,no,no,False,True,True
gemini37f,S017,annex_iii,biometrics,biometrics,False,True,True
gemini37f,S017,derogation,does_not_apply,does_not_apply,False,True,True
gemini37f,S017,profiling,no,no,False,True,True
gemini37f,S017,art50,no,no,False,True,True
gemini37f,S018,art5,no,no,False,True,True
gemini37f,S018,annex_i,no,no,False,True,True
gemini37f,S018,annex_iii,none,none,False,True,True
gemini37f,S018,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S018,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S018,art50,yes,yes,False,True,True
gemini37f,S020,art5,no,no,False,True,True
gemini37f,S020,annex_i,no,no,False,True,True
gemini37f,S020,annex_iii,none,none,False,True,True
gemini37f,S020,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S020,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S020,art50,no,no,False,True,True
gemini37f,S021,art5,no,no,False,True,True
gemini37f,S021,annex_i,no,no,False,True,True
gemini37f,S021,annex_iii,migration,migration,False,True,True
gemini37f,S021,derogation,does_not_apply,does_not_apply,False,True,True
gemini37f,S021,profiling,yes,yes,False,True,True
gemini37f,S021,art50,no,no,False,True,True
gemini37f,S022,art5,no,no,False,True,True
gemini37f,S022,annex_i,no,no,False,True,True
gemini37f,S022,annex_iii,biometrics,biometrics,False,True,True
gemini37f,S022,derogation,does_not_apply,does_not_apply,False,True,True
gemini37f,S022,profiling,no,not_applicable,False,False,True
gemini37f,S022,art50,no,no,False,True,True
gemini37f,S023,art5,no,no,False,True,True
gemini37f,S023,annex_i,no,no,False,True,True
gemini37f,S023,annex_iii,biometrics,biometrics,False,True,True
gemini37f,S023,derogation,does_not_apply,does_not_apply,False,True,True
gemini37f,S023,profiling,no,not_applicable,False,False,True
gemini37f,S023,art50,no,yes,False,False,True
gemini37f,S024,art5,no,no,False,True,True
gemini37f,S024,annex_i,no,no,False,True,True
gemini37f,S024,annex_iii,none,none,False,True,True
gemini37f,S024,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S024,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S024,art50,no,no,False,True,True
gemini37f,S025,art5,yes,yes,False,True,True
gemini37f,S025,annex_i,no,no,False,True,True
gemini37f,S025,annex_iii,biometrics,law_enforcement,False,False,True
gemini37f,S025,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S025,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S025,art50,no,no,False,True,True
gemini37f,S027,art5,no,no,False,True,True
gemini37f,S027,annex_i,no,no,False,True,True
gemini37f,S027,annex_iii,migration,migration,False,True,True
gemini37f,S027,derogation,does_not_apply,does_not_apply,False,True,True
gemini37f,S027,profiling,yes,yes,False,True,True
gemini37f,S027,art50,no,no,False,True,True
gemini37f,S029,art5,no,no,False,True,True
gemini37f,S029,annex_i,no,no,False,True,True
gemini37f,S029,annex_iii,none,none,False,True,True
gemini37f,S029,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S029,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S029,art50,yes,yes,False,True,True
gemini37f,S030,art5,no,no,False,True,True
gemini37f,S030,annex_i,yes,yes,False,True,True
gemini37f,S030,annex_iii,none,none,False,True,True
gemini37f,S030,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S030,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S030,art50,no,no,False,True,True
gemini37f,S031,art5,no,no,False,True,True
gemini37f,S031,annex_i,no,no,False,True,True
gemini37f,S031,annex_iii,biometrics,biometrics,False,True,True
gemini37f,S031,derogation,does_not_apply,does_not_apply,False,True,True
gemini37f,S031,profiling,yes,yes,False,True,True
gemini37f,S031,art50,yes,yes,False,True,True
gemini37f,S032,art5,unclear,no,False,False,True
gemini37f,S032,annex_i,no,no,False,True,True
gemini37f,S032,annex_iii,biometrics,biometrics,False,True,True
gemini37f,S032,derogation,does_not_apply,does_not_apply,False,True,True
gemini37f,S032,profiling,no,yes,False,False,True
gemini37f,S032,art50,no,yes,False,False,True
gemini37f,S033,art5,no,yes,False,False,False
gemini37f,S033,annex_i,no,no,False,True,False
gemini37f,S033,annex_iii,biometrics,law_enforcement,False,False,False
gemini37f,S033,derogation,does_not_apply,not_applicable,False,False,False
gemini37f,S033,profiling,no,not_applicable,False,False,False
gemini37f,S033,art50,no,no,False,True,False
gemini37f,S034,art5,no,no,False,True,True
gemini37f,S034,annex_i,no,no,False,True,True
gemini37f,S034,annex_iii,employment,employment,False,True,True
gemini37f,S034,derogation,does_not_apply,does_not_apply,False,True,True
gemini37f,S034,profiling,yes,yes,False,True,True
gemini37f,S034,art50,no,no,False,True,True
gemini37f,S035,art5,no,no,False,True,True
gemini37f,S035,annex_i,no,no,False,True,True
gemini37f,S035,annex_iii,none,none,False,True,True
gemini37f,S035,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S035,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S035,art50,yes,yes,False,True,True
gemini37f,S036,art5,no,no,False,True,True
gemini37f,S036,annex_i,no,no,False,True,True
gemini37f,S036,annex_iii,education,education,False,True,True
gemini37f,S036,derogation,does_not_apply,does_not_apply,False,True,True
gemini37f,S036,profiling,yes,yes,False,True,True
gemini37f,S036,art50,no,yes,False,False,True
gemini37f,S037,art5,no,no,False,True,True
gemini37f,S037,annex_i,yes,yes,False,True,True
gemini37f,S037,annex_iii,none,none,False,True,True
gemini37f,S037,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S037,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S037,art50,no,no,False,True,True
gemini37f,S038,art5,no,no,False,True,True
gemini37f,S038,annex_i,no,no,False,True,True
gemini37f,S038,annex_iii,none,none,False,True,True
gemini37f,S038,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S038,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S038,art50,no,no,False,True,True
gemini37f,S039,art5,no,no,False,True,True
gemini37f,S039,annex_i,no,no,False,True,True
gemini37f,S039,annex_iii,migration,migration,False,True,True
gemini37f,S039,derogation,does_not_apply,does_not_apply,False,True,True
gemini37f,S039,profiling,yes,not_applicable,False,False,True
gemini37f,S039,art50,no,no,False,True,True
gemini37f,S040,art5,no,no,False,True,True
gemini37f,S040,annex_i,no,no,False,True,True
gemini37f,S040,annex_iii,none,none,False,True,True
gemini37f,S040,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S040,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S040,art50,no,no,False,True,True
gemini37f,S042,art5,no,no,False,True,True
gemini37f,S042,annex_i,yes,yes,False,True,True
gemini37f,S042,annex_iii,none,none,False,True,True
gemini37f,S042,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S042,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S042,art50,no,no,False,True,True
gemini37f,S043,art5,no,no,False,True,True
gemini37f,S043,annex_i,no,no,False,True,True
gemini37f,S043,annex_iii,migration,migration,False,True,True
gemini37f,S043,derogation,does_not_apply,does_not_apply,False,True,True
gemini37f,S043,profiling,no,not_applicable,False,False,True
gemini37f,S043,art50,no,yes,False,False,True
gemini37f,S044,art5,no,no,False,True,True
gemini37f,S044,annex_i,no,no,False,True,True
gemini37f,S044,annex_iii,none,none,False,True,True
gemini37f,S044,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S044,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S044,art50,yes,yes,False,True,True
gemini37f,S045,art5,no,no,False,True,True
gemini37f,S045,annex_i,no,no,False,True,True
gemini37f,S045,annex_iii,none,none,False,True,True
gemini37f,S045,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S045,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S045,art50,yes,yes,False,True,True
gemini37f,S046,art5,no,no,False,True,True
gemini37f,S046,annex_i,no,no,False,True,True
gemini37f,S046,annex_iii,essential_services,essential_services,False,True,True
gemini37f,S046,derogation,does_not_apply,does_not_apply,False,True,True
gemini37f,S046,profiling,not_applicable,yes,False,False,True
gemini37f,S046,art50,no,no,False,True,True
gemini37f,S047,art5,no,no,False,True,True
gemini37f,S047,annex_i,no,no,False,True,True
gemini37f,S047,annex_iii,biometrics,biometrics,False,True,True
gemini37f,S047,derogation,does_not_apply,does_not_apply,False,True,True
gemini37f,S047,profiling,no,not_applicable,False,False,True
gemini37f,S047,art50,no,no,False,True,True
gemini37f,S048,art5,no,no,False,True,True
gemini37f,S048,annex_i,no,no,False,True,True
gemini37f,S048,annex_iii,none,none,False,True,True
gemini37f,S048,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S048,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S048,art50,yes,yes,False,True,True
gemini37f,S049,art5,no,no,False,True,True
gemini37f,S049,annex_i,no,no,False,True,True
gemini37f,S049,annex_iii,migration,migration,False,True,True
gemini37f,S049,derogation,does_not_apply,does_not_apply,False,True,True
gemini37f,S049,profiling,no,no,False,True,True
gemini37f,S049,art50,yes,yes,False,True,True
gemini37f,S050,art5,no,no,False,True,True
gemini37f,S050,annex_i,yes,yes,False,True,True
gemini37f,S050,annex_iii,none,none,False,True,True
gemini37f,S050,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S050,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S050,art50,no,no,False,True,True
gemini37f,S051,art5,no,no,False,True,True
gemini37f,S051,annex_i,no,no,False,True,True
gemini37f,S051,annex_iii,essential_services,essential_services,False,True,True
gemini37f,S051,derogation,does_not_apply,does_not_apply,False,True,True
gemini37f,S051,profiling,yes,yes,False,True,True
gemini37f,S051,art50,no,no,False,True,True
gemini37f,S052,art5,no,no,False,True,True
gemini37f,S052,annex_i,yes,yes,False,True,True
gemini37f,S052,annex_iii,none,none,False,True,True
gemini37f,S052,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S052,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S052,art50,no,no,False,True,True
gemini37f,S053,art5,unclear,no,False,False,True
gemini37f,S053,annex_i,no,no,False,True,True
gemini37f,S053,annex_iii,none,none,False,True,True
gemini37f,S053,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S053,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S053,art50,yes,yes,False,True,True
gemini37f,S054,art5,no,no,False,True,True
gemini37f,S054,annex_i,no,no,False,True,True
gemini37f,S054,annex_iii,employment,employment,False,True,True
gemini37f,S054,derogation,does_not_apply,does_not_apply,False,True,True
gemini37f,S054,profiling,yes,yes,False,True,True
gemini37f,S054,art50,no,no,False,True,True
gemini37f,S055,art5,no,no,False,True,True
gemini37f,S055,annex_i,no,no,False,True,True
gemini37f,S055,annex_iii,none,none,False,True,True
gemini37f,S055,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S055,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S055,art50,no,no,False,True,True
gemini37f,S056,art5,unclear,no,False,False,True
gemini37f,S056,annex_i,no,no,False,True,True
gemini37f,S056,annex_iii,none,none,False,True,True
gemini37f,S056,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S056,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S056,art50,yes,yes,False,True,True
gemini37f,S057,art5,no,no,False,True,True
gemini37f,S057,annex_i,no,no,False,True,True
gemini37f,S057,annex_iii,none,none,False,True,True
gemini37f,S057,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S057,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S057,art50,yes,yes,False,True,True
gemini37f,S058,art5,no,no,False,True,True
gemini37f,S058,annex_i,no,no,False,True,True
gemini37f,S058,annex_iii,none,none,False,True,True
gemini37f,S058,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S058,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S058,art50,no,no,False,True,True
gemini37f,S060,art5,no,no,False,True,True
gemini37f,S060,annex_i,no,no,False,True,True
gemini37f,S060,annex_iii,biometrics,biometrics,False,True,True
gemini37f,S060,derogation,does_not_apply,does_not_apply,False,True,True
gemini37f,S060,profiling,yes,yes,False,True,True
gemini37f,S060,art50,no,yes,False,False,True
gemini37f,S061,art5,no,no,False,True,True
gemini37f,S061,annex_i,no,no,False,True,True
gemini37f,S061,annex_iii,biometrics,biometrics,False,True,True
gemini37f,S061,derogation,does_not_apply,does_not_apply,False,True,True
gemini37f,S061,profiling,yes,not_applicable,False,False,True
gemini37f,S061,art50,no,no,False,True,True
gemini37f,S062,art5,no,no,False,True,True
gemini37f,S062,annex_i,yes,yes,False,True,True
gemini37f,S062,annex_iii,none,none,False,True,True
gemini37f,S062,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S062,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S062,art50,no,no,False,True,True
gemini37f,S063,art5,no,no,False,True,True
gemini37f,S063,annex_i,no,no,False,True,True
gemini37f,S063,annex_iii,none,none,False,True,True
gemini37f,S063,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S063,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S063,art50,yes,yes,False,True,True
gemini37f,S064,art5,no,no,False,True,True
gemini37f,S064,annex_i,no,no,False,True,True
gemini37f,S064,annex_iii,none,none,False,True,True
gemini37f,S064,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S064,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S064,art50,yes,yes,False,True,True
gemini37f,S065,art5,no,no,False,True,True
gemini37f,S065,annex_i,no,no,False,True,True
gemini37f,S065,annex_iii,none,none,False,True,True
gemini37f,S065,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S065,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S065,art50,yes,yes,False,True,True
gemini37f,S066,art5,no,no,False,True,False
gemini37f,S066,annex_i,no,no,False,True,False
gemini37f,S066,annex_iii,justice_democracy,none,False,False,False
gemini37f,S066,derogation,does_not_apply,not_applicable,False,False,False
gemini37f,S066,profiling,no,not_applicable,False,False,False
gemini37f,S066,art50,yes,yes,False,True,False
gemini37f,S068,art5,no,no,False,True,True
gemini37f,S068,annex_i,no,no,False,True,True
gemini37f,S068,annex_iii,none,none,False,True,True
gemini37f,S068,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S068,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S068,art50,yes,yes,False,True,True
gemini37f,S069,art5,yes,no,False,False,False
gemini37f,S069,annex_i,no,no,False,True,False
gemini37f,S069,annex_iii,none,none,False,True,False
gemini37f,S069,derogation,not_applicable,not_applicable,False,True,False
gemini37f,S069,profiling,not_applicable,not_applicable,False,True,False
gemini37f,S069,art50,yes,yes,False,True,False
gemini37f,S070,art5,no,no,False,True,True
gemini37f,S070,annex_i,yes,yes,False,True,True
gemini37f,S070,annex_iii,none,none,False,True,True
gemini37f,S070,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S070,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S070,art50,no,no,False,True,True
gemini37f,S071,art5,no,no,False,True,True
gemini37f,S071,annex_i,yes,yes,False,True,True
gemini37f,S071,annex_iii,none,none,False,True,True
gemini37f,S071,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S071,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S071,art50,no,no,False,True,True
gemini37f,S072,art5,unclear,no,False,False,False
gemini37f,S072,annex_i,unclear,no,False,False,False
gemini37f,S072,annex_iii,unclear,none,False,False,False
gemini37f,S072,derogation,unclear,not_applicable,False,False,False
gemini37f,S072,profiling,unclear,not_applicable,False,False,False
gemini37f,S072,art50,unclear,yes,False,False,False
gemini37f,S073,art5,no,no,False,True,True
gemini37f,S073,annex_i,no,no,False,True,True
gemini37f,S073,annex_iii,essential_services,essential_services,False,True,True
gemini37f,S073,derogation,does_not_apply,does_not_apply,False,True,True
gemini37f,S073,profiling,yes,yes,False,True,True
gemini37f,S073,art50,no,no,False,True,True
gemini37f,S074,art5,no,no,False,True,True
gemini37f,S074,annex_i,no,no,False,True,True
gemini37f,S074,annex_iii,none,none,False,True,True
gemini37f,S074,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S074,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S074,art50,yes,yes,False,True,True
gemini37f,S075,art5,no,no,False,True,True
gemini37f,S075,annex_i,no,no,False,True,True
gemini37f,S075,annex_iii,none,none,False,True,True
gemini37f,S075,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S075,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S075,art50,yes,yes,False,True,True
gemini37f,S076,art5,no,no,False,True,True
gemini37f,S076,annex_i,no,no,False,True,True
gemini37f,S076,annex_iii,none,none,False,True,True
gemini37f,S076,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S076,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S076,art50,yes,yes,False,True,True
gemini37f,S077,art5,no,no,False,True,True
gemini37f,S077,annex_i,no,no,False,True,True
gemini37f,S077,annex_iii,none,none,False,True,True
gemini37f,S077,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S077,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S077,art50,yes,yes,False,True,True
gemini37f,S078,art5,no,no,False,True,True
gemini37f,S078,annex_i,no,no,False,True,True
gemini37f,S078,annex_iii,none,none,False,True,True
gemini37f,S078,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S078,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S078,art50,yes,yes,False,True,True
gemini37f,S079,art5,no,no,False,True,True
gemini37f,S079,annex_i,no,no,False,True,True
gemini37f,S079,annex_iii,none,none,False,True,True
gemini37f,S079,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S079,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S079,art50,yes,yes,False,True,True
gemini37f,S080,art5,no,no,False,True,True
gemini37f,S080,annex_i,no,no,False,True,True
gemini37f,S080,annex_iii,none,none,False,True,True
gemini37f,S080,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S080,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S080,art50,yes,yes,False,True,True
gemini37f,S081,art5,no,no,False,True,True
gemini37f,S081,annex_i,no,no,False,True,True
gemini37f,S081,annex_iii,law_enforcement,law_enforcement,False,True,True
gemini37f,S081,derogation,does_not_apply,does_not_apply,False,True,True
gemini37f,S081,profiling,yes,yes,False,True,True
gemini37f,S081,art50,no,no,False,True,True
gemini37f,S082,art5,no,no,False,True,True
gemini37f,S082,annex_i,no,no,False,True,True
gemini37f,S082,annex_iii,essential_services,essential_services,False,True,True
gemini37f,S082,derogation,does_not_apply,does_not_apply,False,True,True
gemini37f,S082,profiling,yes,yes,False,True,True
gemini37f,S082,art50,no,no,False,True,True
gemini37f,S083,art5,no,no,False,True,True
gemini37f,S083,annex_i,no,no,False,True,True
gemini37f,S083,annex_iii,none,none,False,True,True
gemini37f,S083,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S083,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S083,art50,yes,yes,False,True,True
gemini37f,S084,art5,no,no,False,True,True
gemini37f,S084,annex_i,no,no,False,True,True
gemini37f,S084,annex_iii,none,none,False,True,True
gemini37f,S084,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S084,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S084,art50,yes,yes,False,True,True
gemini37f,S085,art5,no,no,False,True,True
gemini37f,S085,annex_i,no,no,False,True,True
gemini37f,S085,annex_iii,none,none,False,True,True
gemini37f,S085,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S085,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S085,art50,yes,yes,False,True,True
gemini37f,S086,art5,no,no,False,True,True
gemini37f,S086,annex_i,no,no,False,True,True
gemini37f,S086,annex_iii,none,none,False,True,True
gemini37f,S086,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S086,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S086,art50,yes,yes,False,True,True
gemini37f,S087,art5,no,no,False,True,True
gemini37f,S087,annex_i,no,no,False,True,True
gemini37f,S087,annex_iii,none,none,False,True,True
gemini37f,S087,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S087,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S087,art50,yes,yes,False,True,True
gemini37f,S088,art5,no,no,False,True,True
gemini37f,S088,annex_i,no,no,False,True,True
gemini37f,S088,annex_iii,none,none,False,True,True
gemini37f,S088,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S088,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S088,art50,yes,yes,False,True,True
gemini37f,S089,art5,no,no,False,True,True
gemini37f,S089,annex_i,no,no,False,True,True
gemini37f,S089,annex_iii,none,none,False,True,True
gemini37f,S089,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S089,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S089,art50,yes,yes,False,True,True
gemini37f,S090,art5,no,no,False,True,True
gemini37f,S090,annex_i,yes,yes,False,True,True
gemini37f,S090,annex_iii,none,none,False,True,True
gemini37f,S090,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S090,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S090,art50,no,no,False,True,True
gemini37f,S091,art5,no,no,False,True,True
gemini37f,S091,annex_i,no,no,False,True,True
gemini37f,S091,annex_iii,none,none,False,True,True
gemini37f,S091,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S091,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S091,art50,yes,yes,False,True,True
gemini37f,S092,art5,unclear,no,False,False,True
gemini37f,S092,annex_i,no,no,False,True,True
gemini37f,S092,annex_iii,none,none,False,True,True
gemini37f,S092,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S092,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S092,art50,yes,yes,False,True,True
gemini37f,S093,art5,yes,no,False,False,False
gemini37f,S093,annex_i,no,no,False,True,False
gemini37f,S093,annex_iii,none,none,False,True,False
gemini37f,S093,derogation,not_applicable,not_applicable,False,True,False
gemini37f,S093,profiling,not_applicable,not_applicable,False,True,False
gemini37f,S093,art50,yes,yes,False,True,False
gemini37f,S094,art5,no,no,False,True,True
gemini37f,S094,annex_i,no,no,False,True,True
gemini37f,S094,annex_iii,none,none,False,True,True
gemini37f,S094,derogation,not_applicable,not_applicable,False,True,True
gemini37f,S094,profiling,not_applicable,not_applicable,False,True,True
gemini37f,S094,art50,yes,yes,False,True,True
gemini37f,S095,art5,yes,no,False,False,False
gemini37f,S095,annex_i,no,no,False,True,False
gemini37f,S095,annex_iii,none,none,False,True,False
gemini37f,S095,derogation,not_applicable,not_applicable,False,True,False
