sample_id,title,FINAL_risk_tier,confidence_1to3,notes,disagreements
S018,Climate Action Group Posted Deepfake of Belgian Prime Minister Urging Climate Crisis Action,transparency,2,"The deepfake triggers Article 50, but the record does not establish Article 5's material-distortion and significant-harm elements.",3
S020,Poachers Evaded AI Cameras and Killed Four Rhinos,minimal,2,"Anti-poaching detection by a wildlife authority is commonly treated as law-enforcement use, but Annex III 6 is a closed list (victim risk, polygraphs, evidence reliability, reoffending risk, investigative profiling).",3
S021,US DHS’s Opaque Vetting Software Allegedly Relied on Poor-Quality Data and Discriminated against Immigrants,high,3,,0
S022,Wrongful Attempted Arrest for Apple Store Thefts Due to NYPD’s Facial Misidentification,high,3,,0
S023,Student-Developed Facial Recognition App Raised Ethical Concerns,high,2,Facial recognition appears to identify people rather than merely verify access; the precise workflow is not stated.,2
S024,Dartmouth's Geisel School of Medicine Reportedly Used Canvas Activity Logs to Accuse Students of Cheating,not_ai_system,2,"The record identifies Canvas activity logs and a human internal analysis, but no system that inferred an output; the students' intent was inferred by people.",14
S025,Facial Recognition Trial Performed Poorly at Notting Hill Carnival,prohibited,2,Police facial recognition at a publicly accessible festival appears to be real-time remote biometric identification; no Article 5(1)(h) exception is shown.,9
S027,UK Visa Streamline Algorithm Allegedly Discriminated Based on Nationality,high,3,,0
S029,Robots in Japanese Hotel Annoyed Guests and Failed to Handle Simple Tasks,transparency,2,The hotel robots directly interacted with guests; general service robots are normally self-certified industrial machinery.,14
S030,"Tesla on Autopilot Crashed into Trailer Truck in Florida, Killing Driver",high,3,,0
S031,Calgary Malls Deployed Facial Recognition without Customer Consent,high,3,"Age and gender are not in Article 5(1)(g)'s exhaustive sensitive-attribute list, but estimating them from faces is Annex III biometric categorisation and Article 50 applies.",7
S032,Facial Recognition Pilot in Bahia Reportedly Targeted Black and Poor People,high,2,Public-security facial recognition is Annex III high-risk. The record does not say clearly enough whether it was real-time remote identification in publicly accessible space for Article 5(1)(h).,8
S033,Finnish Police Were Reportedly Reprimanded After National Bureau of Investigation Unit Allegedly Used Clearview AI to Identify Potential Abuse Victims,high,3,"The police use was retrospective identification of abuse victims, not real-time identification in public space; the record does not establish untargeted scraping by the incident deployer.",17
S034,Facebook's Job Ad Algorithm Allegedly Biased against Older and Female Workers,high,3,,0
S035,"Lensa AI's Produced Unintended Sexually Explicit or Suggestive ""Magic Avatars"" for Women",transparency,3,,3
S036,Canadian Universities' AI Proctoring Tools Reportedly Collected Student Biometric Data Without Adequate Consent,high,3,Remote proctoring monitored students for cheating and evaluated behaviour from personal or biometric data; mere collection does not establish prohibited emotion inference.,0
S037,XPeng P7 Crashed into Truck in Shangdong While on Automatic Navigation Assisted Driving,high,3,,0
S038,Robbers Accessed Drugged Gay Men's Bank Accounts Using Their Phones' Facial Recognition,minimal,3,Phone face authentication is verification rather than Annex III remote biometric identification or biometric categorisation.,6
S039,South Korean Agencies Reportedly Shared Airport Travelers' Face Images with Companies to Train Immigration Facial Recognition System,high,3,,2
S040,"Apple Devices Mistook Skiing Activities, Dialed False Distress Emergency Calls ",minimal,3,"Accident detection that initiates an emergency call is not emergency-service triage, and radio equipment is normally self-certified.",7
S042,"Tesla FSD Reportedly Increased Crash Risk, Prompting Recall",high,3,"Full Self-Driving is an AI component of a motor vehicle, a product type normally subject to third-party conformity assessment.",0
S043,US CBP App's Failure to Detect Black Faces Reportedly Blocked Asylum Applications,high,3,"The facial feature controlled access to an asylum application, so the underlying purpose is migration rather than general biometrics.",0
S044,Clarkesworld Magazine Reportedly Closed Down Submissions Due to Massive Increase in Purportedly AI-Generated Stories,transparency,3,The systems generated synthetic story text; magazine submissions are not an Annex III education or employment use.,5
S045,Online Scammers Tricked People into Sending Money Using AI Images of Earthquake in Turkey,transparency,3,"Scammers deliberately configured synthetic disaster images to deceive donors into financial transfers, with significant harm.",6
S046,Length of Stay False Diagnosis Cut Off Insurer's Payment for Treatment of Elderly Woman,high,2,"The system managed treatment or claim duration rather than health-insurance risk assessment or pricing, and the record does not identify it as a medical device.",2
S047,New York Detective Misused Woody Harrelson's Face to Perform Face Recognition Search,high,3,,0
S048,Novel Deepfake Song Pulled from Music Streaming Services After Allegedly Violating Artist's Rights,transparency,3,The system generated synthetic audio imitating artists; copyright and consent issues do not alone satisfy Article 5.,1
S049,AI translation is jeopardizing Afghan asylum claims,high,3,"Automated translation directly influenced an asylum decision. It also generates synthetic text, so Article 50 is recorded independently.",6
S050,Tesla FSD Misidentified Truck Hauling Traffic Lights as Trail of Traffic Lights,high,3,,0
S051,Algorithm to Distribute Social Welfare Reported for Oversimplifying Economic Vulnerability,high,3,,0
S052,Tesla on Autopilot Struck Parked Work Truck on Highway in Pennsylvania,high,3,,0
S053,Amazon Rife with Many Allegedly AI-Generated Books of Suspect Quality,transparency,2,"The books were allegedly generated to game rankings, but the record does not establish Article 5's significant-harm threshold or a sufficiently identified deceptive configuration.",4
S054,Alleged Gender Discrimination in Facebook Job Ads Algorithm,high,3,,1
S055,Apparent Failure to Accurately Label Primates in Image Recognition Software Due to Alleged Fear of Racial Bias,minimal,3,,5
S056,"Alleged ChatGPT-Generated Book with a Duplicate Title, Fake Author, and Similar Content Surfaces on Amazon Ahead of Real Author's Book Release",transparency,2,"A fake author and duplicate title suggest deception, but the record does not establish significant harm or how ChatGPT was configured.",2
S057,"AI Photo Filter Lightens Skin, Changes Eye Color in Student's 'Professional' Image",transparency,3,,4
S058,Stacking robot fatally crushes employee in South Korea,minimal,3,A general industrial stacking robot is normally self-certifying; the record does not show a self-evolving AI safety function requiring third-party assessment.,18
S060,Rite Aid Facial Recognition Disproportionately Misidentified Minority Shoppers as Shoplifters,high,3,,3
S061,Alleged Macy's Facial Recognition Error Leads to Wrongful Arrest and Subsequent Sexual Assault in Jail,high,3,Retail facial recognition identified a suspected offender and influenced an accusation; the Article 5 law-enforcement real-time ban does not apply to the private retailer's use.,0
S062,Waymo Software Flaw Reportedly Leads to Double Collision with Tow Truck,high,3,,0
S063,Nonconsensual Deepfake Porn of Bobbi Althoff Spreads Rapidly on X,transparency,3,,4
S064,Students at a Beverly Hills Middle School Allegedly Created and Shared Deepfake Nudes of Their Classmates,transparency,3,,3
S065,The Arizona Agenda Produced a Deepfake of Kari Lake Advocating for the Publication Without Her Consent,transparency,2,"The same publisher created the deepfake for media-literacy education, not to influence voting behaviour; the record does not establish Article 5 significant harm.",2
S066,Deepfake Generated by the Lincoln Project of Trump's Father Used in Political Attack Ad,high,3,"The same political actor developed and deployed the synthetic media to influence voters, so the election-use rule is satisfied.",14
S068,Purported Republican AI Ad Reportedly Depicts Dystopian Future After Biden Reelection Announcement,transparency,2,The RNC used general-purpose image generation in an attack ad rather than developing an election-influence system; the brief disclaimer also weakens an Article 5 deception finding.,9
S069,American Asylum Seeker John Mark Dougan in Russia Reportedly Spreads Disinformation via AI Tools and Fake News Network,prohibited,3,"The operator configured generative tools to build a large deceptive fake-news network intended to manipulate public opinion, with likely significant democratic harm.",23
S070,"Tesla Reportedly in Autopilot Mode Hits Parked Police Vehicle in Fullerton, California",high,3,,0
S071,NHTSA Opens New Probe into Tesla’s Autopilot Following More than a Dozen Fatal Accidents,high,3,,0
S072,Cartels Reportedly Using AI to Expand Operations into Financial Fraud and Human Trafficking,insufficient_information,1,"The row refers generally to cartels using AI but does not identify a concrete system, inferential function, or deployment context.",17
S073,"Department for Work and Pensions (DWP) Algorithm Wrongly Flags 200,000 for Housing Benefit Fraud",high,3,"Flagging claimants for investigation influences who receives scrutiny, so the pattern-detection derogation does not apply.",0
S074,Deepfake of Kamala Harris Saying Damaging Comments Circulates on X and Is Amplified by Elon Musk,transparency,2,The creator marked the video as parody; later human resharing without the disclaimer does not show the generator itself was configured for harmful deception.,5
S075,Grok AI Chatbot Reportedly Spreads Unfounded Rumors About Trump’s Dentures,transparency,3,An ordinary chatbot hallucination is not evidence of an Article 5 manipulative technique.,1
S076,Noelle Martin Deepfaked Without Consent in AI-Generated Pornography,transparency,2,"The face-swap system was deliberately configured to fabricate explicit depictions, misleading viewers and causing likely significant psychological and reputational harm.",4
S077,Students at Australian Schools Reportedly Used AI Nudification Tools to Create Nonconsensual Sexual Images of Classmates and Teachers,transparency,3,,6
S078,53% of American and British Businesses Report Attacks by AI-Powered Deepfake Scams in 2024,transparency,2,"The system was deployed to impersonate executives deceptively and induce high-value financial transfers, meeting the Article 5(1)(a) harm threshold.",12
S079,TikTok Network Amplifies AI-Generated Nazi Propaganda and Hate Speech,transparency,2,The coordinated network purposefully generated and deployed extremist propaganda to manipulate viewers; content moderation and recommender amplification themselves are not Annex III uses.,2
S080,Polish Radio Station Replaces Human Hosts with AI-Generated Presenters to Simulate Interviewing Deceased Poet Wisława Szymborska,transparency,3,,2
S081,"AI Camera Allegedly Misidentifies Dutch Motorist as Using Mobile Phone, Issuing €380 Fine",high,3,"The police camera evaluated driving behaviour and triggered a traffic-enforcement fine, directly influencing a law-enforcement decision.",2
S082,Portland Water Bureau SERVUS Algorithm Reportedly Allocates Utility Bill Discount to High-Wealth Consumer,high,3,,0
S083,"Romance Scammer 'Alla Morgan' Allegedly Exploits Deepfake Technology to Defraud Victim of £17,000",transparency,3,"The deepfake persona deliberately deceived a 77-year-old victim, exploiting age vulnerability and causing substantial financial harm.",14
S084,Scammers Reportedly Using Deepfakes of Health Experts and Public Figures in Australia to Sell Health Supplements and Give Harmful Advice,transparency,3,The health-expert deepfakes were purposefully deceptive and exploited health-related vulnerability to sell products and provide harmful advice.,14
S085,"Taranaki, New Zealand Resident Allegedly Defrauded of $224K in Bitcoin Scam Using Deepfake of Prime Minister Christopher Luxon",transparency,3,"The deepfake investment scam purposefully deceived and expressly targeted superannuitants, exploiting age and economic vulnerability with severe financial harm.",14
S086,"Alleged AI-Driven Phishing Scam Impersonates Maine Town Official to Falsely Request $22,500",transparency,2,The AI-generated phishing message was purposefully deceptive and induced a substantial fraudulent transfer; synthetic text also triggers Article 50.,6
S087,Alleged Deepfake of Luis Suárez Used to Scam Uruguayans in Fake Investment Scheme,transparency,2,The fabricated celebrity endorsement was deployed as a deceptive technique to induce investment losses.,10
S088,"Hong Kong Authorities Seize HK$34M in Alleged Deepfake Scam Targeting Victims in Taiwan, Singapore, and Malaysia",transparency,2,The synthetic identities and media were deployed to deceive victims into severe romance and investment losses.,18
S089,Reportedly Manipulated TikTok Videos Misrepresent Anti-AfD Protests as Far-Right Rallies,transparency,2,Replacing protest audio to fabricate political support is a purposefully deceptive technique with likely significant democratic harm; the general-purpose generator is not Annex III election infrastructure.,4
S090,Tesla Cybertruck Operating in Full Self-Driving Mode Reportedly Crashes into Pole in Nevada After Failing to Merge,high,3,,0
S091,Arizona Residents Reportedly a Frequent Target of AI-Driven Romance Scams,transparency,3,"AI-enabled romance scams reportedly targeted older people, exploiting age-based vulnerability and causing severe financial harm.",18
S092,"'Pravda' Network, Successor to 'Portal Kombat,' Allegedly Seeding AI Models with Kremlin Disinformation",transparency,2,The chatbots were not shown to have been purposefully configured by their providers to manipulate; the alleged training-data influence makes Article 5 uncertain rather than established.,6
S093,AI-Generated OB-GYN Health Influencers on TikTok Used Fake Medical Credentials to Promote Dubious Advice,prohibited,3,"The synthetic influencers were configured with fake medical credentials to deceive viewers into relying on dubious health advice, with likely significant harm.",24
S094,AI-Driven News Platform Accused of Spreading Unverified Terrorism Allegations Against Yale Scholar,transparency,2,The record shows synthetic news text but not purposeful configuration to deceive; ordinary generative failure does not satisfy Article 5.,4
S095,Alleged AI-Generated Clone of Exante Brokerage Used to Defraud U.S. Investor via JPMorgan Account,prohibited,3,"The system generated cloned identities, fake documents and deepfakes as a purposefully deceptive fraud operation with severe financial harm.",20
S096,Reported AI-Manipulated Video Depicts Donald Trump Endorsing Peter Obi and Criticizing Bola Tinubu,transparency,2,"Unknown actors deliberately fabricated a political endorsement. The deception can satisfy Article 5, but general-purpose media generation misused in a campaign is not itself Annex III justice/democracy.",8
S097,"Anysphere AI Support Bot for Cursor Reportedly Invents Login Policy, Leading to Subscription Cancellations",transparency,3,"An unsupported chatbot policy claim is an ordinary hallucination, not evidence of purposeful manipulative configuration.",1
S098,Fact-Checking Finds Reportedly AI-Generated Video Misattributed Hypertension Cure Endorsements to Taiwo Ajai-Lycett and Chinonso Egemba,transparency,2,The fake health endorsement was purposefully deceptive and likely to cause significant health and financial harm.,4
S099,Citation Errors in Concord Music v. Anthropic Attributed to Claude AI Use by Defense Counsel,transparency,3,"Counsel and expert use is not use by a judicial authority, and fabricated citations are an ordinary generative failure rather than Article 5 manipulation.",7
S100,"Texas Homeowner Reportedly Spent $3,000 to Contest AI-Flagged Warning of Insurance Nonrenewal",minimal,3,"Property-insurance underwriting and nonrenewal are outside Annex III, which covers life and health insurance risk assessment and pricing.",9
S101,Image Purporting to Show President Paul Kagame of Rwanda in M23 Uniform Reportedly AI-Generated,transparency,2,"Information-manipulation actors deliberately fabricated military affiliation, a deceptive deployment with plausible significant political and security harm.",3
S102,Bulgarian Tennis Player Grigor Dimitrov Alleges Deepfake Scam Promoting Fraudulent Investment Scheme Using His Likeness,transparency,2,The celebrity deepfake was deployed to deceive viewers into an investment scam with significant financial harm.,7
S103,North Korea-Linked Actors Allegedly Use AI Executive Deepfakes in Zoom Phishing Targeting Web3 Employee,transparency,3,Executive deepfakes and AI-written phishing were purposefully deployed to induce credential compromise and malware execution.,13
S104,Alleged Deepfake Videos Impersonate Lithuanian Politicians and Doctors in Purported Cross-Border Scam Network,transparency,2,Political and medical deepfakes were purposefully deployed in a health-product scam with likely significant harm.,11
S105,Philippine Officials Reportedly Share Veo 3-Generated Video to Support Vice President Sara Duterte During Impeachment,transparency,2,The synthetic video was knowingly deployed to fabricate student support in a consequential impeachment debate. It is not an election-use system under Annex III.,3
S106,Preprints Reportedly from Researchers from Multiple Universities Allegedly Contain Covert AI Prompts,prohibited,2,"Hidden prompts deliberately configured AI review tools to produce favourable assessments, a deceptive technique capable of materially distorting academic decisions.",27
S107,South African Legal Team Reportedly Relied on Unverified ChatGPT Case Law in Johannesburg Body Corporate Defamation Matter,transparency,3,"Lawyer use is not use by or on behalf of a judicial authority; fabricated cases are an ordinary generative failure, not Article 5 manipulation.",2
S108,Purported Deepfake Video of Donald Trump at NATO Summit Allegedly Used in YouTube Crypto Scam,transparency,3,The NATO deepfake was purposefully deployed as a crypto scam likely to cause significant financial harm.,10
S109,"Purported Face‑Swap Technology Reportedly Used to Circumvent Financial Platform's Facial Recognition Security in Nanjing, China",transparency,3,Criminal misuse of face-swap technology is not an Annex III law-enforcement use; the system generated synthetic biometric media but did not manipulate a natural person's decision-making.,5
S110,Google Healthcare AI Model Med‑Gemini Allegedly Produces Non‑Existent 'Basilar Ganglia' Term in Published Output,transparency,2,The record does not establish whether Med-Gemini was put into service as medical-device software; the invented term is synthetic text and an ordinary model error.,22
S111,"Reported Public Exposure of Over 100,000 LLM Conversations via Share Links Indexed by Search Engines and Archived",transparency,3,"The systems are user-interacting generative assistants. Accidental public indexing is a privacy failure, not an Article 5 prohibited practice.",3
S112,Malicious Nx npm Packages Reportedly Weaponize AI Coding Agents for Data Exfiltration,transparency,3,The coding agents generate text or code and interact with users; malicious coercion of the agents is not manipulation of a natural person's informed decision-making.,13
S113,LAMEHUG Malware Reportedly Integrates Large Language Model for Real-Time Command Generation in a Purported APT28-Linked Cyberattack,transparency,3,"The LLM inferred and generated command text, but the intended malicious use is not an Annex III law-enforcement use and does not distort a natural person's decision-making.",19
S114,"Purportedly AI-Generated Deepfake Ads on Facebook Reportedly Impersonate Trump, Musk, Ocasio-Cortez, Warren, Sanders, and Leavitt to Promote Fraudulent Rebates",transparency,2,Fake rebate ads and celebrity or political deepfakes were purposefully deceptive and likely to cause significant financial harm.,10
S115,Chinese-Backed Operation Reportedly Used AI-Generated Deepfake Videos of Indian Stock Experts in Investment Fraud Campaign,transparency,3,The deepfake endorsements were purposefully deployed as investment fraud causing significant financial losses.,16
S116,Purported AI-Generated Deepfake Videos Reportedly Used in Swedish Scam Campaign Impersonating Doctors Agnes Wold and Anders Tegnell,transparency,3,"The doctor deepfakes were purposefully deployed to sell fake health products, causing significant health and financial harm.",9
S117,NTB Report on Telenor Security Findings Was Withdrawn After AI Tool Allegedly Introduced Fabricated Quotes,transparency,3,Fabricated quotes are an ordinary generative failure rather than evidence that the system was configured to manipulate; the output is synthetic text.,0
S118,Purportedly AI-Enhanced Phishing Campaign Allegedly Impersonates Australian Government Services in Large-Scale Welfare Scam,transparency,3,"The campaign used deceptive AI-generated government messages against welfare users, exploiting social and economic vulnerability and causing credential theft.",15
S119,Prominent AI Chatbots Allegedly Produced Incorrect UK Financial and ISA Guidance,transparency,3,"Incorrect chatbot advice is an ordinary limitation; advice alone is not an Annex III essential-services eligibility, credit, insurance-pricing, or emergency-triage decision.",3
S120,Bodycam Footage Reportedly Contradicted Purportedly ChatGPT-Generated Use-of-Force Narrative by Immigration Agent,transparency,2,Drafting an incident narrative is treated as a preparatory task subject to human review; it did not itself assess crime risk or evidence reliability.,15
S121,Purported Deepfake Impersonation of Elon Musk Used to Promote Fraudulent '17-Hour' Diabetes Treatment Claims,transparency,3,The fake diabetes cure exploited health-related vulnerability through a deceptive technique likely to cause significant harm.,8
S122,"Purported Deepfake Investment Video Reportedly Used in Scam That Defrauded Turkish Couple of 1.5 Million Lira (~$35,000 USD)",transparency,3,The political deepfake was purposefully deployed as an investment scam with significant financial losses.,8
S123,Border Patrol Agent Allegedly Claimed Facial Recognition Identified Minneapolis ICE Observer and Global Entry Was Reportedly Revoked Three Days Later,prohibited,2,"The record describes law-enforcement facial identification from a body camera in public, apparently in real time, without an Article 5(1)(h) exception.",14
S124,Purported Deepfake Reportedly Impersonated Consumer Adviser Clark Howard to Promote Auto-Insurance Quote Site,transparency,2,"The deepfake was deceptive, but the record describes lead generation and unwanted calls rather than significant harm sufficient for Article 5.",5
S125,Deepfakes Reportedly Impersonated David Taylor-Robinson and Other UK Health Experts to Promote Wellness Nest Supplements,transparency,2,Fake medical endorsements were purposefully used to sell health products and were likely to cause significant health or financial harm.,11
S126,Nippon Life Alleged ChatGPT Practiced Law Without a License in Illinois Disability Case,transparency,3,,4
S127,Baltimore Lawsuit Alleged DraftKings and FanDuel Used Machine-Learning-Driven Targeting to Exploit Vulnerable Gamblers,prohibited,3,Machine-learning profiling identified people showing gambling disorder and exploited their health and economic vulnerability for operator benefit.,7
S128,Purported Deepfake Video Reportedly Portrayed Nirmala Sitharaman Endorsing Investment Scheme,transparency,3,The finance-minister deepfake was purposefully deployed as investment fraud with significant financial harm.,8
S129,Video with Reportedly AI-Generated Audio Purported to Show Croatian Footballer Luka Modrić Endorsing Immediate Matrix on Facebook Page Presented as N1 HR,transparency,3,The cloned voice was purposefully deployed to induce investment losses.,7
S130,PocketOS Production Database Was Reportedly Deleted by Cursor AI Agent Running Claude Opus 4.6,transparency,3,The coding agent directly interacted with a user and generated executable instructions; the database deletion was an ordinary agent-control failure.,15
S131,"AI-Themed Investment Scam Network Reportedly Used Keitaro Cloaking Across 15,500 Domains",prohibited,3,"The coordinated operation generated deceptive personas, endorsements and promotional content for significant investment fraud.",15
S132,"ChatGPT Was Allegedly Consulted About Attack Options Before Teen Attempted to Stab Officer at Tira, Israel, Police Station",transparency,2,"A criminal's use of a general chatbot is not Annex III law enforcement, and the record does not establish that the system encouraged or materially assisted the attack.",2
S133,Gemini and Grok Reportedly Misidentified Authentic Minab School-Strike Graveyard Photo as Unrelated Disaster Imagery,transparency,3,"Misidentifying authentic media is an ordinary chatbot error, not purposeful manipulation.",1
S134,Reported AI-Generated Videos Purported to Show Kosovo Diaspora Mobilization for Vetëvendosje Before Snap Elections,transparency,2,"The synthetic election videos were deliberately deployed to mislead voters. The record does not show a purpose-built election-influence system, so Annex III is not applied.",11
S135,Purported Deepfake Video Reportedly Impersonated Former Mongolian Deputy Prime Minister Amarsaikhan Sainbuyan in Investment Scam,transparency,3,The deputy-prime-minister deepfake was purposefully deployed as an investment scam with significant financial harm.,9
S136,Reported AI-Generated Image Portrayed Vetëvendosje Official Dejona Mihali Meeting Aleksandar Vučić,transparency,2,The synthetic election image was deliberately deployed to mislead voters. General-purpose image generation misused in a campaign is not itself Annex III justice/democracy.,6
S137,Reported Deepfake Video Impersonating Mark Carney Used in Nearly $1M Cryptocurrency Scam Targeting Ontario Senior,transparency,3,"The deepfake investment scam expressly targeted a retiree, exploiting age and economic vulnerability and causing nearly $1 million in losses.",11
S138,Waymo Robotaxi Reportedly Entered Flooded San Antonio Roadway and Was Swept Into Waterway,high,3,,0
S139,South African Home Affairs Revised White Paper Reportedly Included Fictitious References Believed to Be AI-Generated,transparency,3,AI-assisted policy drafting is not an individual migration decision; the fabricated references are synthetic text and an ordinary generative error.,3
S140,KPMG Report Allegedly Included Hallucinated Citations and Inaccurate Agentic AI Case Studies,insufficient_information,2,"AI involvement and the specific system were not confirmed, so the function and deployment context cannot be classified reliably.",19
S141,PRC-Linked Accounts Reportedly Used ChatGPT in Covert Campaigns Targeting U.S. AI Policy Debates,transparency,2,The covert operation purposefully generated deceptive personas and content to manipulate a consequential policy debate; it was not an election-use system.,5
S142,Waymo Robotaxi Reportedly Caught Fire After Driving Over Firework in San Francisco,high,3,,0
S143,Purported Philip Morris-Backed AI Tool Reportedly Generated Responses Opposing Stricter EU Tobacco Rules,prohibited,3,"The tool was configured to insert arguments users had not selected, purposefully distorting public-consultation submissions with plausible significant public-health effects.",20
S144,Purportedly AI-Powered Software Allegedly Used to Replace Montefiore Hospital Utilization-Review Nurses Despite Contractual AI Safeguards,minimal,2,"The record describes nonclinical paperwork automation, not a medical device or an AI system deciding recruitment, termination, task allocation, or worker monitoring.",16
S145,City of Spokane Reportedly Distributed Purported AI-Generated Clocktower Flyer Resembling Graphic Designer Matthew Clinard's Artwork,transparency,3,,1
S146,Waymo Robotaxi Reportedly Remained Immobilized While Vandals Smashed Vehicle with Passenger Inside,high,3,,0
S147,"Purported AI-Generated Image Reportedly Won First Prize in Hohhot, Inner Mongolia, Photography Competition Before Award Was Revoked",transparency,2,"Submitting a synthetic image as photography was deceptive, but the record does not establish significant harm sufficient for Article 5.",0
S148,Purportedly AI-Generated Memorial Posters Reportedly Presented Fabricated Child Portraits as Victims of South African School Transport Crash,transparency,2,The false memorial portraits were deliberately fabricated and were likely to cause significant psychological harm to grieving families and the public.,1
S149,Queensland Man Allegedly Distributed Purportedly AI-Generated Sexual Posters Falsely Advertising Women for Sex,transparency,2,"Face-swapped explicit posters were deliberately fabricated to create false sexual advertising, with likely significant reputational and psychological harm.",5
S150,Publicly Shared Claude Artifacts Reportedly Became Discoverable Through Google Search,transparency,3,,3
