ts,condition,model,run,sample_id,prompt_tokens,completion_tokens,cost_usd
1787770213,naive,sonnet46,1,S144,471,87,0.002718
1787770218,naive,sonnet46,1,S137,507,93,0.002916
1787770218,naive,gpt52,1,S003,306,121,0.0022295
1787770218,naive,sonnet46,1,S076,431,93,0.002688
1787770219,naive,gpt52,1,S002,309,207,0.00343875
1787770219,naive,sonnet46,1,S068,432,96,0.002736
1787770220,naive,gpt52,1,S001,307,226,0.00370125
1787770222,naive,gpt52,1,S012,354,128,0.0024115
1787770222,naive,gpt52,1,S019,318,107,0.0020545
1787770223,naive,gpt52,1,S004,307,138,0.00246925
1787770223,naive,gpt52,1,S017,343,156,0.00278425
1787770226,naive,gpt52,1,S024,431,323,0.00527625
1787770227,naive,gpt52,1,S032,328,262,0.004242
1787770227,naive,gpt52,1,S043,342,141,0.0025725
1787770228,naive,gpt52,1,S042,330,172,0.0029855
1787770228,naive,gpt52,1,S040,328,249,0.00406
1787770230,naive,gpt52,1,S036,420,322,0.005243
1787770231,naive,gpt52,1,S048,343,123,0.00232225
1787770232,naive,gpt52,1,S045,340,178,0.003087
1787770232,naive,gpt52,1,S049,353,153,0.00275975
1787770232,naive,gpt52,1,S044,331,187,0.00319725
1787770235,naive,sonnet46,1,S061,,,
1787770236,naive,gpt52,1,S059,423,191,0.00341425
1787770237,naive,sonnet46,1,S083,,,
1787770239,naive,gpt52,1,S053,364,334,0.005313
1787770240,naive,sonnet46,1,S084,,,
1787770240,naive,gpt52,1,S056,406,387,0.0061285
1787770262,naive,sonnet46,1,S147,,,
1787770267,naive,gpt52,1,S065,379,141,0.00263725
1787770270,naive,gpt52,1,S069,413,190,0.00338275
1787770271,naive,gpt52,1,S061,370,333,0.0053095
1787770271,naive,gpt52,1,S074,377,107,0.00215775
1787770271,naive,gpt52,1,S084,393,177,0.00316575
1787770272,naive,gpt52,1,S089,427,184,0.00332325
1787770272,naive,gpt52,1,S076,398,156,0.0028805
1787770275,naive,gpt52,1,S093,363,142,0.00262325
1787770275,naive,gpt52,1,S083,385,210,0.00361375
1787770276,naive,gpt52,1,S111,438,158,0.0029785
1787770276,naive,gpt52,1,S079,364,281,0.004571
1787770277,naive,gpt52,1,S116,438,230,0.0039865
1787770279,naive,gpt52,1,S117,394,137,0.0026075
1787770279,naive,gpt52,1,S081,347,318,0.00505925
1787770279,naive,gpt52,1,S100,436,381,0.006097
1787770280,naive,gpt52,1,S132,408,147,0.002772
1787770280,naive,gpt52,1,S112,408,400,0.006314
1787770282,naive,gemini3f,1,S002,322,51,0.000314
1787770282,naive,gemini3f,1,S003,318,55,0.000324
1787770282,naive,gemini3f,1,S001,318,51,0.000312
1787770282,naive,gpt52,1,S123,433,334,0.00543375
1787770282,naive,gpt52,1,S109,430,539,0.0082985
1787770283,naive,gemini3f,1,S004,319,54,0.0003215
1787770284,naive,gpt52,1,S068,,,
1787770284,naive,gemini3f,1,S024,449,62,0.0004105
1787770284,naive,gpt52,1,S147,422,180,0.0032585
1787770284,naive,gemini3f,1,S017,356,58,0.000352
1787770285,naive,gemini3f,1,S019,329,58,0.0003385
1787770285,naive,gemini3f,1,S036,423,59,0.0003885
1787770285,naive,gemini3f,1,S032,341,57,0.0003415
1787770285,naive,gemini3f,1,S043,352,65,0.000371
1787770285,naive,gemini3f,1,S040,340,82,0.000416
1787770286,naive,gemini3f,1,S042,341,54,0.0003325
1787770286,naive,gemini3f,1,S044,344,48,0.000316
1787770286,naive,gemini3f,1,S045,352,60,0.000356
1787770286,naive,gemini3f,1,S012,363,62,0.0003675
1787770287,naive,gemini3f,1,S053,377,60,0.0003685
1787770287,naive,gemini3f,1,S048,355,53,0.0003365
1787770288,naive,gemini3f,1,S056,412,58,0.00038
1787770288,naive,gemini3f,1,S059,432,62,0.000402
1787770288,naive,gemini3f,1,S049,363,57,0.0003525
1787770288,naive,gemini3f,1,S061,381,59,0.0003675
1787770288,naive,gemini3f,1,S068,404,58,0.000376
1787770288,naive,gemini3f,1,S065,392,58,0.00037
1787770289,naive,gemini3f,1,S079,372,60,0.000366
1787770289,naive,gemini3f,1,S076,408,60,0.000384
1787770289,naive,gemini3f,1,S074,386,55,0.000358
1787770290,naive,gemini3f,1,S081,362,57,0.000352
1787770290,naive,gemini3f,1,S083,402,60,0.000381
1787770290,naive,gemini3f,1,S084,403,63,0.0003905
1787770290,naive,gemini3f,1,S069,422,66,0.000409
1787770291,naive,gemini3f,1,S089,435,65,0.0004125
1787770291,naive,gemini3f,1,S100,446,60,0.000403
1787770291,naive,gemini3f,1,S109,443,58,0.0003955
1787770291,naive,gemini3f,1,S093,374,60,0.000367
1787770292,naive,gemini3f,1,S112,418,61,0.000392
1787770292,naive,gemini3f,1,S116,451,54,0.0003875
1787770292,naive,gemini3f,1,S123,451,54,0.0003875
1787770293,naive,gemini3f,1,S111,455,66,0.0004255
1787770293,naive,gemini3f,1,S117,407,55,0.0003685
1787770293,naive,gemini3f,1,S130,395,59,0.0003745
1787770293,naive,gemini3f,1,S137,440,68,0.000424
1787770293,naive,gemini3f,1,S144,421,58,0.0003845
1787770293,naive,gemini3f,1,S132,420,63,0.000399
1787770294,naive,gemma27b,1,S002,363,61,8.251e-05
1787770295,naive,gemma27b,1,S012,404,60,8.82e-05
1787770296,naive,gemma27b,1,S017,397,54,8.439e-05
1787770296,naive,gemma27b,1,S004,360,53,7.838e-05
1787770296,naive,gemini3f,1,S147,434,55,0.000382
1787770296,naive,gemma27b,1,S024,462,72,6.936e-05
1787770297,naive,gemma27b,1,S003,327,56,4.95e-05
1787770298,naive,gemma27b,1,S042,354,72,6.072e-05
1787770299,naive,gemma27b,1,S043,365,74,5.29e-05
1787770299,naive,gemma27b,1,S036,464,61,9.766e-05
1787770299,naive,gemma27b,1,S032,382,63,8.628e-05
1787770299,naive,gemma27b,1,S040,381,58,8.383e-05
1787770299,naive,gemma27b,1,S001,331,60,5.348e-05
1787770300,naive,gemma27b,1,S045,393,58,8.563e-05
1787770300,naive,gemma27b,1,S044,385,68,8.903e-05
1787770300,naive,gemma27b,1,S053,418,55,8.8e-05
1787770301,naive,gemma27b,1,S049,404,56,8.636e-05
1787770301,naive,gemma27b,1,S061,422,54,8.814e-05
1787770301,naive,gemma27b,1,S019,338,62,3.696e-05
1787770301,naive,gemma27b,1,S056,453,52,9.187e-05
1787770301,naive,gemma27b,1,S048,368,71,6.139e-05
1787770301,naive,gemma27b,1,S059,473,60,9.855e-05
1787770302,naive,gemma27b,1,S065,405,79,5.835e-05
1787770302,naive,gemma27b,1,S076,449,59,9.449e-05
1787770302,naive,gemma27b,1,S074,427,53,8.843e-05
1787770302,naive,gemma27b,1,S079,413,61,9.001e-05
1787770303,naive,gemma27b,1,S068,445,54,9.159e-05
1787770303,naive,gemma27b,1,S069,435,88,6.48e-05
1787770303,naive,gemma27b,1,S081,403,60,8.805e-05
1787770303,naive,gemma27b,1,S083,443,65,9.635e-05
1787770303,naive,gemma27b,1,S084,444,57,9.282e-05
1787770303,naive,gemma27b,1,S089,476,63,0.00010038
1787770304,naive,gemma27b,1,S112,459,56,9.461e-05
1787770304,naive,gemma27b,1,S109,484,66,0.00010296
1787770304,naive,gemma27b,1,S093,415,67,9.307e-05
1787770304,naive,gemma27b,1,S100,487,76,0.00010801
1787770304,naive,gemma27b,1,S117,420,69,5.505e-05
1787770305,naive,gemma27b,1,S111,468,66,5.754e-05
1787770305,naive,gemma27b,1,S123,492,64,0.00010324
1787770305,naive,gemma27b,1,S116,464,72,5.992e-05
1787770305,naive,gemma27b,1,S132,461,67,9.997e-05
1787770306,naive,gemma27b,1,S144,462,59,9.644e-05
1787770306,naive,gemma27b,1,S130,436,65,9.53e-05
1787770307,naive,gemma27b,1,S147,475,62,9.977e-05
1787770309,naive,gemma27b,1,S137,453,76,6.9107e-05
1787770319,naive,kimi25,1,S002,312,1048,0.00299808
1787770325,naive,kimi25,1,S001,309,1494,0.00420066
1787770326,naive,gpt52,1,S130,,,
1787770328,naive,gpt52,1,S137,,,
1787770328,naive,kimi25,1,S003,308,1362,0.0042708
1787770329,naive,kimi25,1,S004,309,1746,0.00488106
1787770330,naive,gpt52,1,S144,,,
1787770330,naive,kimi25,1,S019,320,1585,0.0044523
1787770337,naive,kimi25,1,S017,348,2372,0.00659232
1787770337,naive,kimi25,1,S012,361,1882,0.0058626
1787770349,naive,kimi25,1,S042,336,1256,0.00357264
1787770349,naive,kimi25,1,S032,337,1908,0.00533358
1787770351,naive,kimi25,1,S045,344,1582,0.00445716
1787770353,naive,kimi25,1,S036,428,2022,0.00569052
1787770353,naive,kimi25,1,S043,345,1900,0.0053163
1787770353,naive,kimi25,1,S024,433,2139,0.0066768
1787770355,naive,kimi25,1,S048,346,1429,0.0044946
1787770360,naive,kimi25,1,S040,329,2086,0.0064554
1787770369,naive,kimi25,1,S049,361,1414,0.00371189
1787770373,naive,kimi25,1,S044,338,3011,0.0092358
1787770376,naive,kimi25,1,S061,377,1778,0.0055602
1787770378,naive,kimi25,1,S056,408,2206,0.00617652
1787770384,naive,kimi25,1,S068,399,2410,0.0074694
1787770385,naive,kimi25,1,S059,425,1723,0.0048816
1787770387,naive,kimi25,1,S069,419,2381,0.00665496
1787770388,naive,kimi25,1,S065,385,2518,0.0070065
1787770397,naive,kimi25,1,S074,384,2658,0.0082044
1787770400,naive,kimi25,1,S076,405,2400,0.0066987
1787770408,naive,kimi25,1,S053,369,4352,0.01194966
1787770414,naive,kimi25,1,S084,399,2294,0.00640926
1787770417,naive,kimi25,1,S083,390,2850,0.008784
1787770423,naive,kimi25,1,S089,433,2871,0.00798552
1787770430,naive,kimi25,1,S111,438,2178,0.00611712
1787770444,naive,kimi25,1,S093,369,4070,0.01118826
1787770444,naive,kimi25,1,S100,442,3332,0.00923508
1787770446,naive,kimi25,1,S109,432,3618,0.01000188
1787770448,naive,kimi25,1,S117,402,2336,0.0072492
1787770451,naive,kimi25,1,S123,440,2166,0.0060858
1787770454,naive,haiku45,1,S001,329,79,0.000724
1787770456,naive,kimi25,1,S132,411,2276,0.00530595
1787770456,naive,haiku45,1,S002,339,96,0.000819
1787770458,naive,haiku45,1,S003,331,87,0.000766
1787770459,naive,haiku45,1,S004,328,90,0.000778
1787770460,naive,haiku45,1,S012,388,90,0.000838
1787770461,naive,haiku45,1,S017,364,80,0.000764
1787770462,naive,haiku45,1,S019,347,75,0.000722
1787770462,naive,kimi25,1,S116,446,3439,0.0105846
1787770463,naive,kimi25,1,S147,428,1068,0.0034608
1787770464,naive,haiku45,1,S024,480,89,0.000925
1787770465,naive,haiku45,1,S032,364,70,0.000714
1787770465,naive,haiku45,1,S036,461,78,0.000851
1787770466,naive,haiku45,1,S040,361,86,0.000791
1787770466,naive,haiku45,1,S042,361,81,0.000766
1787770466,naive,haiku45,1,S043,372,99,0.000867
1787770468,naive,kimi25,1,S137,446,1830,0.00518184
1787770468,naive,haiku45,1,S045,368,81,0.000773
1787770468,naive,haiku45,1,S044,370,95,0.000845
1787770468,naive,kimi25,1,S130,386,2779,0.00771174
1787770468,naive,kimi25,1,S144,411,1508,0.0047706
1787770468,naive,haiku45,1,S048,369,89,0.000814
1787770468,naive,haiku45,1,S049,387,96,0.000867
1787770469,naive,haiku45,1,S053,390,89,0.000835
1787770470,naive,haiku45,1,S056,443,102,0.000953
1787770470,naive,haiku45,1,S059,461,98,0.000951
1787770482,naive,kimi25,1,S081,350,3957,0.0107154
1787770500,naive,kimi25,1,S112,414,2640,0.0079614
1787770501,naive,haiku45,1,S061,415,76,0.000795
1787770502,naive,haiku45,1,S083,429,91,0.000884
1787770502,naive,haiku45,1,S069,465,95,0.00094
1787770503,naive,haiku45,1,S068,431,87,0.000866
1787770503,naive,haiku45,1,S074,427,97,0.000912
1787770503,naive,haiku45,1,S065,427,85,0.000852
1787770503,naive,haiku45,1,S076,430,84,0.00085
1787770504,naive,haiku45,1,S093,415,85,0.00084
1787770504,naive,haiku45,1,S084,438,95,0.000913
1787770504,naive,haiku45,1,S089,479,104,0.000999
1787770505,naive,haiku45,1,S100,483,78,0.000873
1787770506,naive,haiku45,1,S111,492,83,0.000907
1787770506,naive,haiku45,1,S116,500,96,0.00098
1787770507,naive,haiku45,1,S117,442,93,0.000907
1787770508,naive,haiku45,1,S132,449,97,0.000934
1787770510,naive,haiku45,1,S144,470,67,0.000805
1787770510,naive,haiku45,1,S147,467,78,0.000857
1787770510,naive,haiku45,1,S109,474,103,0.000989
1787770511,naive,haiku45,1,S112,457,97,0.000942
1787770511,naive,haiku45,1,S079,405,97,0.00089
1787770513,naive,sonnet5,1,S001,477,92,0.001874
1787770514,naive,sonnet5,1,S003,471,83,0.001772
1787770515,naive,sonnet5,1,S004,473,77,0.001716
1787770515,naive,sonnet5,1,S012,589,83,0.002008
1787770517,naive,sonnet5,1,S017,537,81,0.001884
1787770518,naive,sonnet5,1,S032,522,95,0.001994
1787770518,naive,sonnet5,1,S024,706,88,0.002292
1787770520,naive,sonnet5,1,S002,489,81,0.001788
1787770521,naive,sonnet5,1,S036,677,88,0.002234
1787770521,naive,sonnet5,1,S040,527,82,0.001874
1787770523,naive,sonnet5,1,S043,541,66,0.001742
1787770524,naive,sonnet5,1,S019,496,76,0.001752
1787770525,naive,sonnet5,1,S044,535,96,0.00203
1787770525,naive,sonnet5,1,S045,534,105,0.002118
1787770526,naive,sonnet5,1,S048,536,87,0.001942
1787770528,naive,sonnet5,1,S049,563,84,0.001966
1787770528,naive,sonnet5,1,S053,580,83,0.00199
1787770533,naive,haiku45,1,S081,,,
1787770557,naive,haiku45,1,S123,,,
1787770558,naive,haiku45,1,S137,,,
1787770559,naive,haiku45,1,S130,,,
1787770561,naive,kimi25,1,S079,372,4992,0.0113994
1787770563,naive,sonnet5,1,S065,619,78,0.002018
1787770563,naive,sonnet5,1,S076,618,102,0.002256
1787770564,naive,sonnet5,1,S061,583,85,0.002016
1787770565,naive,sonnet5,1,S079,589,103,0.002208
1787770566,naive,sonnet5,1,S069,682,96,0.002324
1787770567,naive,sonnet5,1,S081,554,94,0.002048
1787770567,naive,sonnet5,1,S083,605,88,0.00209
1787770570,naive,sonnet5,1,S100,738,80,0.002276
1787770571,naive,sonnet5,1,S109,703,103,0.002436
1787770571,naive,sonnet5,1,S042,,,
1787770573,naive,sonnet5,1,S084,656,99,0.002302
1787770573,naive,sonnet5,1,S056,625,150,0.00275
1787770574,naive,sonnet5,1,S093,570,93,0.00207
1787770574,naive,sonnet5,1,S089,687,88,0.002254
1787770574,naive,sonnet5,1,S112,674,84,0.002188
1787770576,naive,sonnet5,1,S116,733,95,0.002416
1787770577,naive,sonnet5,1,S117,628,84,0.002096
1787770577,naive,sonnet5,1,S130,614,84,0.002068
1787770578,naive,sonnet5,1,S059,,,
1787770579,naive,sonnet5,1,S137,762,114,0.002664
1787770581,naive,gemini37f,1,S001,318,308,0.00069675
1787770582,naive,gemini37f,1,S003,318,230,0.0005505
1787770582,naive,gemini37f,1,S002,322,454,0.000972
1787770583,naive,sonnet5,1,S123,720,406,0.0055
1787770585,naive,gemini37f,1,S004,319,362,0.000798375
1787770585,naive,sonnet5,1,S068,,,
1787770586,naive,gemini37f,1,S012,363,305,0.000708
1787770587,naive,gemini37f,1,S019,329,352,0.000783375
1787770588,naive,gemini37f,1,S024,449,298,0.000727125
1787770588,naive,gemini37f,1,S036,423,161,0.0004605
1787770589,naive,gemini37f,1,S017,356,212,0.000531
1787770590,naive,gemini37f,1,S032,341,309,0.00070725
1787770591,naive,gemini37f,1,S040,340,418,0.00091125
1787770591,naive,gemini37f,1,S043,352,171,0.000452625
1787770592,naive,gemini37f,1,S044,344,155,0.000419625
1787770592,naive,gemini37f,1,S042,341,274,0.000641625
1787770594,naive,gemini37f,1,S045,352,243,0.000587625
1787770594,naive,gemini37f,1,S049,363,231,0.00056925
1787770595,naive,gemini37f,1,S048,355,165,0.0004425
1787770596,naive,gemini37f,1,S053,377,259,0.000627
1787770596,naive,gemini37f,1,S059,432,182,0.00050325
1787770597,naive,gemini37f,1,S056,412,295,0.000707625
1787770597,naive,gemini37f,1,S065,392,144,0.000417
1787770598,naive,gemini37f,1,S061,381,258,0.000626625
1787770599,naive,gemini37f,1,S074,386,162,0.0004485
1787770599,naive,gemini37f,1,S068,404,248,0.0006165
1787770599,naive,gemini37f,1,S069,422,310,0.0007395
1787770601,naive,gemini37f,1,S076,408,297,0.000709875
1787770602,naive,gemini37f,1,S079,372,270,0.00064575
1787770603,naive,gemini37f,1,S083,402,287,0.000688875
1787770603,naive,gemini37f,1,S084,403,332,0.000773625
1787770604,naive,gemini37f,1,S089,435,290,0.000706875
1787770605,naive,gemini37f,1,S081,362,704,0.00145575
1787770606,naive,gemini37f,1,S111,455,125,0.000405
1787770607,naive,gemini37f,1,S093,374,290,0.000684
1787770607,naive,gemini37f,1,S100,446,431,0.000975375
1787770608,naive,gemini37f,1,S112,418,147,0.000432375
1787770609,naive,gemini37f,1,S116,451,289,0.000711
1787770610,naive,gemini37f,1,S109,443,353,0.000828
1787770610,naive,gemini37f,1,S117,407,359,0.00082575
1787770610,naive,sonnet5,1,S074,,,
1787770611,naive,gemini37f,1,S123,451,236,0.000611625
1787770613,naive,gemini37f,1,S147,434,169,0.000479625
1787770613,naive,gemini37f,1,S132,420,172,0.00048
1787770613,naive,gemini37f,1,S130,395,398,0.000894375
1787770613,naive,gemini37f,1,S137,440,272,0.000675
1787770614,naive,gemini37f,1,S144,421,311,0.000741
1787770618,naive,sonnet5,1,S111,,,
1787770626,naive,sonnet5,1,S132,,,
1787770626,naive,kimi3,1,S003,393,234,0.0039978
1787770627,naive,kimi3,1,S001,394,794,0.0129192
1787770628,naive,sonnet5,1,S147,,,
1787770628,naive,kimi3,1,S002,397,371,0.0065832
1787770629,naive,kimi3,1,S004,394,334,0.0055008
1787770632,naive,sonnet5,1,S144,,,
1787770634,naive,kimi3,1,S042,421,207,0.0041952
1787770634,naive,kimi3,1,S019,405,385,0.0062988
1787770636,naive,kimi3,1,S012,446,766,0.012828
1787770637,naive,kimi3,1,S032,422,310,0.0056568
1787770643,naive,kimi3,1,S043,430,599,0.0100158
1787770644,naive,kimi3,1,S048,431,293,0.0055152
1787770647,naive,kimi3,1,S036,513,704,0.0119262
1787770648,naive,kimi3,1,S053,454,353,0.0059658
1787770649,naive,kimi3,1,S056,496,164,0.0043428
1787770651,naive,kimi3,1,S017,433,1400,0.0216078
1787770653,naive,kimi3,1,S065,470,263,0.0046638
1787770655,naive,kimi3,1,S061,462,492,0.0085932
1787770655,naive,kimi3,1,S044,423,681,0.0113112
1787770656,naive,kimi3,1,S049,445,681,0.0108588
1787770660,naive,kimi3,1,S059,510,579,0.0099558
1787770662,naive,kimi3,1,S024,518,1377,0.0219498
1787770666,naive,kimi3,1,S068,522,538,0.009636
1787770667,naive,kimi3,1,S076,493,608,0.016638
1787770670,naive,kimi3,1,S045,429,1047,0.0163008
1787770676,naive,kimi3,1,S079,456,948,0.0153288
1787770677,naive,kimi3,1,S074,469,192,0.0040278
1787770678,naive,kimi3,1,S069,504,1584,0.0250992
1787770682,naive,kimi3,1,S040,417,1813,0.0270237
1787770694,naive,kimi3,1,S109,517,477,0.0080148
1787770695,naive,kimi3,1,S112,499,437,0.0077928
1787770698,naive,kimi3,1,S089,518,461,0.0082962
1787770702,naive,kimi3,1,S130,471,139,0.0027204
1787770703,naive,kimi3,1,S116,531,939,0.0149868
1787770704,naive,kimi3,1,S093,454,1820,0.0284892
1787770704,naive,kimi3,1,S083,475,748,0.0119538
1787770708,naive,kimi3,1,S111,526,1432,0.035376
1787770711,naive,kimi3,1,S132,495,282,0.0050238
1787770713,naive,kimi3,1,S137,531,414,0.0070254
1787770715,naive,kimi3,1,S147,513,327,0.0061848
1787770720,naive,kimi3,1,S084,484,1475,0.0233178
1787770720,naive,kimi3,1,S100,527,1177,0.0185448
1787770722,naive,kimi3,1,S081,435,1105,0.0171024
1787770724,naive,kimi3,1,S117,490,1639,0.026055
1787770728,naive,qwen38max,1,S012,413,241,0.002272
1787770728,naive,qwen38max,1,S003,362,424,0.003268
1787770729,naive,kimi3,1,S144,496,968,0.0157488
1787770748,naive,qwen38max,1,S036,477,725,0.005304
1787770753,naive,qwen38max,1,S024,492,1051,0.00729
1787770753,naive,kimi3,1,S123,525,1152,0.0174375
1787770755,naive,qwen38max,1,S004,363,1377,0.008988
1787770756,naive,qwen38max,1,S040,387,961,0.00654
1787770763,naive,qwen38max,1,S042,386,457,0.003514
1787770767,naive,qwen38max,1,S019,374,1386,0.009064
1787770772,naive,qwen38max,1,S048,399,496,0.003774
1787770773,naive,qwen38max,1,S002,366,2206,0.013968
1787770774,naive,qwen38max,1,S043,397,726,0.00515
1787770785,naive,qwen38max,1,S044,387,1024,0.006918
1787770789,naive,qwen38max,1,S049,408,856,0.005952
1787770790,naive,qwen38max,1,S032,385,2232,0.014162
1787770794,naive,qwen38max,1,S056,466,789,0.005666
1787770794,naive,qwen38max,1,S059,479,703,0.005176
1787770804,naive,qwen38max,1,S074,432,309,0.002718
1787770816,naive,qwen38max,1,S001,363,3694,0.02289
1787770817,naive,qwen38max,1,S076,460,844,0.005984
1787770828,naive,qwen38max,1,S065,438,1493,0.009834
1787770838,naive,qwen38max,1,S068,450,1682,0.010992
1787770851,naive,qwen38max,1,S089,489,435,0.003588
1787770852,naive,qwen38max,1,S061,426,2776,0.017508
1787770855,naive,qwen38max,1,S045,400,3378,0.021068
1787770858,naive,qwen38max,1,S069,475,2468,0.015758
1787770858,naive,qwen38max,1,S053,422,3091,0.01939
1787770873,naive,qwen38max,1,S079,419,2345,0.014908
1787770875,naive,qwen38max,1,S081,408,2001,0.012822
1787770882,naive,qwen38max,1,S083,449,2230,0.014278
1787770892,naive,qwen38max,1,S111,505,1189,0.008144
1787770899,naive,qwen38max,1,S100,500,1705,0.01123
1787770902,naive,qwen38max,1,S112,464,1448,0.009616
1787770916,naive,qwen38max,1,S130,439,818,0.005786
1787770918,naive,qwen38max,1,S093,420,2312,0.014712
1787770919,naive,qwen38max,1,S117,450,1571,0.010326
1787770923,naive,qwen38max,1,S132,470,804,0.005764
1787770930,naive,qwen3827b,1,S001,431,828,0.0026404
1787770942,naive,qwen38max,1,S147,482,860,0.006124
1787770942,naive,qwen3827b,1,S002,366,890,0.00242505
1787770944,naive,qwen3827b,1,S003,362,513,0.00145295
1787770945,naive,qwen38max,1,S123,498,2149,0.01389
1787770951,naive,qwen38max,1,S116,503,2671,0.017032
1787770961,naive,qwen38max,1,S109,491,3662,0.022954
1787770961,naive,qwen3827b,1,S004,363,1447,0.00479375
1787770969,naive,qwen3827b,1,S032,385,556,0.00195245
1787770970,naive,qwen3827b,1,S019,374,704,0.0022616
1787770975,naive,qwen3827b,1,S024,492,1711,0.0056966
1787770976,naive,qwen3827b,1,S012,413,1119,0.0035222
1787770977,naive,qwen3827b,1,S036,477,793,0.0023477
1787770981,naive,qwen3827b,1,S042,386,785,0.0026857
1787770983,naive,qwen38max,1,S144,469,2174,0.013982
1787770986,naive,qwen3827b,1,S048,399,223,0.00089315
1787770987,naive,qwen3827b,1,S043,465,835,0.002675
1787770989,naive,qwen3827b,1,S045,468,819,0.0025642
1787770993,naive,qwen3827b,1,S056,466,495,0.0017937
1787770993,naive,qwen38max,1,S137,498,2830,0.017976
1787770994,naive,qwen3827b,1,S049,476,833,0.0026094
1787770998,naive,qwen3827b,1,S053,490,832,0.002612
1787770999,naive,qwen3827b,1,S065,438,421,0.0015443
1787771011,naive,qwen3827b,1,S059,479,1166,0.00394675
1787771028,naive,qwen3827b,1,S069,475,1428,0.003843275
1787771029,naive,qwen3827b,1,S074,432,884,0.002427
1787771038,naive,qwen3827b,1,S068,450,2345,0.0077065
1787771055,naive,qwen3827b,1,S044,387,1410,0.0037503
1787771060,naive,qwen3827b,1,S084,451,299,0.00115975
1787771067,naive,qwen3827b,1,S079,419,2866,0.00935975
1787771080,naive,qwen3827b,1,S040,455,834,0.002604
1787771087,naive,qwen3827b,1,S089,489,1380,0.00396615
1787771091,naive,qwen3827b,1,S100,568,853,0.0027062
1787771097,naive,qwen3827b,1,S083,449,2741,0.007180375
1787771109,naive,qwen3827b,1,S111,505,692,0.00244165
1787771120,naive,qwen3827b,1,S116,571,840,0.0026684
1787771131,naive,qwen3827b,1,S117,450,740,0.0025705
1787771132,naive,qwen3827b,1,S093,420,3392,0.0110434
1787771133,naive,qwen3827b,1,S112,464,1495,0.00427365
1787771147,naive,qwen3827b,1,S132,470,637,0.0018241
1787771147,naive,qwen3827b,1,S123,498,1261,0.0042593
1787771153,naive,qwen3827b,1,S130,439,377,0.00113695
1787771155,naive,qwen38max,1,S017,401,2646,0.016678
1787771160,naive,gpt56sol,1,S001,307,144,0.002054
1787771165,naive,gpt56sol,1,S002,309,138,0.001998
1787771169,naive,qwen3827b,1,S076,460,1331,0.00357805
1787771169,naive,gpt56sol,1,S003,306,94,0.001552
